"replicate","phase","setting","method_id","variant","trim_constant","injection_a","beta0_true","beta0_mean","beta0_sd","beta0_bias","beta0_ess","sigma_xi_mean","rank_kept","kept_cols","wall_sec","seed","bias_flag","variance_flag","absorption_flag"
1,"A_gaussian",1,1,"A_trim",TRUE,0,10,9.75757008721868,0.11409226455563,-0.242429912781319,1722.99931195941,0.6933535198976,19,19,36.73,120101,"PASS",NA,NA
1,"A_gaussian",1,1,"A_trim",TRUE,2,12,11.7580225806534,0.114650681877536,-0.241977419346554,1460.70488805399,0.693413588793446,19,19,35.66,120121,"PASS",NA,NA
1,"A_gaussian",1,1,"A_trim",TRUE,5,15,14.7547048145576,0.116748748542684,-0.245295185442378,1690.15455149326,0.693686629948831,19,19,35.72,120151,"PASS",NA,NA
1,"A_gaussian",1,1,"B_keep",FALSE,0,10,9.76966466093769,0.112569176818174,-0.230335339062313,1678.10901217916,0.64722486784888,20,20,35.67,120101,"PASS",NA,NA
1,"A_gaussian",1,1,"B_keep",FALSE,2,12,11.770374276079,0.11327651446999,-0.229625723920954,1419.1621464701,0.647264404709315,20,20,35.89,120121,"PASS",NA,NA
1,"A_gaussian",1,1,"B_keep",FALSE,5,15,14.7667038582359,0.115402023991166,-0.233296141764146,1650.0176338085,0.647517460419623,20,20,35.77,120151,"PASS",NA,NA
1,"B_skewt_k1",4,2,"A_trim",TRUE,0,10,9.44673720695577,0.16310664751112,-0.553262793044231,111.828430065296,0.6224290265578,19,19,62.81,220401,"PASS",NA,NA
1,"B_skewt_k1",4,2,"A_trim",TRUE,2,12,11.3974962597071,0.190289875307275,-0.602503740292928,88.6900793170016,0.622841700238767,19,19,61.44,220421,"PASS",NA,NA
1,"B_skewt_k1",4,2,"A_trim",TRUE,5,15,14.4048300043246,0.195100686358276,-0.595169995675434,91.3124099193551,0.624471967003919,19,19,61.29,220451,"PASS",NA,NA
1,"B_skewt_k1",4,2,"B_keep",FALSE,0,10,9.34322355334048,0.452537505846241,-0.656776446659521,364.371638181586,0.426495487792934,20,20,61.9299999999999,220401,"PASS","WARN_variance",NA
1,"B_skewt_k1",4,2,"B_keep",FALSE,2,12,11.3009136733608,0.490748273022664,-0.699086326639227,269.362821469576,0.433211739081437,20,20,61.2900000000001,220421,"PASS","WARN_variance",NA
1,"B_skewt_k1",4,2,"B_keep",FALSE,5,15,14.291621737768,0.514784260533101,-0.708378262231994,252.6376773202,0.411095606043315,20,20,62.25,220451,"PASS","WARN_variance",NA
2,"A_gaussian",1,1,"A_trim",TRUE,0,10,10.0162155133014,0.111278909432215,0.0162155133013844,1784.42061718951,0.641138726106489,19,19,36.2099999999999,120102,"PASS",NA,NA
2,"A_gaussian",1,1,"A_trim",TRUE,2,12,12.0162814412058,0.111872609998385,0.0162814412058445,1676.55401881053,0.641170813021419,19,19,37.75,120122,"PASS",NA,NA
2,"A_gaussian",1,1,"A_trim",TRUE,5,15,15.0151309169045,0.114036526837823,0.0151309169045479,1620.26176366545,0.640565378812035,19,19,37.36,120152,"PASS",NA,NA
2,"A_gaussian",1,1,"B_keep",FALSE,0,10,10.0628293117022,0.113045074164472,0.0628293117021848,1745.60154029239,0.604623434593486,20,20,37.26,120102,"PASS",NA,NA
2,"A_gaussian",1,1,"B_keep",FALSE,2,12,12.0624961887652,0.113460874924769,0.062496188765218,1647.48852752768,0.604696855998815,20,20,36.49,120122,"PASS",NA,NA
2,"A_gaussian",1,1,"B_keep",FALSE,5,15,15.0614408519527,0.11546515782482,0.0614408519526783,1620.20256968063,0.604103389168462,20,20,36.17,120152,"PASS",NA,NA
2,"B_skewt_k1",4,2,"A_trim",TRUE,0,10,10.1678532750201,0.133752491388049,0.167853275020116,247.110299360643,0.623979945034227,19,19,61.08,220402,"PASS",NA,NA
2,"B_skewt_k1",4,2,"A_trim",TRUE,2,12,12.1636114550264,0.133094183060622,0.16361145502645,229.215668490575,0.622642295370868,19,19,61.1,220422,"PASS",NA,NA
2,"B_skewt_k1",4,2,"A_trim",TRUE,5,15,15.137700754075,0.161997719684881,0.137700754075002,133.396868974268,0.62269680013032,19,19,61.51,220452,"PASS",NA,NA
2,"B_skewt_k1",4,2,"B_keep",FALSE,0,10,11.0223445709957,0.440561245512384,1.02234457099568,607.949930917143,0.340131394554684,20,20,60.98,220402,"WARN","WARN_variance",NA
2,"B_skewt_k1",4,2,"B_keep",FALSE,2,12,13.0175016264704,0.500020144779597,1.01750162647041,265.047392361103,0.338573394743857,20,20,60.52,220422,"WARN","WARN_variance",NA
2,"B_skewt_k1",4,2,"B_keep",FALSE,5,15,15.9747461960411,0.482930815236154,0.974746196041064,399.71789133194,0.337889767930088,20,20,60.79,220452,"PASS","WARN_variance",NA
3,"A_gaussian",1,1,"A_trim",TRUE,0,10,10.1032696369925,0.114711449199969,0.103269636992511,1325.39695050894,0.643999587849074,19,19,35.78,120103,"PASS",NA,NA
3,"A_gaussian",1,1,"A_trim",TRUE,2,12,12.1042651999979,0.111978865074152,0.104265199997853,1767.72074798257,0.644058018365591,19,19,35.8000000000002,120123,"PASS",NA,NA
3,"A_gaussian",1,1,"A_trim",TRUE,5,15,15.1051217069332,0.112149386019711,0.105121706933216,1789.36814102437,0.643912992607746,19,19,35.52,120153,"PASS",NA,NA
3,"A_gaussian",1,1,"B_keep",FALSE,0,10,10.0954898890124,0.117222952657186,0.0954898890124181,1302.39944169525,0.607799317120097,20,20,35.3699999999999,120103,"PASS",NA,NA
3,"A_gaussian",1,1,"B_keep",FALSE,2,12,12.0964619371034,0.114683938435736,0.0964619371033546,1738.70534364328,0.607833053509501,20,20,34.5599999999999,120123,"PASS",NA,NA
3,"A_gaussian",1,1,"B_keep",FALSE,5,15,15.0975036833699,0.114614467735827,0.0975036833699274,1756.03828124546,0.607710791128512,20,20,34.6900000000001,120153,"PASS",NA,NA
3,"B_skewt_k1",4,2,"A_trim",TRUE,0,10,9.73646728063446,0.174761060778792,-0.263532719365545,137.860897023881,0.632201220156391,19,19,58.01,220403,"PASS",NA,NA
3,"B_skewt_k1",4,2,"A_trim",TRUE,2,12,11.746874497895,0.177522186216117,-0.253125502105046,184.298397296294,0.631377204413457,19,19,58.02,220423,"PASS",NA,NA
3,"B_skewt_k1",4,2,"A_trim",TRUE,5,15,14.7153764541463,0.185409418997798,-0.284623545853663,199.2861686133,0.631476234951483,19,19,57.74,220453,"PASS",NA,NA
3,"B_skewt_k1",4,2,"B_keep",FALSE,0,10,12.0136771910236,1.73305102384936,2.01367719102363,65.1028415107975,0.175115641586251,20,20,58.3100000000002,220403,"WARN","WARN_variance",NA
3,"B_skewt_k1",4,2,"B_keep",FALSE,2,12,13.8848170457766,1.66768402904905,1.88481704577664,66.5082228616311,0.177762604834438,20,20,58.28,220423,"WARN","WARN_variance",NA
