"phase","variant","injection_a","n_reps","beta0_bias_mean","beta0_bias_sd","beta0_sd_mean","beta0_sd_sd","sigma_xi_mean_avg","bias_pass_rate","variance_warn_rate","absorption_warn_rate"
"A_gaussian","A_trim",0,10,-0.0129291505105364,0.140856534948996,0.11145639407177,0.0099197182380789,0.664723051115089,1,NA,NA
"B_skewt_k1","A_trim",0,10,1.63597487283974,5.69262179488496,0.186007267168578,0.069839777315245,0.633135343015216,0.9,NA,1
"A_gaussian","B_keep",0,10,0.00985716326404642,0.168222305723378,0.118465381908253,0.0137627391220337,0.613947035894455,1,NA,NA
"B_skewt_k1","B_keep",0,10,0.943365361555574,1.01570104301122,0.767424679507003,0.465251416981586,0.326699012017017,0.6,1,NA
"A_gaussian","A_trim",2,10,-0.0124783168639857,0.141677428487768,0.111805755261473,0.00997423547163589,0.664831560147404,1,NA,NA
"B_skewt_k1","A_trim",2,10,2.9451704730226,6.75604860588273,0.197411802275411,0.0618815580421533,0.633058165106773,0.8,NA,1
"A_gaussian","B_keep",2,10,0.0104270886275822,0.168809065849674,0.118841387853205,0.0130529341196123,0.614049588175715,1,NA,NA
"B_skewt_k1","B_keep",2,10,0.925372410800627,1.03240633133115,0.761772395595571,0.436931449830244,0.324540195673138,0.6,1,NA
"A_gaussian","A_trim",5,10,-0.0130149210695725,0.142258891128174,0.111173005109102,0.00995911871149531,0.664707567166886,1,NA,NA
"B_skewt_k1","A_trim",5,10,2.95277291607732,6.76993765925727,0.202599478109998,0.0706707718243538,0.632863217676711,0.8,NA,1
"A_gaussian","B_keep",5,10,0.00990917684711317,0.169316599597889,0.11806102707091,0.0132779402170498,0.613934379974367,1,NA,NA
"B_skewt_k1","B_keep",5,10,0.947351937428842,1.05674579141589,0.772533887788764,0.430712689899885,0.321794190574884,0.7,1,NA
