"pair","score","scheme","n_units","Delta","CI_lo","CI_hi","boot_p","sig"
"AR(2) vs AR(1)","brier","site",200,-6.23372871717674e-05,-0.000420458089233288,0.000287914263170336,0.753,""
"AR(2) vs AR(1)","brier","block_coarse",12,-6.23372871717674e-05,-0.000314795889004667,0.000313459598387368,0.696,""
"AR(2) vs AR(1)","brier","block_med",20,-6.23372871717674e-05,-0.000447328819479306,0.000277529912242484,0.771,""
"AR(2) vs AR(1)","brier","block_fine",35,-6.23372871717674e-05,-0.000410344382353624,0.000259671733680633,0.758,""
"AR(2) vs AR(1)","crps","site",200,0.0213228901615977,0.00300776725623388,0.0400989966453781,0.026,"*"
"AR(2) vs AR(1)","crps","block_coarse",12,0.0213228901615977,-0.00384877644208383,0.0588566845717669,0.113,""
"AR(2) vs AR(1)","crps","block_med",20,0.0213228901615977,-0.0020061301003579,0.0536972362305837,0.082,""
"AR(2) vs AR(1)","crps","block_fine",35,0.0213228901615977,-0.00167446971821057,0.0494254628574776,0.076,""
"AR(2) vs AR(1)","twcrps","site",200,-0.000149876236986964,-0.00465737367495475,0.00428499284989263,0.981,""
"AR(2) vs AR(1)","twcrps","block_coarse",12,-0.000149876236986964,-0.00516979937060996,0.00488038230746852,0.959,""
"AR(2) vs AR(1)","twcrps","block_med",20,-0.000149876236986964,-0.00652184982270546,0.0056260534442301,0.993,""
"AR(2) vs AR(1)","twcrps","block_fine",35,-0.000149876236986964,-0.0061944933566026,0.00516423264950381,0.951,""
"MRTS vs none","brier","site",200,-7.94224652951996e-05,-0.000340850268095312,0.000167384435441028,0.521,""
"MRTS vs none","brier","block_coarse",12,-7.94224652951996e-05,-0.000481096877092977,0.000297272790952653,0.639,""
"MRTS vs none","brier","block_med",20,-7.94224652951996e-05,-0.000369237502867461,0.000233393882955685,0.595,""
"MRTS vs none","brier","block_fine",35,-7.94224652951996e-05,-0.000366963315470958,0.000200304060584806,0.51,""
"MRTS vs none","crps","site",200,-0.0172838784427931,-0.0527311672001903,0.0193687274094713,0.344,""
"MRTS vs none","crps","block_coarse",12,-0.0172838784427931,-0.084525364354501,0.0243233561256296,0.492,""
"MRTS vs none","crps","block_med",20,-0.0172838784427931,-0.081281904628515,0.0302023747429014,0.515,""
"MRTS vs none","crps","block_fine",35,-0.0172838784427931,-0.0662043496772981,0.02208431504732,0.384,""
"MRTS vs none","twcrps","site",200,-0.00184234416708226,-0.0056220222825506,0.00166019939349722,0.289,""
"MRTS vs none","twcrps","block_coarse",12,-0.00184234416708226,-0.00899260371392062,0.00326642017026074,0.509,""
"MRTS vs none","twcrps","block_med",20,-0.00184234416708226,-0.00620704323265975,0.00273049961705218,0.45,""
"MRTS vs none","twcrps","block_fine",35,-0.00184234416708226,-0.00660129689429583,0.00187099239084613,0.339,""
