setting,method,knots,thresh,CMAQ,TS,ar2,mrts,lane,tier,composite_tail_brier,best_tail_q,n_top5_appearances,has_result
1,gaussian,1,0,yes,no,,NA,gaussian_reference,0,1,0.9,0,TRUE
3,skew-t,1,0,yes,no,,NA,baseline,1,0.991969442,0.99,1,TRUE
8,skew-t,5,50,yes,no,,NA,baseline,1,0.974353576,0.99,1,TRUE
12,skew-t,10,50,yes,no,,NA,baseline,1,0.988677357,0.99,0,TRUE
13,t,10,75,yes,no,,NA,baseline,1,0.998753891,0.99,2,TRUE
15,skew-t,15,0,yes,no,,NA,baseline,1,0.981032369,0.99,0,TRUE
16,skew-t,15,50,yes,no,,NA,baseline,1,0.976665167,0.99,0,TRUE
29,skew-t,3,0,yes,no,,NA,baseline,1,0.992406144,0.99,1,TRUE
34,skew-t,7,0,yes,no,,NA,baseline,1,0.98073886,0.99,0,TRUE
35,skew-t,8,0,yes,no,,NA,baseline,1,0.980888589,0.99,0,TRUE
38,skew-t,6,50,yes,no,,NA,baseline,1,0.977923504,0.99,0,TRUE
39,skew-t,7,50,yes,no,,NA,baseline,1,0.979814027,0.99,0,TRUE
41,skew-t,9,50,yes,no,,NA,baseline,1,0.9816148,0.99,0,TRUE
42,skew-t,11,50,yes,no,,NA,baseline,1,0.97902488,0.99,1,TRUE
51,skew-t,1,0,yes,yes,,NA,ts_baseline,1,0.992959847,0.99,1,TRUE
54,skew-t,5,0,yes,yes,,NA,ts_baseline,1,0.981460614,0.99,0,TRUE
55,skew-t,5,50,yes,yes,,NA,ts_baseline,1,0.978004114,0.99,1,TRUE
58,skew-t,6,50,yes,yes,,NA,ts_baseline,1,0.976712218,0.99,1,TRUE
60,skew-t,7,0,yes,yes,,NA,ts_baseline,1,0.980954996,0.99,0,TRUE
61,skew-t,7,50,yes,yes,,NA,ts_baseline,1,0.977348628,0.99,0,TRUE
62,t,7,75,yes,yes,,NA,ts_baseline,1,0.997899491,0.99,0,TRUE
67,skew-t,9,50,yes,yes,,NA,ts_baseline,1,0.977516788,0.99,2,TRUE
68,t,9,75,yes,yes,,NA,ts_baseline,1,0.995251804,0.99,2,TRUE
70,skew-t,10,50,yes,yes,,NA,ts_baseline,1,0.980912168,0.99,0,TRUE
74,t,15,75,yes,yes,,NA,ts_baseline,1,1.001786614,0.99,0,TRUE
101,skew-t,1,0,yes,yes,yes,NA,ar2,1,0.992327592,0.99,1,TRUE
105,skew-t,5,50,yes,yes,yes,NA,ar2,1,0.977097906,0.99,2,TRUE
