"setting","metric","quantile","score_mean","score_se","rel_to_gaussian","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
1,"brier",0.9,0.045044881630345,0.00123137598059925,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"quantile",0.9,5.04130951317699,0.0152250584038081,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"brier",0.91,0.0417618590115885,0.0017220347721953,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"quantile",0.91,4.67348769640864,0.0156331041090021,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"brier",0.92,0.0383247665674039,0.0019384887979615,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"quantile",0.92,4.28698011515256,0.0160655883901022,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"brier",0.93,0.0344358446368161,0.00205857489271342,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"quantile",0.93,3.88022620113155,0.0167414417577083,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"brier",0.94,0.0308852173568743,0.00240746495877473,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"quantile",0.94,3.4525047831318,0.0169988811530226,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"brier",0.95,0.0270301315668394,0.00205895451591001,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
