"quantile","baseline_setting","proposed_setting","baseline_rel_brier","proposed_rel_brier","delta_rel_brier","baseline_rel_quant","proposed_rel_quant","delta_rel_quant","method","knots","thresh","CMAQ","TS","proposed_is_ar2","proposed_is_mrts","proposed_lane"
0.9,51,101,0.992240779164545,0.992424612266342,0.00018383310179737,0.999398136655813,0.999243610092444,-0.000154526563369228,"skew-t",1,0,"yes","yes",TRUE,FALSE,"ar2"
0.91,51,101,0.99316063132037,0.99307384552794,-8.67857924308213e-05,0.999227795058516,0.9991660958854,-6.16991731162697e-05,"skew-t",1,0,"yes","yes",TRUE,FALSE,"ar2"
0.92,51,101,0.994137720574948,0.993800134008681,-0.000337586566266479,0.999107719981958,0.999077257537106,-3.04624448518309e-05,"skew-t",1,0,"yes","yes",TRUE,FALSE,"ar2"
0.93,51,101,0.995805874606192,0.994986563905986,-0.000819310700205578,0.999049807684305,0.998895417609644,-0.00015439007466056,"skew-t",1,0,"yes","yes",TRUE,FALSE,"ar2"
0.94,51,101,0.996261929265193,0.9960363657942,-0.000225563470993007,0.998820701129011,0.998657005966766,-0.000163695162244903,"skew-t",1,0,"yes","yes",TRUE,FALSE,"ar2"
0.95,51,101,0.996953281494973,0.99691923635637,-3.4045138603167e-05,0.998449750187276,0.998161729873089,-0.000288020314187065,"skew-t",1,0,"yes","yes",TRUE,FALSE,"ar2"
0.96,51,101,0.999304954159779,0.998483756521334,-0.000821197638445681,0.997651472476335,0.997219288293464,-0.000432184182871054,"skew-t",1,0,"yes","yes",TRUE,FALSE,"ar2"
0.97,51,101,0.998633528351932,0.998484000336614,-0.000149528015317535,0.996924215709321,0.99656432103116,-0.000359894678160222,"skew-t",1,0,"yes","yes",TRUE,FALSE,"ar2"
0.98,51,101,0.995100854502497,0.994173618623348,-0.000927235879149002,0.99552558052283,0.995161783374471,-0.000363797148359546,"skew-t",1,0,"yes","yes",TRUE,FALSE,"ar2"
0.99,51,101,0.988390361004159,0.986643094044914,-0.0017472669592451,0.992097572391021,0.991474756895074,-0.000622815495947004,"skew-t",1,0,"yes","yes",TRUE,FALSE,"ar2"
0.995,51,101,0.992113960124778,0.991477400984286,-0.000636559140492765,0.986475458116869,0.984133637947125,-0.00234182016974427,"skew-t",1,0,"yes","yes",TRUE,FALSE,"ar2"
0.9,52,102,0.998753062533839,0.998236320285355,-0.000516742248484081,1.00121060384522,1.00107201328796,-0.000138590557252627,"skew-t",1,50,"yes","yes",TRUE,FALSE,"ar2"
0.91,52,102,0.998812566301742,0.998317333456195,-0.000495232845546756,1.00129570423657,1.00112824296743,-0.000167461269139135,"skew-t",1,50,"yes","yes",TRUE,FALSE,"ar2"
0.92,52,102,0.998427930263644,0.997821372121951,-0.00060655814169297,1.00111139675834,1.00098997067367,-0.000121426084664034,"skew-t",1,50,"yes","yes",TRUE,FALSE,"ar2"
0.93,52,102,0.999273362097345,0.999070910954916,-0.000202451142428561,1.00104375414859,1.00090330325324,-0.00014045089534287,"skew-t",1,50,"yes","yes",TRUE,FALSE,"ar2"
0.94,52,102,1.00039000338742,0.999770901642483,-0.000619101744937844,1.00085697147146,1.00065399664078,-0.000202974830685987,"skew-t",1,50,"yes","yes",TRUE,FALSE,"ar2"
0.95,52,102,0.998690250354236,0.998963081609385,0.000272831255149653,0.999734077181074,0.999569684528929,-0.000164392652144962,"skew-t",1,50,"yes","yes",TRUE,FALSE,"ar2"
0.96,52,102,0.995834989774576,0.996556882899141,0.000721893124564943,0.998504030238303,0.998359704673166,-0.00014432556513666,"skew-t",1,50,"yes","yes",TRUE,FALSE,"ar2"
0.97,52,102,0.994851705486654,0.995967319561164,0.00111561407451077,0.996976760558133,0.996832544235365,-0.00014421632276751,"skew-t",1,50,"yes","yes",TRUE,FALSE,"ar2"
0.98,52,102,0.984513379283401,0.985062557212806,0.000549177929404898,0.994834914504267,0.994498171563807,-0.000336742940460155,"skew-t",1,50,"yes","yes",TRUE,FALSE,"ar2"
0.99,52,102,0.968021210938559,0.968096282506052,7.50715674935343e-05,0.985213598430482,0.984763441254371,-0.000450157176110966,"skew-t",1,50,"yes","yes",TRUE,FALSE,"ar2"
0.995,52,102,0.97396189823549,0.972331945733747,-0.00162995250174292,0.965726243764581,0.966009304699937,0.000283060935355905,"skew-t",1,50,"yes","yes",TRUE,FALSE,"ar2"
0.9,53,103,1.08682530880556,1.08776704797327,0.000941739167718225,1.02263754058349,1.02328888679735,0.000651346213861981,"t",1,75,"yes","yes",TRUE,FALSE,"ar2"
0.91,53,103,1.07172423711567,1.0729015212923,0.00117728417662666,1.02077805142196,1.02154238527933,0.00076433385736796,"t",1,75,"yes","yes",TRUE,FALSE,"ar2"
0.92,53,103,1.05500623137044,1.0574368034821,0.00243057211165643,1.01879991014111,1.01992274265974,0.0011228325186341,"t",1,75,"yes","yes",TRUE,FALSE,"ar2"
0.93,53,103,1.03434957706465,1.03703026964754,0.00268069258289549,1.01699341941772,1.01853631918976,0.00154289977204192,"t",1,75,"yes","yes",TRUE,FALSE,"ar2"
0.94,53,103,1.0203699895723,1.02325711781395,0.00288712824164739,1.01620706474389,1.01801298914341,0.00180592439952076,"t",1,75,"yes","yes",TRUE,FALSE,"ar2"
0.95,53,103,1.01228039582623,1.01548788493863,0.00320748911240143,1.01434150152749,1.01625218960806,0.00191068808056349,"t",1,75,"yes","yes",TRUE,FALSE,"ar2"
0.96,53,103,1.00381745465647,1.00800255029847,0.00418509564200154,1.01206252160255,1.01399993053475,0.00193740893219796,"t",1,75,"yes","yes",TRUE,FALSE,"ar2"
0.97,53,103,1.00518767237822,1.01165636740688,0.00646869502865766,1.01005833820136,1.01177562030378,0.00171728210241961,"t",1,75,"yes","yes",TRUE,FALSE,"ar2"
0.98,53,103,0.987383198471936,0.993477144885183,0.00609394641324712,1.00638735252479,1.00764514093278,0.0012577884079874,"t",1,75,"yes","yes",TRUE,FALSE,"ar2"
0.99,53,103,0.959330478602021,0.963609301144641,0.0042788225426198,0.993934843121405,0.995024519500212,0.00108967637880719,"t",1,75,"yes","yes",TRUE,FALSE,"ar2"
0.995,53,103,0.964194728236206,0.96424111711409,4.63888778843291e-05,0.962959892170864,0.964038243609348,0.00107835143848423,"t",1,75,"yes","yes",TRUE,FALSE,"ar2"
0.9,54,104,0.997162491336309,0.997039603414571,-0.000122887921738091,0.999695075555908,0.999342590835624,-0.000352484720284596,"skew-t",5,0,"yes","yes",TRUE,FALSE,"ar2"
0.91,54,104,0.997167897333778,0.998430566423279,0.00126266908950046,0.999594707436593,0.999491480188007,-0.000103227248586468,"skew-t",5,0,"yes","yes",TRUE,FALSE,"ar2"
0.92,54,104,0.995657267154303,0.997944502848198,0.00228723569389411,0.999419057323921,0.999224047776017,-0.000195009547903746,"skew-t",5,0,"yes","yes",TRUE,FALSE,"ar2"
0.93,54,104,0.999651341624051,1.00225184391237,0.00260050228832243,0.999452310065184,0.999035998825106,-0.00041631124007846,"skew-t",5,0,"yes","yes",TRUE,FALSE,"ar2"
0.94,54,104,0.99990328591659,1.00074702867104,0.000843742754447985,0.999042930897426,0.998295818812442,-0.000747112084984014,"skew-t",5,0,"yes","yes",TRUE,FALSE,"ar2"
0.95,54,104,0.997760353534153,0.999689892761971,0.00192953922781858,0.997977281392106,0.99710334866114,-0.000873932730966032,"skew-t",5,0,"yes","yes",TRUE,FALSE,"ar2"
0.96,54,104,0.995800637621633,0.998068043195278,0.00226740557364469,0.996777263371657,0.995609015121641,-0.00116824825001571,"skew-t",5,0,"yes","yes",TRUE,FALSE,"ar2"
0.97,54,104,0.989841371447149,0.992617305774123,0.00277593432697376,0.9946117182404,0.993431721158264,-0.00117999708213579,"skew-t",5,0,"yes","yes",TRUE,FALSE,"ar2"
0.98,54,104,0.986129505465689,0.99119438287508,0.00506487740939066,0.991171174714625,0.989909629628037,-0.00126154508658827,"skew-t",5,0,"yes","yes",TRUE,FALSE,"ar2"
0.99,54,104,0.96031657085604,0.961751319599505,0.0014347487434645,0.978477185641936,0.97985647665421,0.00137929101227463,"skew-t",5,0,"yes","yes",TRUE,FALSE,"ar2"
0.995,54,104,0.965934148957085,0.972193409163886,0.00625926020680101,0.954668041361218,0.959163812448795,0.00449577108757693,"skew-t",5,0,"yes","yes",TRUE,FALSE,"ar2"
0.9,55,105,0.996778678973392,0.997777886537558,0.000999207564166382,0.999466539196426,1.00002897498727,0.000562435790840365,"skew-t",5,50,"yes","yes",TRUE,FALSE,"ar2"
0.91,55,105,0.995957063100951,0.998388340759452,0.0024312776585006,0.999449768503456,1.0000156619289,0.00056589342543889,"skew-t",5,50,"yes","yes",TRUE,FALSE,"ar2"
0.92,55,105,0.994775443834741,0.996067061020468,0.00129161718572723,0.999023120802528,0.999710370037647,0.000687249235118426,"skew-t",5,50,"yes","yes",TRUE,FALSE,"ar2"
0.93,55,105,0.994977552429051,0.994330197936938,-0.000647354492113061,0.998912803239179,0.999538454580112,0.000625651340933397,"skew-t",5,50,"yes","yes",TRUE,FALSE,"ar2"
0.94,55,105,0.993341150396027,0.991851179012467,-0.00148997138356,0.998010075325295,0.998980270635893,0.000970195310597166,"skew-t",5,50,"yes","yes",TRUE,FALSE,"ar2"
0.95,55,105,0.991422347822086,0.989929285165617,-0.00149306265646876,0.996743539290541,0.9978245593465,0.00108102005595923,"skew-t",5,50,"yes","yes",TRUE,FALSE,"ar2"
0.96,55,105,0.985779310908249,0.985529830550016,-0.000249480358232912,0.994883910558362,0.995914997397023,0.00103108683866127,"skew-t",5,50,"yes","yes",TRUE,FALSE,"ar2"
0.97,55,105,0.982108392626782,0.983637728081037,0.00152933545425538,0.992400478047381,0.99352740212615,0.00112692407876847,"skew-t",5,50,"yes","yes",TRUE,FALSE,"ar2"
0.98,55,105,0.973652178984649,0.974984711126998,0.00133253214234952,0.988111604470104,0.990153882122332,0.00204227765222798,"skew-t",5,50,"yes","yes",TRUE,FALSE,"ar2"
0.99,55,105,0.958829942698691,0.957548289430952,-0.00128165326773899,0.974064315055015,0.977693718118218,0.0036294030632027,"skew-t",5,50,"yes","yes",TRUE,FALSE,"ar2"
0.995,55,105,0.969337422189638,0.965249355291616,-0.00408806689802232,0.944049002805193,0.948801523508416,0.00475252070322207,"skew-t",5,50,"yes","yes",TRUE,FALSE,"ar2"
0.9,56,106,1.0880453533919,1.08854212260691,0.000496769215007742,1.02328493855693,1.02685863407449,0.0035736955175607,"t",5,75,"yes","yes",TRUE,FALSE,"ar2"
0.91,56,106,1.0717287364103,1.07444032703195,0.00271159062165705,1.02170828562949,1.02540408281005,0.0036957971805669,"t",5,75,"yes","yes",TRUE,FALSE,"ar2"
0.92,56,106,1.05522418309373,1.05862689503849,0.00340271194476371,1.02017165979836,1.02396517287411,0.00379351307574738,"t",5,75,"yes","yes",TRUE,FALSE,"ar2"
0.93,56,106,1.03250493871727,1.03763954453179,0.00513460581452452,1.01912351431622,1.02291546624191,0.00379195192568549,"t",5,75,"yes","yes",TRUE,FALSE,"ar2"
0.94,56,106,1.01688484670828,1.02444054386008,0.00755569715180382,1.01820258561799,1.02185151508923,0.0036489294712394,"t",5,75,"yes","yes",TRUE,FALSE,"ar2"
0.95,56,106,1.00592881406246,1.01498464299952,0.0090558289370668,1.01578748556319,1.01962003558904,0.00383255002585248,"t",5,75,"yes","yes",TRUE,FALSE,"ar2"
0.96,56,106,0.996752996952297,1.00913656877188,0.0123835718195812,1.01284417999952,1.01676903264233,0.00392485264281039,"t",5,75,"yes","yes",TRUE,FALSE,"ar2"
0.97,56,106,0.998455694355817,1.01090987429864,0.0124541799428264,1.00903406941023,1.01321166650033,0.00417759709010013,"t",5,75,"yes","yes",TRUE,FALSE,"ar2"
0.98,56,106,0.979456109403429,0.989189587630003,0.009733478226574,1.00340046270809,1.00805621465305,0.00465575194496193,"t",5,75,"yes","yes",TRUE,FALSE,"ar2"
0.99,56,106,0.957020799224644,0.961115101053166,0.00409430182852288,0.988268466642097,0.995014395660326,0.00674592901822924,"t",5,75,"yes","yes",TRUE,FALSE,"ar2"
