"pair","level","scheme","n_units","Delta","CI_lo","CI_hi","boot_p","sig"
"AR(2) vs AR(1)",0.9,"site",800,-0.000148895859912445,-0.000371062229762126,7.3965859983001e-05,0.197,""
"AR(2) vs AR(1)",0.9,"block_coarse",12,-0.000148895859912445,-0.000375127948718604,5.60057410511775e-05,0.24,""
"AR(2) vs AR(1)",0.9,"block_med",23,-0.000148895859912445,-0.000407122587030666,8.39638451956668e-05,0.224,""
"AR(2) vs AR(1)",0.9,"block_fine",40,-0.000148895859912445,-0.000371815060552741,4.01578273149587e-05,0.144,""
"AR(2) vs AR(1)",0.95,"site",800,-0.000122176593704399,-0.000288852005751741,3.91605485502958e-05,0.146,""
"AR(2) vs AR(1)",0.95,"block_coarse",12,-0.000122176593704399,-0.000253425988870967,1.22069610773159e-05,0.081,""
"AR(2) vs AR(1)",0.95,"block_med",23,-0.000122176593704399,-0.00026292040067104,3.1455901685652e-05,0.124,""
"AR(2) vs AR(1)",0.95,"block_fine",40,-0.000122176593704399,-0.000259686156005051,1.19231127237718e-05,0.07,""
"AR(2) vs AR(1)",0.98,"site",800,3.05446654158848e-05,-8.60943361895179e-05,0.00013931134770163,0.609,""
"AR(2) vs AR(1)",0.98,"block_coarse",12,3.05446654158848e-05,-2.19724077621664e-05,7.3899806565459e-05,0.257,""
"AR(2) vs AR(1)",0.98,"block_med",23,3.05446654158848e-05,-5.8661939762245e-05,0.000140681855986538,0.556,""
"AR(2) vs AR(1)",0.98,"block_fine",40,3.05446654158848e-05,-6.75762419401896e-05,0.000139662600772641,0.534,""
"AR(2) vs AR(1)",0.99,"site",800,-5.64302489055661e-05,-0.00014337451333513,2.96987927000439e-05,0.186,""
"AR(2) vs AR(1)",0.99,"block_coarse",12,-5.64302489055661e-05,-0.000149736548724707,5.85674183478673e-05,0.339,""
"AR(2) vs AR(1)",0.99,"block_med",23,-5.64302489055661e-05,-0.000135306952533813,4.09919960199521e-05,0.243,""
"AR(2) vs AR(1)",0.99,"block_fine",40,-5.64302489055661e-05,-0.000168103618763402,4.31049434708443e-05,0.357,""
"AR(2) vs AR(1)",0.995,"site",800,-2.81999733166562e-05,-8.07080831930239e-05,2.26090052333571e-05,0.283,""
"AR(2) vs AR(1)",0.995,"block_coarse",12,-2.81999733166562e-05,-6.14216068217011e-05,1.73802947006661e-05,0.205,""
"AR(2) vs AR(1)",0.995,"block_med",23,-2.81999733166562e-05,-5.98877269130318e-05,1.0365390776171e-05,0.162,""
"AR(2) vs AR(1)",0.995,"block_fine",40,-2.81999733166562e-05,-6.32122149026095e-05,1.2267573570175e-05,0.163,""
"MRTS vs none",0.9,"site",800,-3.01929322493228e-05,-0.000129632672364027,6.95994739762239e-05,0.599,""
"MRTS vs none",0.9,"block_coarse",12,-3.01929322493228e-05,-0.000104148083141267,4.0685251816956e-05,0.354,""
"MRTS vs none",0.9,"block_med",23,-3.01929322493228e-05,-0.000148432420544841,7.04949488451349e-05,0.55,""
"MRTS vs none",0.9,"block_fine",40,-3.01929322493228e-05,-0.00013998923853536,7.42971636353542e-05,0.543,""
"MRTS vs none",0.95,"site",800,-8.27079958307274e-05,-0.000140883302903824,-2.52186091958548e-05,0.005,"*"
"MRTS vs none",0.95,"block_coarse",12,-8.27079958307274e-05,-0.000135272494848399,-2.02320039738597e-05,0.02,"*"
"MRTS vs none",0.95,"block_med",23,-8.27079958307274e-05,-0.000132992558910189,-2.53400149659486e-05,0.008,"*"
"MRTS vs none",0.95,"block_fine",40,-8.27079958307274e-05,-0.000132873196312379,-2.6018004106465e-05,0.003,"*"
"MRTS vs none",0.98,"site",800,-3.51300412757973e-05,-7.14867574467424e-05,5.69154625627243e-06,0.086,""
"MRTS vs none",0.98,"block_coarse",12,-3.51300412757973e-05,-6.98906092716517e-05,-1.32123196360019e-05,0.001,"*"
"MRTS vs none",0.98,"block_med",23,-3.51300412757973e-05,-6.36823726842583e-05,-7.45963888945883e-06,0.016,"*"
"MRTS vs none",0.98,"block_fine",40,-3.51300412757973e-05,-7.67570731418274e-05,5.13195082477021e-06,0.084,""
"MRTS vs none",0.99,"site",800,-2.80749401709402e-05,-5.08608010394508e-05,-5.08951662198141e-06,0.021,"*"
"MRTS vs none",0.99,"block_coarse",12,-2.80749401709402e-05,-4.85252059917069e-05,-1.34373079232365e-05,0,"*"
"MRTS vs none",0.99,"block_med",23,-2.80749401709402e-05,-4.33022201233713e-05,-1.32443266665783e-05,0,"*"
"MRTS vs none",0.99,"block_fine",40,-2.80749401709402e-05,-5.0221659539187e-05,-9.88004243219342e-06,0,"*"
"MRTS vs none",0.995,"site",800,-7.5842151344589e-06,-2.02512972261473e-05,5.84764818035785e-06,0.251,""
"MRTS vs none",0.995,"block_coarse",12,-7.5842151344589e-06,-1.50367815510066e-05,-2.49744844007044e-06,0,"*"
"MRTS vs none",0.995,"block_med",23,-7.5842151344589e-06,-1.58750281856977e-05,2.85680743679692e-06,0.126,""
"MRTS vs none",0.995,"block_fine",40,-7.5842151344589e-06,-1.74991617081084e-05,3.26211121978885e-06,0.157,""
