"x","y","grid.cell","ndays","brier"
0.894,0.054,785,31,0.0400094632258065
0.882,0.114,954,7,0.00516656
0.978,-0.114,316,30,0.0319527306666667
0.99,0.102,929,13,0.0508696584615385
0.966,-0.126,281,31,0.0260116722580645
0.93,0.066,822,31,0.0417948038709677
0.942,0.054,789,31,0.0390417290322581
0.894,0.03,717,31,0.00893870838709677
0.966,0.174,1131,31,0.00510640129032258
0.942,-0.066,449,31,0.0101070761290323
0.93,-0.006,618,31,0.0181839135483871
0.954,0.066,824,31,0.0247561393548387
0.918,0.018,685,31,0.0151249587096774
0.93,0.042,754,30,0.0220936866666667
0.918,0.03,719,31,0.0254597793548387
0.93,0.03,720,31,0.0153555741935484
0.894,0.006,649,31,0.0315631290322581
0.906,-0.162,174,31,0.0550158116129032
0.942,0.018,687,31,0.0119499135483871
1.038,-0.054,491,31,0.0341949561290323
1.242,-0.078,440,31,0.0096899264516129
0.978,-0.162,180,31,0.0318772503225806
1.074,-0.03,562,31,0.0656958580645161
1.218,-0.102,370,31,0.00802594322580645
0.87,-0.198,69,31,0.0620022903225806
1.086,-0.138,257,30,0.00820688266666667
1.23,-0.066,473,27,0.0186129392592593
0.882,-0.174,138,31,0.0201049251612903
0.978,-0.198,78,31,0.0268985148387097
0.99,-0.138,249,31,0.0373538387096774
0.966,-0.15,213,31,0.0352743096774194
0.978,-0.126,282,31,0.0332307238709677
1.074,-0.162,188,31,0.0414807109677419
1.062,-0.03,561,31,0.03308236
1.002,-0.114,318,31,0.0704600348387097
1.206,-0.21,63,29,1.48275862068964e-06
1.266,-0.174,170,31,9.43225806451616e-07
1.086,0.162,1107,31,0.0144108567741935
1.062,0.006,663,31,0.047597095483871
1.11,0.078,871,31,0.0142281380645161
1.098,0.066,836,31,0.015890344516129
1.098,-0.018,598,31,0.0614527122580645
1.122,0.018,702,31,0.0543384838709677
1.17,0.126,1012,31,0.0349345690322581
1.182,0.078,877,31,0.0297748580645161
1.194,0.102,946,31,0.0526880193548387
1.182,0.09,911,31,0.0679056670967742
1.182,0.102,945,31,0.016081504516129
1.11,0.042,769,31,0.02465112
1.074,-0.006,630,31,0.0473922825806452
1.05,-0.018,594,31,0.0314590180645161
1.074,-0.018,596,30,0.065448428
1.206,0.126,1015,31,0.0179551058064516
1.254,-0.054,509,31,0.000554267096774193
1.23,0.102,949,27,0.0251396177777778
1.146,0.066,840,31,0.0384894696774194
1.086,0.09,903,31,0.00739054064516129
1.086,0.054,801,31,0.0161258025806452
1.038,0.054,797,31,0.00653470709677419
1.086,0.018,699,31,0.0462578516129032
1.254,-0.078,441,31,0.0136217367741935
1.206,-0.138,267,31,0.00117962451612903
1.17,0.054,808,31,0.022104095483871
1.038,-0.186,117,31,0.0127008167741936
1.038,0.018,695,31,0.0188471290322581
0.942,0.15,1061,31,0.0192410012903226
