"band_type","event_quantile","event_threshold_value","score_mean","score_se","rel_to_gaussian","n_obs_total","n_obs_mean_per_fold","obs_share","score_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
"all",0.9,73.25,0.045044881630345,0.00123137598059925,1,23985,11992.5,1,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"below_threshold",0.9,73.25,0.0180706832532135,0.000880078976855245,1,21603,10801.5,0.900687929956223,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"above_threshold",0.9,73.25,0.289813550676462,0.00367026101903961,1,2382,1191,0.0993120700437774,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"all",0.95,79.75,0.0270301315668394,0.00205895451591001,1,23985,11992.5,1,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"below_threshold",0.95,79.75,0.00843169951156119,0.000588712028187025,1,22787,11393.5,0.950052115905774,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"above_threshold",0.95,79.75,0.380242807656028,0.0112629304679786,1,1198,599,0.0499478840942256,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"all",0.98,88.5,0.0129121358741124,0.00068324673182685,1,23985,11992.5,1,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"below_threshold",0.98,88.5,0.00221427984637318,0.000206848790029169,1,23508,11754,0.980112570356473,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"above_threshold",0.98,88.5,0.539962279153318,0.00479470610983979,1,477,238.5,0.0198874296435272,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"all",0.99,94.75,0.00726353072383586,0.000585627911466105,1,23985,11992.5,1,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"below_threshold",0.99,94.75,0.000752340992724027,9.2872373195407e-05,1,23746,11873,0.990035438815927,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"above_threshold",0.99,94.75,0.653424700893933,0.0356442492700014,1,239,119.5,0.00996456118407338,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"all",0.995,100.52,0.00403018868318556,5.64318006315892e-05,1,23985,11992.5,1,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"below_threshold",0.995,100.52,0.000231575676146745,1.53424841318808e-06,1,23865,11932.5,0.994996873045654,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"above_threshold",0.995,100.52,0.760676430278087,0.0360374483426029,1,120,60,0.00500312695434647,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"all",0.9,73.25,0.900686820854363,0.00295575645663165,19.9953199621154,23985,11992.5,1,"lower_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.9,73.25,1,0,55.3382506896727,21603,10801.5,0.900687929956223,"lower_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.9,73.25,0,0,0,2382,1191,0.0993120700437774,"lower_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.95,79.75,0.0310895921878941,0.00153664851558715,1.15018279178614,23985,11992.5,1,"lower_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.95,79.75,0.00810341783651341,0.000219857400449939,0.961065776288913,22787,11393.5,0.950052115905774,"lower_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.95,79.75,0.468138905440876,0.00337029986384035,1.23115781814961,1198,599,0.0499478840942256,"lower_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.98,88.5,0.0147902457739024,0.00053843522765472,1.14545307748468,23985,11992.5,1,"lower_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.98,88.5,0.00289860423448448,2.04154771384238e-05,1.30905054265483,23508,11754,0.980112570356473,"lower_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.98,88.5,0.600601382541542,0.00655413829516521,1.11230248061644,477,238.5,0.0198874296435272,"lower_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.99,94.75,0.00830351372232075,0.000562769737898723,1.14317871542446,23985,11992.5,1,"lower_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.99,94.75,0.00132901797649402,2.13316224036912e-06,1.7665101188784,23746,11873,0.990035438815927,"lower_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.99,94.75,0.700372341720922,0.0413782050732489,1.07184858601574,239,119.5,0.00996456118407338,"lower_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.995,100.52,0.00456167816408734,3.22230952275312e-05,1.13187707144314,23985,11992.5,1,"lower_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.995,100.52,0.000637880487691373,3.12002490772348e-05,2.75452283376757,23865,11932.5,0.994996873045654,"lower_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.995,100.52,0.786187766049932,0.0385362520535163,1.0335376971816,120,60,0.00500312695434647,"lower_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.9,73.25,0.0447061506777583,0.0013408806702564,0.992480145571999,23985,11992.5,1,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.9,73.25,0.017849954001689,0.000881579980842172,0.98778522934459,21603,10801.5,0.900687929956223,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.9,73.25,0.288371195346501,0.00254489593377627,0.995023161178644,2382,1191,0.0993120700437774,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.95,79.75,0.0269511911426042,0.00212480392913418,0.997079539770645,23985,11992.5,1,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.95,79.75,0.00842753757369942,0.00061121466505399,0.99950639395343,22787,11393.5,0.950052115905774,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.95,79.75,0.378693822315892,0.0122312050926932,0.995926325734642,1198,599,0.0499478840942256,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.98,88.5,0.012833006120031,0.000698438771527216,0.993871675851858,23985,11992.5,1,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.98,88.5,0.00228132218398942,0.000220697739356122,1.03027726496542,23508,11754,0.980112570356473,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.98,88.5,0.532667466126386,0.00514121986551663,0.98649014327747,477,238.5,0.0198874296435272,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.99,94.75,0.00716202997168336,0.000581918980602258,0.986025976069817,23985,11992.5,1,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.99,94.75,0.000794665919569593,9.72290071116809e-05,1.05625763750068,23746,11873,0.990035438815927,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.99,94.75,0.639044118087432,0.035146331420765,0.977991981651708,239,119.5,0.00996456118407338,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.995,100.52,0.00399145806710186,4.93266042361443e-05,0.990389875232073,23985,11992.5,1,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.995,100.52,0.000254242577512097,4.94246523727467e-06,1.09788118399356,23865,11932.5,0.994996873045654,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.995,100.52,0.748344437363738,0.0335322709121246,0.983788122750378,120,60,0.00500312695434647,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.9,73.25,0.04497923967697,0.0012467169029432,0.998542743348431,23985,11992.5,1,"lower_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
