"calibration_type","bin_id","bin_left","bin_right","bin_mid","expected_share","observed_share_mean","observed_share_se","share_gap","count_total","count_mean_per_fold","summary_draws_used","n_obs_total","bin_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
"pit_histogram",1,0,0.1,0.05,0.1,0.0763846805044605,0.00961798883154222,-0.0236153194955395,1832,916,400,23985,"closer_to_expected_share_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0837225072033774,0.00937058588971567,-0.0162774927966226,2008,1004,400,23985,"closer_to_expected_share_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.0985635860917181,0.00529026776213573,-0.00143641390828191,2364,1182,400,23985,"closer_to_expected_share_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.119784763508194,0.00417252711576292,0.0197847635081944,2873,1436.5,400,23985,"closer_to_expected_share_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.126370650470425,5.72590595096511e-06,0.0263706504704254,3031,1515.5,400,23985,"closer_to_expected_share_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.125869555476957,0.00207909835316686,0.0258695554769572,3019,1509.5,400,23985,"closer_to_expected_share_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.116320903298898,0.00479270843736961,0.0163209032988978,2790,1395,400,23985,"closer_to_expected_share_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.0973498817647355,0.00700954142439514,-0.0026501182352645,2335,1167.5,400,23985,"closer_to_expected_share_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.0789215071535652,0.00751676908216043,-0.0210784928464348,1893,946.5,400,23985,"closer_to_expected_share_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"pit_histogram",10,0.9,1,0.95,0.1,0.0767119645276685,0.00705897820801547,-0.0232880354723315,1840,920,400,23985,"closer_to_expected_share_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"pit_histogram",1,0,0.1,0.05,0.1,0.917238756636106,0.00315800922202525,0.817238756636106,22000,11000,400,23985,"closer_to_expected_share_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.000833823320695039,8.30725699442879e-05,-0.099166176679305,20,10,400,23985,"closer_to_expected_share_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.0016260634227626,0.000125688328989154,-0.0983739365772374,39,19.5,400,23985,"closer_to_expected_share_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.00296001177471545,0.000457509272212948,-0.0970399882252845,71,35.5,400,23985,"closer_to_expected_share_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.00296035595485458,0.000459730798565507,-0.0970396440451454,71,35.5,400,23985,"closer_to_expected_share_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.00537822143223494,0.000373216427229931,-0.0946217785677652,129,64.5,400,23985,"closer_to_expected_share_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.00625400344080014,0.000252503065706366,-0.0937459965591998,150,75,400,23985,"closer_to_expected_share_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.0105900787008564,0.000337515560071199,-0.0894099212991436,254,127,400,23985,"closer_to_expected_share_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.0168860721186303,0.00138219614963801,-0.0831139278813697,405,202.5,400,23985,"closer_to_expected_share_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",10,0.9,1,0.95,0.1,0.0352726131983446,0.00151417358844215,-0.0647273868016554,846,423,400,23985,"closer_to_expected_share_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",1,0,0.1,0.05,0.1,0.0799288911316918,0.0104948659587319,-0.0200711088683082,1917,958.5,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0804697858648846,0.00753488547312003,-0.0195302141351154,1930,965,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.100815963500385,0.00787606185830742,0.00081596350038457,2418,1209,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.117491209639247,0.00296257748120714,0.0174912096392467,2818,1409,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.125369680758528,0.000911889634070184,0.025369680758528,3007,1503.5,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.123034199490814,0.00274724587052669,0.0230341994908136,2951,1475.5,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.11448720538493,0.00270876027315137,0.0144872053849298,2746,1373,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
