"calibration_type","bin_id","bin_left","bin_right","bin_mid","expected_share","observed_share_mean","observed_share_se","share_gap","count_total","count_mean_per_fold","summary_draws_used","n_obs_total","bin_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","model_lane"
"pit_histogram",1,0,0.1,0.05,0.1,0.0763846805044605,0.00961798883154222,-0.0236153194955395,1832,916,400,23985,"closer_to_expected_share_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0837225072033774,0.00937058588971567,-0.0162774927966226,2008,1004,400,23985,"closer_to_expected_share_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.0985635860917181,0.00529026776213573,-0.00143641390828191,2364,1182,400,23985,"closer_to_expected_share_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.119784763508194,0.00417252711576292,0.0197847635081944,2873,1436.5,400,23985,"closer_to_expected_share_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.126370650470425,5.72590595096511e-06,0.0263706504704254,3031,1515.5,400,23985,"closer_to_expected_share_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.125869555476957,0.00207909835316686,0.0258695554769572,3019,1509.5,400,23985,"closer_to_expected_share_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.116320903298898,0.00479270843736961,0.0163209032988978,2790,1395,400,23985,"closer_to_expected_share_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.0973498817647355,0.00700954142439514,-0.0026501182352645,2335,1167.5,400,23985,"closer_to_expected_share_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.0789215071535652,0.00751676908216043,-0.0210784928464348,1893,946.5,400,23985,"closer_to_expected_share_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
"pit_histogram",10,0.9,1,0.95,0.1,0.0767119645276685,0.00705897820801547,-0.0232880354723315,1840,920,400,23985,"closer_to_expected_share_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
"pit_histogram",1,0,0.1,0.05,0.1,0.0852219123349406,0.00528526150556658,-0.0147780876650594,2044,1022,400,23985,"closer_to_expected_share_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0847641840390027,0.00766157505342301,-0.0152358159609973,2033,1016.5,400,23985,"closer_to_expected_share_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.100648910976493,0.00712553013128157,0.000648910976492834,2414,1207,400,23985,"closer_to_expected_share_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.113279352120312,0.000584511743551501,0.0132793521203124,2717,1358.5,400,23985,"closer_to_expected_share_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.116907542701491,0.0030457439184621,0.0169075427014912,2804,1402,400,23985,"closer_to_expected_share_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.117654194579676,0.00712700071914876,0.0176541945796759,2822,1411,400,23985,"closer_to_expected_share_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.109648220363399,0.00971495376346589,0.00964822036339918,2630,1315,400,23985,"closer_to_expected_share_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.095891903406282,0.00363297781402307,-0.00410809659371797,2300,1150,400,23985,"closer_to_expected_share_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.0859274190419477,0.00342825320944851,-0.0140725809580523,2061,1030.5,400,23985,"closer_to_expected_share_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
"pit_histogram",10,0.9,1,0.95,0.1,0.0900563604364555,0.000200563153801465,-0.00994363956354452,2160,1080,400,23985,"closer_to_expected_share_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
