"event_quantile","event_threshold_value","probability_cutoff","n_obs_total","n_obs_mean_per_fold","actual_positive_share","predicted_positive_share","tp_total","tn_total","fp_total","fn_total","tp_mean_per_fold","tn_mean_per_fold","fp_mean_per_fold","fn_mean_per_fold","accuracy_mean","accuracy_se","accuracy_rel_to_gaussian","accuracy_delta_to_gaussian","precision_mean","precision_se","precision_rel_to_gaussian","precision_delta_to_gaussian","recall_mean","recall_se","recall_rel_to_gaussian","recall_delta_to_gaussian","specificity_mean","specificity_se","specificity_rel_to_gaussian","specificity_delta_to_gaussian","f1_mean","f1_se","f1_rel_to_gaussian","f1_delta_to_gaussian","accuracy_direction","precision_direction","recall_direction","specificity_direction","f1_direction","count_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
0.9,73.25,0.5,23985,11992.5,0.0993131791456373,0.0733797062879333,1323,21166,437,1059,661.5,10583,218.5,529.5,0.937626799092165,0.00235819715689684,1,0,0.751715443121693,0.000599371693121686,1,0,0.55561168906676,0.00667204795746146,1,0,0.979769534019477,0.000490589585356749,1,0,0.638935806870037,0.00462854956560693,1,0,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
0.95,79.75,0.5,23985,11992.5,0.0499488298000426,0.0308116318368881,534,22582,205,664,267,11291,102.5,332,0.9637681254648,0.00239008075342162,1,0,0.723302505440216,0.0115678115626654,1,0,0.445857932780294,0.00229672451320337,1,0,0.99100076933594,0.000948828143933822,1,0,0.551645787801154,0.00512277115081117,1,0,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
0.98,88.5,0.5,23985,11992.5,0.0198876984010767,0.00763003563703739,133,23458,50,344,66.5,11729,25,172,0.983572626139518,0.0011735604071188,1,0,0.731566265060241,0.0515662650602409,1,0,0.278956169688435,0.00365252596373877,1,0,0.997872403212861,0.000597895078971677,1,0,0.403633149496828,0.0117023137619578,1,0,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
0.99,94.75,0.5,23985,11992.5,0.00996464080985211,0.00237646999337422,41,23730,16,198,20.5,11865,8,99,0.991077661807844,0.000253504317020203,1,0,0.719211822660099,0.00492610837438423,1,0,0.171710802858344,0.00777637662883565,1,0,0.999326202073547,3.97253051898083e-07,1,0,0.277168949771689,0.0105022831050228,1,0,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
0.995,100.52,0.5,23985,11992.5,0.00500306508058446,0.000833729453384367,16,23861,4,104,8,11930.5,2,52,0.995497185107088,1.6896115920817e-06,1,0,0.80952380952381,0.0238095238095238,1,0,0.131813125695217,0.0456062291434928,1,0,0.999832408080792,8.37696224765816e-05,1,0,0.222861842105263,0.0666118421052631,1,0,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
0.9,73.25,0.5,23985,11992.5,0.0993131791456373,1,2382,0,21603,0,1191,0,10801.5,0,0.0993131791456373,0.00295575645663167,0.105919731861115,-0.838313619946528,0.0993131791456373,0.00295575645663167,0.132115390277488,-0.652402263976056,1,0,1.7998181457983,0.44438831093324,0,0,0,-0.979769534019477,0.180669079035134,0.00489168984635555,0.282765619163183,-0.458266727834903,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
0.95,79.75,0.5,23985,11992.5,0.0499488298000426,0.0244736797312441,401,22601,186,797,200.5,11300.5,93,398.5,0.959015154188948,0.00239186423232435,0.995068345642205,-0.00475297127585206,0.683126306013466,0.00161945669839797,0.944454499846785,-0.04017619942675,0.335440526849604,0.0142958527637531,0.752348454939119,-0.11041740593069,0.991837376334879,2.4716769776334e-05,1.00084420418715,0.000836606998938727,0.449741315594974,0.0125118783655369,0.815271910962343,-0.10190447220618,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
0.98,88.5,0.5,23985,11992.5,0.0198876984010767,0.00554499235419465,77,23452,56,400,38.5,11726,28,200,0.980987770716453,0.000924373986389504,0.997371972994805,-0.00258485542306497,0.578032712403453,0.0135165833711949,0.790130354569937,-0.153533552656788,0.162154550255237,0.0204541453969372,0.581290424357154,-0.116801619433198,0.997617923409628,8.24428283414669e-05,0.999744977611953,-0.000254479803233343,0.25280349213517,0.0262662753066907,0.62631994535215,-0.150829657361658,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
0.99,94.75,0.5,23985,11992.5,0.00996464080985211,0.00166752148497585,22,23728,18,217,11,11864,9,108.5,0.9902020675339,0.000378911044077335,0.999116523045886,-0.000875594273943903,0.538461538461538,0.0384615384615384,0.74868282402529,-0.18075028419856,0.092791088692728,0.0354140395124002,0.540391676866585,-0.0789197141656158,0.999242076646004,0.000168002571929726,0.999915817850699,-8.41254275435466e-05,0.156365693130399,0.0534245166598108,0.564152994984471,-0.12080325664129,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
0.995,100.52,0.5,23985,11992.5,0.00500306508058446,0.000792052367446216,7,23853,12,113,3.5,11926.5,6,56.5,0.99478842433331,3.97371615175612e-05,0.999288033372288,-0.000708760773777128,0.314102564102564,0.147435897435897,0.388009049773756,-0.495421245421245,0.057007786429366,0.0397664071190211,0.432489451476793,-0.074805339265851,0.999497189126208,8.36993901374705e-05,0.999664724856011,-0.000335218954584549,0.095625,0.064375,0.429077490774908,-0.127236842105263,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
0.9,73.25,0.5,23985,11992.5,0.0993131791456373,0.0732545498737047,1326,21172,431,1056,663,10586,215.5,528,0.93800208060023,0.00223297816446105,1.00040024614103,0.000375281508064651,0.754681303299723,0.000924077866196637,1.00394545596365,0.00296586017802958,0.556884571312452,0.00712926951799814,1.00229095656326,0.00127288224569178,0.980047954055221,0.000304411962673556,1.00028416890511,0.000278420035744631,0.640837308356684,0.00438782771456836,1.00297604464518,0.00190150148664692,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
0.95,79.75,0.5,23985,11992.5,0.0499488298000426,0.0313119133136638,540,22576,211,658,270,11288,105.5,329,0.963768031597489,0.00264023713636113,0.999999902603844,-9.38673105910226e-08,0.719876474690119,0.0145868021460388,0.995263350086128,-0.00342603075009706,0.451046518450633,0.00589548506430548,1.01163730706322,0.00518858567033903,0.990737193123412,0.00103739560602467,0.999734030264472,-0.000263576212528371,0.55459462427587,0.00878565741427112,1.00534552522638,0.00294883647471578,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
0.98,88.5,0.5,23985,11992.5,0.0198876984010767,0.00775512947305896,135,23457,51,342,67.5,11728.5,25.5,171,0.983614240647249,0.00138200841501668,1.0000423095424,4.16145077309915e-05,0.732142857142857,0.0654761904761905,1.00078816111425,0.000576592082616179,0.283303995775392,0.0080003520506953,1.01558605458274,0.00434782608695655,0.997829723306161,0.000725558413903315,0.999957229094058,-4.26799067001493e-05,0.408218203055135,0.0185333893015531,1.01135945737862,0.00458505355830657,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
0.99,94.75,0.5,23985,11992.5,0.00996464080985211,0.00237646999337422,41,23730,16,198,20.5,11865,8,99,0.991077661807844,0.000253504317020203,1,0,0.719211822660099,0.00492610837438423,1,0,0.171710802858344,0.00777637662883565,1,0,0.999326202073547,3.97253051898083e-07,1,0,0.277168949771689,0.0105022831050228,1,0,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
0.995,100.52,0.5,23985,11992.5,0.00500306508058446,0.000750343992404508,15,23862,3,105,7.5,11931,1.5,52.5,0.995497153817984,8.50750725719385e-05,0.99999996856937,-3.12891036413632e-08,0.823076923076923,0.023076923076923,1.01674208144796,0.0135531135531135,0.123192436040044,0.0542269187986652,0.934599156118143,-0.00862068965517242,0.999874301671073,4.18760321959089e-05,1.00004190061248,4.18935902807283e-05,0.21015873015873,0.0831746031746032,0.943000058572014,-0.012703111946533,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
