"event_quantile","event_threshold_value","probability_cutoff","classification_draws_used","n_obs_total","n_obs_mean_per_fold","actual_positive_share","predicted_positive_share","tp_total","tn_total","fp_total","fn_total","tp_mean_per_fold","tn_mean_per_fold","fp_mean_per_fold","fn_mean_per_fold","accuracy_mean","accuracy_se","accuracy_rel_to_gaussian","accuracy_delta_to_gaussian","precision_mean","precision_se","precision_rel_to_gaussian","precision_delta_to_gaussian","recall_mean","recall_se","recall_rel_to_gaussian","recall_delta_to_gaussian","specificity_mean","specificity_se","specificity_rel_to_gaussian","specificity_delta_to_gaussian","f1_mean","f1_se","f1_rel_to_gaussian","f1_delta_to_gaussian","accuracy_direction","precision_direction","recall_direction","specificity_direction","f1_direction","count_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","model_lane"
0.9,73.25,0.5,400,23985,11992.5,0.0993131791456373,0.0737131542645421,1326,21161,442,1056,663,10580.5,221,528,0.937543413631186,0.00235822844600037,1,0,0.749995840197008,0.000282866603437681,1,0,0.556909266921431,0.00796962581213279,1,0,0.979538589427511,0.000352564525076482,1,0,0.639155201296859,0.00514672272879485,1,0,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
0.95,79.75,0.5,400,23985,11992.5,0.0499488298000426,0.031103527883973,538,22579,208,660,269,11289.5,104,330,0.963809833839841,0.00234837237837987,1,0,0.721925905610127,0.011598449690732,1,0,0.449121405081293,0.000790721456492144,1,0,0.990868981229676,0.000993111874979246,1,0,0.553720903566105,0.0040133012269235,1,0,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
0.98,88.5,0.5,400,23985,11992.5,0.0198876984010767,0.00754658759785041,130,23457,51,347,65,11728.5,25.5,173.5,0.983405761350247,0.00142377936826549,1,0,0.722754050073638,0.062960235640648,1,0,0.273032916740011,0.0139236049991199,1,0,0.997829817402453,0.000640480889379624,1,0,0.396237594430455,0.0241445711746408,1,0,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
0.99,94.75,0.5,400,23985,11992.5,0.00996464080985211,0.00237646999337422,41,23730,16,198,20.5,11865,8,99,0.991077661807844,0.000253504317020203,1,0,0.719211822660099,0.00492610837438423,1,0,0.171710802858344,0.00777637662883565,1,0,0.999326202073547,3.97253051898083e-07,1,0,0.277168949771689,0.0105022831050228,1,0,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
0.995,100.52,0.5,400,23985,11992.5,0.00500306508058446,0.000750343992404508,16,23863,2,104,8,11931.5,1,52,0.995580570568067,1.65832248849584e-06,1,0,0.923076923076923,0.0769230769230769,1,0,0.131813125695217,0.0456062291434928,1,0,0.999916212819439,8.3787180561401e-05,1,0,0.226031746031746,0.0673015873015873,1,0,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
0.9,73.25,0.5,400,23985,11992.5,0.0993131791456373,0.0517809632588327,870,21231,372,1512,435,10615.5,186,756,0.921450144818487,0.00203072539906751,0.982834641491034,-0.0160932688126987,0.702186561561562,0.0235078828828829,0.936253941591345,-0.0478092786354467,0.365974813301196,0.0250286469064163,0.657153391115734,-0.190934453620235,0.982789418799257,0.00252929519442396,1.00331873537892,0.00325082937174648,0.48004351793531,0.0161145501217698,0.751059393651639,-0.159111683361549,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
0.95,79.75,0.5,400,23985,11992.5,0.0499488298000426,0.0161345704293941,239,22639,148,959,119.5,11319.5,74,479.5,0.953845443342818,0.00189349139086575,0.989661455873172,-0.00996439049702369,0.620096852300242,0.0296206618240516,0.858948054753866,-0.101829053309885,0.200378037501991,0.0175481487897491,0.446155616799697,-0.248743367579303,0.993508198387294,0.00103357465610759,1.00266353797284,0.00263921715761817,0.301858334634019,0.0164985331451852,0.545145275697511,-0.251862568932086,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
0.98,88.5,0.5,400,23985,11992.5,0.0198876984010767,0.00300181401706783,38,23474,34,439,19,11737,17,219.5,0.980278947364469,0.00104971813523946,0.996820423360663,-0.00312681398577863,0.524767801857585,0.0541795665634675,0.726066912809578,-0.197986248216052,0.0802147509241331,0.0154374229889104,0.293791502804461,-0.192818165815877,0.998553587986805,8.66771614915218e-05,1.00072534471483,0.000723770584351136,0.139029054018165,0.0251500504594465,0.350872950907153,-0.257208540412289,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
0.99,94.75,0.5,400,23985,11992.5,0.00996464080985211,0.00100062553175832,11,23733,13,228,5.5,11866.5,6.5,114,0.989951754705443,0.000795932216287321,0.998863956735391,-0.00112590710240135,0.458333333333333,0.291666666666667,0.637271689497717,-0.260878489326765,0.0466582597730139,0.0302648171500631,0.27172582619339,-0.12505254308533,0.999452365386547,0.000295109360927637,1.0001262483789,0.000126163312999639,0.0846928149947935,0.0548420687261368,0.305563862996042,-0.192476134776896,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
0.995,100.52,0.5,400,23985,11992.5,0.00500306508058446,0.000291864757981287,4,23862,3,116,2,11931,1.5,58,0.995038549427147,4.35544321515935e-05,0.999455572801495,-0.000542021140920834,0.625,0.375,0.677083333333333,-0.298076923076923,0.0328142380422692,0.0155728587319244,0.248945147679325,-0.0989988876529477,0.999874266554904,0.000125733445096421,0.999958050220611,-4.19462645349089e-05,0.0622828784119107,0.0300248138957816,0.275549251401009,-0.163748867619835,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
0.9,73.25,0.5,400,23985,11992.5,0.0993131791456373,0.0672913473613649,1093,21082,521,1289,546.5,10541,260.5,644.5,0.924535563320259,0.00161264039733661,0.986125602162202,-0.0130078503109261,0.677626321612983,0.014975719203344,0.903506773364215,-0.0723695185840257,0.459341149375977,0.0164373973368255,0.824804284394824,-0.097568117545454,0.975889258603276,0.00171713426050357,0.996274438941331,-0.00364933082423458,0.547087823721273,0.0067893162585862,0.855954582879433,-0.092067377575586,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
0.95,79.75,0.5,400,23985,11992.5,0.0499488298000426,0.0232641368550346,348,22577,210,850,174,11288.5,105,425,0.955804986031293,0.00193444882742211,0.991694577573817,-0.00800484780854871,0.624510763209393,0.0183463796477495,0.865062132216457,-0.0974151424007341,0.291466075814261,0.0196059804247543,0.648969460187507,-0.157655329267032,0.990786792288818,0.000849795438975231,0.999917053674688,-8.21889408583187e-05,0.396636365405953,0.0145134603780196,0.716310984200727,-0.157084538160152,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
0.98,88.5,0.5,400,23985,11992.5,0.0198876984010767,0.00346035582969817,47,23472,36,430,23.5,11736,18,215,0.980570843411554,0.000924530431907267,0.997117244935802,-0.00283491793869373,0.563748531139836,0.023207990599295,0.780000514811917,-0.159005518933802,0.0991814821334272,0.0182098222143989,0.36325833279608,-0.173851434606583,0.998468698654865,8.33837912636581e-05,1.00064027075687,0.000638881252411738,0.168248622167789,0.0274035517452541,0.424615494674671,-0.227988972262665,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
0.99,94.75,0.5,400,23985,11992.5,0.00996464080985211,0.000750375281508065,11,23739,7,228,5.5,11869.5,3.5,114,0.990202004955693,0.000545681966037048,0.999116459904309,-0.000875656852150963,0.541666666666667,0.208333333333333,0.753139269406393,-0.177545155993432,0.0466582597730139,0.0302648171500631,0.27172582619339,-0.12505254308533,0.999705188578861,4.2286168613459e-05,1.00037924203781,0.000378986505313872,0.0853924418604651,0.0541424418604651,0.308088052181909,-0.191776507911224,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
0.995,100.52,0.5,400,23985,11992.5,0.00500306508058446,0.000166708343752605,4,23865,0,116,2,11932.5,0,58,0.995163643263168,1.81476800631408e-06,0.999581221934995,-0.000416927304899173,1,0,1.08333333333333,0.0769230769230769,0.032258064516129,0.032258064516129,0.244725738396624,-0.0995550611790879,1,0,1.00008379420144,8.37871805614565e-05,0.121212121212121,0,0.536261491317671,-0.104819624819625,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
0.9,73.25,0.5,400,23985,11992.5,0.0993131791456373,0.0799241664770547,1271,20957,646,1111,635.5,10478.5,323,555.5,0.926746294932091,0.00109821624575313,0.988483606687315,-0.0107971186990942,0.663804146080046,0.0296578046166314,0.885077103768574,-0.0861916941169623,0.533762425419261,0.00602996212399176,0.958436961140681,-0.0231468415021704,0.97010887261789,0.00331614132003954,0.99037330748232,-0.00942971680962068,0.591264560868869,0.00808699077541081,0.925071969482813,-0.04789064042799,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
0.95,79.75,0.5,400,23985,11992.5,0.0499488298000426,0.0305598484205636,455,22509,278,743,227.5,11254.5,139,371.5,0.957431237188677,0.00130844773255373,0.993381892955219,-0.00637859665116469,0.623126667266133,0.0296923238317897,0.863144905070978,-0.0987992383439944,0.381383399319924,0.0316218730878092,0.849176625751986,-0.0677380057613697,0.987805796553583,0.00189400096380382,0.996908587579065,-0.00306318467609268,0.471266587283708,0.015780044840644,0.85109047581305,-0.0824543162823965,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
0.98,88.5,0.5,400,23985,11992.5,0.0198876984010767,0.00571132522870457,72,23443,65,405,36,11721.5,32.5,202.5,0.980404291513319,0.000340894783255385,0.996947882598524,-0.00300146983692862,0.537126436781609,0.0428735632183908,0.743166277279088,-0.185627613292028,0.152182714310861,0.0347738074282697,0.557378634517439,-0.12085020242915,0.99723606256034,0.000975333402525424,0.999404953798976,-0.000593754842113769,0.233289785340259,0.0380035900540632,0.588762370404518,-0.162947809090196,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
0.99,94.75,0.5,400,23985,11992.5,0.00996464080985211,0.00145907347707798,20,23731,15,219,10,11865.5,7.5,109.5,0.990243682041632,0.000587359051975211,0.999158512195007,-0.0008339797662128,0.534420289855073,0.117753623188406,0.743063827675204,-0.184791532805026,0.0845943673812526,0.0436107608238756,0.49265605875153,-0.0871164354770912,0.999368339272266,4.17399456671408e-05,1.00004216560982,4.21371987190389e-05,0.144456289978678,0.0698294243070362,0.521184967138888,-0.132712659793011,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
0.995,100.52,0.5,400,23985,11992.5,0.00500306508058446,0.000333510554815881,6,23863,2,114,3,11931.5,1,57,0.995163611974065,8.52002289861709e-05,0.999581190506997,-0.000416958594002814,0.666666666666667,0.333333333333333,0.722222222222222,-0.256410256410256,0.0489432703003337,0.0317018909899889,0.371308016877637,-0.0828698553948832,0.999916177703269,8.38222967309288e-05,0.999999964880888,-3.51161695277824e-08,0.0910203082945926,0.058233423048691,0.402688161696583,-0.135011437737153,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
0.9,73.25,0.5,400,23985,11992.5,0.0993131791456373,0.0871375564111248,1364,20877,726,1018,682,10438.5,363,509,0.92728803447108,0.000389643206597456,0.989061435437549,-0.0102553791601052,0.652787050086954,0.0203084176083212,0.870387560970312,-0.0972087901100546,0.572727862856111,0.00339670461793773,1.02840426057574,0.0158185959346794,0.966401232451892,0.00209904630670271,0.986588219068228,-0.0131373569756187,0.609934012366955,0.00694623509217002,0.954281544027783,-0.0292211889299039,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
0.95,79.75,0.5,400,23985,11992.5,0.0499488298000426,0.0343959238057763,512,22474,313,686,256,11237,156.5,343,0.958348414681248,0.00147487447437433,0.994333509612747,-0.00546141915859344,0.621530026970686,0.0206019527247459,0.860933264952456,-0.100395878639442,0.428705144718791,0.0264793895518593,0.954541778388837,-0.0204162603625024,0.986268091466022,0.00131884400364923,0.995356712289102,-0.00460088976365369,0.506311827956989,0.0116881720430107,0.914380917708201,-0.0474090756091157,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
0.98,88.5,0.5,400,23985,11992.5,0.0198876984010767,0.00667046140914608,93,23441,67,384,46.5,11720.5,33.5,192,0.981196469037179,0.000298904806281641,0.997753427527174,-0.0022092923130681,0.587915601023018,0.0444373401534527,0.81343798898549,-0.13483844905062,0.195740186586869,0.0216511177609576,0.716910579588679,-0.0772927301531421,0.997150702746939,0.000720006732662093,0.999319408336301,-0.000679114655514179,0.291787439613527,0.0187715665976535,0.736395141992867,-0.104450154816928,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
0.99,94.75,0.5,400,23985,11992.5,0.00996464080985211,0.00145913605528509,19,23730,16,220,9.5,11865,8,110,0.990160327869755,0.000504004880098885,0.999074407613611,-0.000917333938089127,0.523809523809524,0.0952380952380952,0.728310502283105,-0.195402298850575,0.0801457194899818,0.0309653916211293,0.466748266013872,-0.0915650833683621,0.999326202073547,3.97253051898083e-07,1,0,0.138320545609548,0.0500852514919011,0.499047767520446,-0.138848404162141,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
0.995,100.52,0.5,400,23985,11992.5,0.00500306508058446,0.000375187640754032,7,23863,2,113,3.5,11931.5,1,56.5,0.995205289060003,0.000126877314924334,0.999623052599499,-0.000375281508064651,0.666666666666667,0.333333333333333,0.722222222222222,-0.256410256410256,0.057007786429366,0.0397664071190211,0.432489451476793,-0.074805339265851,0.999916177703269,8.38222967309288e-05,0.999999964880888,-3.51161695277824e-08,0.104628736740598,0.0718418514946962,0.462893989793375,-0.121403009291148,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
