"setting","metric","quantile","target_type","target_level","threshold_value","score_mean","score_se","rel_to_gaussian","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
1,"brier",0,"threshold_quantile",0,2,0.000142988133085574,7.46591174983435e-05,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"brier",0.1,"threshold_quantile",0.1,28.875,0.0386743174355276,0.00102094098574444,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"brier",0.2,"threshold_quantile",0.2,36,0.0632565762432876,0.00176640052757183,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"brier",0.3,"threshold_quantile",0.3,41.625,0.0789514805315042,0.00167230798562504,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"brier",0.4,"threshold_quantile",0.4,46.5,0.0892828149796671,0.00072875918720796,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"brier",0.5,"threshold_quantile",0.5,50.875,0.0945824846719988,0.000801438012005502,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"brier",0.6,"threshold_quantile",0.6,55.429,0.0945824692708512,0.000248602374127063,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"brier",0.7,"threshold_quantile",0.7,60.125,0.0864978184589315,8.99797192466245e-05,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"brier",0.8,"threshold_quantile",0.8,65.5,0.0715444672419381,0.00166545309840223,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"brier",0.9,"threshold_quantile",0.9,73.25,0.045044881630345,0.00123137598059925,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"brier",0.95,"threshold_quantile",0.95,79.75,0.0270301315668394,0.00205895451591001,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"brier",0.98,"threshold_quantile",0.98,88.5,0.0129121358741124,0.00068324673182685,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"brier",0.99,"threshold_quantile",0.99,94.75,0.00726353072383586,0.000585627911466105,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"brier",0.995,"threshold_quantile",0.995,100.52,0.00403018868318556,5.64318006315892e-05,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"quantile",0,"score_quantile",0,NA,0,0,NA,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"quantile",0.1,"score_quantile",0.1,NA,4.39850123659763,0.0092637342068036,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"quantile",0.2,"score_quantile",0.2,NA,7.25266802011456,0.00501449715588365,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"quantile",0.3,"score_quantile",0.3,NA,9.20777060778707,0.00435545609984533,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"quantile",0.4,"score_quantile",0.4,NA,10.416703891856,0.0215173947415437,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"quantile",0.5,"score_quantile",0.5,NA,10.9146529849453,0.0527421207707865,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"quantile",0.6,"score_quantile",0.6,NA,10.7066258618664,0.0639728740380745,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"quantile",0.7,"score_quantile",0.7,NA,9.75149403596915,0.0451223632388178,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"quantile",0.8,"score_quantile",0.8,NA,7.94179937205494,0.018979046955661,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"quantile",0.9,"score_quantile",0.9,NA,5.04130951317699,0.0152250584038081,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"quantile",0.95,"score_quantile",0.95,NA,3.00132002918319,0.0179520526266386,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"quantile",0.98,"score_quantile",0.98,NA,1.4435089289031,0.0301335869901228,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"quantile",0.99,"score_quantile",0.99,NA,0.820138747261282,0.0357839009587701,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
1,"quantile",0.995,"score_quantile",0.995,NA,0.468837295899911,0.035098055500918,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
2,"brier",0,"threshold_quantile",0,2,8.34167500834168e-05,8.34167500834168e-05,0.583382328892249,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"brier",0.1,"threshold_quantile",0.1,28.875,0.100144311603426,0.00429846575758053,2.58942673701671,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"brier",0.2,"threshold_quantile",0.2,36,0.200331864747969,0.00446933555210624,3.16697293222895,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"brier",0.3,"threshold_quantile",0.3,41.625,0.30131131381444,0.00534868451847698,3.81641119059454,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
