"mrts_k","quantile","n_pairs","n_improved_rel_brier","mean_delta_rel_brier","mean_improve_rel_brier_pct","mean_delta_abs_brier","mean_improve_abs_brier_pct","mean_delta_rel_quant","mean_improve_rel_quant_pct","mean_delta_abs_quant","mean_improve_abs_quant_pct"
5,0,3,1,-0.836347880432262,3.15960242192946,-0.000119587822033086,3.15960242192946,NA,NA,2.77810992781897e-05,NA
5,0.1,3,3,-0.12783224729276,6.15768748864689,-0.00494382491029706,6.15768748864688,-0.0219094734898261,1.67306040272981,-0.0963688462382028,1.6730604027298
5,0.2,3,3,-0.0707736216492495,3.70196990546856,-0.00447689699386934,3.70196990546856,-0.0194607912900184,1.58149089724114,-0.14114265863524,1.58149089724114
5,0.3,3,3,-0.0397607295602688,2.16302610350531,-0.00313916846579597,2.16302610350531,-0.0163099502588387,1.38197092316077,-0.150178280607804,1.38197092316077
5,0.4,3,2,-0.02009744961124,1.11904670976464,-0.00179435687520353,1.11904670976464,-0.0141447601201388,1.24084094790013,-0.14734177779282,1.24084094790013
5,0.5,3,2,-0.00817397836690403,0.500572061106442,-0.000773115183596948,0.50057206110644,-0.0107893971218193,0.973269136319985,-0.117762525501425,0.973269136319985
5,0.6,3,3,-0.00348327522144298,0.239568512652914,-0.000329456771594054,0.23956851265292,-0.00710252618402455,0.657991816937642,-0.0760440905264611,0.657991816937646
5,0.7,3,3,-0.00110497572266077,0.0865225655420334,-9.55779894602447e-05,0.086522565542039,-0.00358538547809976,0.341226639804632,-0.0349628651063393,0.341226639804623
5,0.8,3,3,-0.000626911435278451,0.060705554837656,-4.48520446448784e-05,0.0607055548376596,-0.000990031431171416,0.0972895846270897,-0.00786263099839157,0.097289584627087
5,0.9,3,1,0.000567006997717464,-0.0527449532417498,2.554076309576e-05,-0.0527449532417488,-0.000644250343073879,0.0647392442544174,-0.00324786538340582,0.0647392442544162
5,0.95,3,3,-0.000830913061086735,0.0830157970524196,-2.24596893617808e-05,0.0830157970524234,-0.00110658427903273,0.110566546395324,-0.00332121356064041,0.110566546395332
5,0.98,3,2,-0.000639113571705319,0.0642522177930218,-8.25232127684856e-06,0.0642522177930232,-0.00195670866891732,0.195624600643336,-0.00282452643484425,0.195624600643335
5,0.99,3,1,-0.000378228595040109,0.0375807319204119,-2.74727502070701e-06,0.0375807319204106,-0.00166953626380865,0.168439764913848,-0.00136925137990733,0.16843976491385
5,0.995,3,3,-0.000675912011748732,0.0685320221047793,-2.72405294057882e-06,0.0685320221047765,-0.0016497934875371,0.168051038215618,-0.000773484717490169,0.168051038215617
10,0,3,0,3.97718283828715,-48.2467431284748,0.000568689948986663,-48.2467431284748,NA,NA,0,NA
10,0.1,3,3,-0.0876400276978563,4.58636761824626,-0.00338941825124532,4.58636761824625,-0.000414288034755073,-0.0110019363702274,-0.00182224643317763,-0.0110019363702302
10,0.2,3,3,-0.0553714946424904,3.14776699443482,-0.00350261117255748,3.14776699443482,3.65942258648833e-05,-0.0526373179644594,0.000265405771650388,-0.0526373179644505
10,0.3,3,3,-0.0340426392283677,1.99588163507809,-0.00268771676827949,1.99588163507808,-0.000724049957986361,0.0345979159895398,-0.0066668859217162,0.0345979159895391
10,0.4,3,3,-0.0197199977481119,1.18930077017957,-0.00176065691034412,1.18930077017956,-0.00224620627794536,0.186919090155724,-0.023398065677385,0.186919090155724
10,0.5,3,3,-0.0118592392313938,0.781889530376143,-0.00112167631282487,0.781889530376138,-0.00256758644120762,0.229768923270687,-0.0280243150146315,0.229768923270684
10,0.6,3,3,-0.00775007146335205,0.551063031522159,-0.00073302089602939,0.551063031522155,-0.00236984409965898,0.221391032156212,-0.0253730341260005,0.221391032156213
10,0.7,3,3,-0.00411859130312435,0.303150318031352,-0.000356249162844186,0.303150318031353,-0.00186162408525203,0.179198432793204,-0.018153616164551,0.179198432793196
10,0.8,3,3,-0.00400172835331876,0.342423749050765,-0.000286301523085147,0.342423749050763,-0.000926975970840238,0.0911752042759061,-0.00736185718312843,0.091175204275899
10,0.9,3,3,-0.00086283550046858,0.0856794072889116,-3.88663229850678e-05,0.085679407288914,-0.0019141586416412,0.188701509306169,-0.00964986616983558,0.188701509306166
10,0.95,3,3,-0.00262262552580113,0.261984746456504,-7.08899130129556e-05,0.261984746456503,-0.0034851557487624,0.345163185460799,-0.0104600677535836,0.345163185460802
