"metric","quantile","target_type","target_level","threshold_value","baseline_setting","proposed_setting","baseline_rel_brier","proposed_rel_brier","delta_rel_brier","baseline_rel_score","proposed_rel_score","delta_rel_score","baseline_rel_quant","proposed_rel_quant","delta_rel_quant","method","knots","thresh","CMAQ","TS","proposed_is_ar2","proposed_is_mrts","proposed_is_prop","proposed_lane"
"brier",0,"threshold_quantile",0,2,51,101,0.9502556604184,0.949216698741003,-0.00103896167739714,0.9502556604184,0.949216698741003,-0.00103896167739714,NA,NA,NA,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.1,"threshold_quantile",0.1,28.875,51,101,0.998665667904159,0.998877349443842,0.000211681539682318,0.998665667904159,0.998877349443842,0.000211681539682318,NA,NA,NA,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.2,"threshold_quantile",0.2,36,51,101,0.995899229544041,0.996444410455222,0.000545180911181387,0.995899229544041,0.996444410455222,0.000545180911181387,NA,NA,NA,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.3,"threshold_quantile",0.3,41.625,51,101,0.997746420987681,0.997628651198129,-0.000117769789552025,0.997746420987681,0.997628651198129,-0.000117769789552025,NA,NA,NA,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.4,"threshold_quantile",0.4,46.5,51,101,0.997813987511294,0.997913714822015,9.9727310721498e-05,0.997813987511294,0.997913714822015,9.9727310721498e-05,NA,NA,NA,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.5,"threshold_quantile",0.5,50.875,51,101,0.997713531060978,0.998511976739648,0.000798445678669935,0.997713531060978,0.998511976739648,0.000798445678669935,NA,NA,NA,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.6,"threshold_quantile",0.6,55.429,51,101,0.997566070126713,0.998000016602625,0.000433946475911662,0.997566070126713,0.998000016602625,0.000433946475911662,NA,NA,NA,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.7,"threshold_quantile",0.7,60.125,51,101,0.996668920389628,0.997167915048166,0.000498994658538421,0.996668920389628,0.997167915048166,0.000498994658538421,NA,NA,NA,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.8,"threshold_quantile",0.8,65.5,51,101,0.993713890841293,0.994206844073412,0.000492953232119508,0.993713890841293,0.994206844073412,0.000492953232119508,NA,NA,NA,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.9,"threshold_quantile",0.9,73.25,51,101,0.992240779164545,0.992424612266342,0.00018383310179737,0.992240779164545,0.992424612266342,0.00018383310179737,NA,NA,NA,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.95,"threshold_quantile",0.95,79.75,51,101,0.996953281494973,0.99691923635637,-3.4045138603167e-05,0.996953281494973,0.99691923635637,-3.4045138603167e-05,NA,NA,NA,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.98,"threshold_quantile",0.98,88.5,51,101,0.995100854502497,0.994173618623348,-0.000927235879149002,0.995100854502497,0.994173618623348,-0.000927235879149002,NA,NA,NA,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.99,"threshold_quantile",0.99,94.75,51,101,0.988390361004159,0.986643094044914,-0.0017472669592451,0.988390361004159,0.986643094044914,-0.0017472669592451,NA,NA,NA,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.995,"threshold_quantile",0.995,100.52,51,101,0.992113960124778,0.991477400984286,-0.000636559140492765,0.992113960124778,0.991477400984286,-0.000636559140492765,NA,NA,NA,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0,"score_quantile",0,NA,51,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.1,"score_quantile",0.1,NA,51,101,NA,NA,NA,0.999611866863614,0.999478662845038,-0.000133204018575972,0.999611866863614,0.999478662845038,-0.000133204018575972,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.2,"score_quantile",0.2,NA,51,101,NA,NA,NA,0.99951343197031,0.999450014961842,-6.34170084680141e-05,0.99951343197031,0.999450014961842,-6.34170084680141e-05,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.3,"score_quantile",0.3,NA,51,101,NA,NA,NA,0.999620248710055,0.999578019653219,-4.22290568355965e-05,0.999620248710055,0.999578019653219,-4.22290568355965e-05,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.4,"score_quantile",0.4,NA,51,101,NA,NA,NA,0.999772140298926,0.999725359767665,-4.67805312609482e-05,0.999772140298926,0.999725359767665,-4.67805312609482e-05,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.5,"score_quantile",0.5,NA,51,101,NA,NA,NA,0.99976422972223,0.999708409798121,-5.58199241089685e-05,0.99976422972223,0.999708409798121,-5.58199241089685e-05,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.6,"score_quantile",0.6,NA,51,101,NA,NA,NA,0.999976525940446,0.999953373790876,-2.31521495696052e-05,0.999976525940446,0.999953373790876,-2.31521495696052e-05,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.7,"score_quantile",0.7,NA,51,101,NA,NA,NA,1.00004256780274,1.00002168481347,-2.0882989276938e-05,1.00004256780274,1.00002168481347,-2.0882989276938e-05,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
