"metric_family","crps_mean","crps_se","crps_rel_to_gaussian","crps_direction","crps_draws_used","n_obs_total","loo_elpd","loo_elpd_se","delta_loo_elpd_to_gaussian","loo_direction","waic","waic_se","delta_waic_to_gaussian","waic_direction","predictive_density_status","predictive_density_note","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
"scalar",4.15726675214554,0.0166681693843849,1,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"scalar",25.0554821867597,0.144456525721392,6.0269123153641,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"scalar",4.14279072588721,0.019438940787206,0.996517898147658,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"scalar",4.84694743017008,0.103176944005952,1.16589762436307,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"scalar",6.80892433465112,0.0720549922431717,1.6378367664613,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"scalar",8.41637712864683,0.566723410280415,2.02449773623576,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"scalar",4.06838404830577,0.0151587044149526,0.978619918052193,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"scalar",4.81860098699734,0.208177641677061,1.15907909554048,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"scalar",6.54468388934264,0.107079424955185,1.57427566705095,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",9,"t",5,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"scalar",532.485511745746,525.570781571889,128.085481036533,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",10,"skew-t",5,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"scalar",4.0629161935249,0.00828260565339178,0.97730466572251,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",11,"skew-t",10,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"scalar",4.70106323941315,0.0263877118971263,1.13080625316789,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",12,"skew-t",10,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"scalar",6.63120832170102,0.0089397515584877,1.59508848410526,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",13,"t",10,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"scalar",1515.31157678173,1508.38933713625,364.497076354239,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",14,"skew-t",10,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"scalar",4.06828341767851,0.0100622286294185,0.978595712093503,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",15,"skew-t",15,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"scalar",4.67823371713523,0.0533538339737429,1.12531477916851,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",16,"skew-t",15,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"scalar",6.59323527507824,0.068209096315345,1.58595434648871,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",17,"t",15,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"scalar",43561.9536006894,38003.1051912404,10478.5081636167,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",18,"skew-t",15,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"scalar",6.73398139565918,0.0774205125696761,1.61980979262007,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",19,"t",1,75,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"scalar",7.87295372277758,0.357409596449489,1.89378122505957,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",20,"t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"scalar",6.56526201422367,0.0916593734328335,1.57922558393333,"lower_better",400,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",21,"t",5,75,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
