"metric_family","crps_mean","crps_se","crps_rel_to_gaussian","crps_direction","mspe_mean","mspe_se","mspe_rel_to_gaussian","mspe_direction","mape_mean","mape_se","mape_rel_to_gaussian","mape_direction","crps_draws_used","n_obs_total","loo_elpd","loo_elpd_se","delta_loo_elpd_to_gaussian","loo_direction","waic","waic_se","delta_waic_to_gaussian","waic_direction","predictive_density_status","predictive_density_note","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","is_ar2","is_mrts","is_prop","model_lane"
"scalar",4.14838675546405,0.0186179849993819,1,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results",FALSE,FALSE,FALSE,"gaussian_reference"
"scalar",25.0546118597604,0.144291982152714,6.03960366683742,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,2,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"scalar",4.13280341054298,0.0206932820775902,0.996243516856151,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,3,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"scalar",4.83841587815022,0.106838980769586,1.1663367384387,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,4,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"scalar",6.79161153488722,0.0721737140807472,1.63716932273531,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,5,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"scalar",8.40482239883912,0.565189829288791,2.02604600156162,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,6,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"scalar",4.06105414023565,0.0130125431455572,0.978947812637439,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,7,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"scalar",4.81009076007101,0.206262256020265,1.15950875451413,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,8,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"scalar",6.53512813852684,0.106912896220857,1.57534206036096,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",9,"t",5,75,"yes","no","",TRUE,FALSE,NA,9,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"scalar",532.434557213873,525.532191273254,128.34737660672,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",10,"skew-t",5,85,"yes","no","",FALSE,FALSE,NA,10,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"scalar",4.05342893820026,0.0108472356037805,0.977109700020444,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",11,"skew-t",10,0,"yes","no","",TRUE,FALSE,NA,11,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"scalar",4.69266804445141,0.026177589704441,1.13120312089283,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",12,"skew-t",10,50,"yes","no","",TRUE,FALSE,NA,12,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"scalar",6.61965473007814,0.00906862058640057,1.59571783449532,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",13,"t",10,75,"yes","no","",TRUE,FALSE,NA,13,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"scalar",1515.48291312016,1508.57878535434,365.31861720078,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",14,"skew-t",10,85,"yes","no","",FALSE,FALSE,NA,14,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"scalar",4.05858684086404,0.00901277217248042,0.97835305146471,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",15,"skew-t",15,0,"yes","no","",TRUE,FALSE,NA,15,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"scalar",4.67022733035307,0.0522238368057422,1.12579361704925,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",16,"skew-t",15,50,"yes","no","",TRUE,FALSE,NA,16,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"scalar",6.5839091082697,0.0695624739251621,1.5871010820285,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",17,"t",15,75,"yes","no","",TRUE,FALSE,NA,17,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"scalar",43565.2968535189,38001.6423183466,10501.7442735147,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",18,"skew-t",15,85,"yes","no","",FALSE,FALSE,NA,18,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
