"metric_family","metric","ranking_group","quantile","target_type","target_level","threshold_value","band_type","target_value","prediction_cutoff","ranking_basis","rank","setting","rank_value","score_value","score_se","rel_score_to_gaussian","rel_to_gaussian","gap_to_target","score_direction","method","knots","thresh","CMAQ","TS","ar2","mrts","setting_orig","source","is_baseline","is_proposed","is_ar2","is_mrts","is_prop","model_lane"
"score","brier","brier__q0",0,"threshold_quantile",0,2,NA,NA,NA,"rel_to_gaussian",1,2,0.583382328892249,8.34167500834168e-05,8.34167500834168e-05,0.583382328892249,0.583382328892249,NA,"lower_better","max-stable",1,75,"yes","no","",NA,2,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","brier","brier__q0",0,"threshold_quantile",0,2,NA,NA,NA,"rel_to_gaussian",2,104,0.828938025851346,0.000118528300760125,7.44459701774793e-05,0.828938025851346,0.828938025851346,NA,"lower_better","skew-t",5,0,"yes","yes","yes",NA,104,"ozone_us_all_results",FALSE,TRUE,TRUE,FALSE,FALSE,"ar2"
"score","brier","brier__q0.1",0.1,"threshold_quantile",0.1,28.875,NA,NA,NA,"rel_to_gaussian",1,33,0.953879769676451,0.036890649007795,0.00099246533745799,0.953879769676451,0.953879769676451,NA,"lower_better","skew-t",6,0,"yes","no","",NA,33,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","brier","brier__q0.1",0.1,"threshold_quantile",0.1,28.875,NA,NA,NA,"rel_to_gaussian",2,11,0.955953599127374,0.0369708529462871,0.000970493700374542,0.955953599127374,0.955953599127374,NA,"lower_better","skew-t",10,0,"yes","no","",NA,11,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","brier","brier__q0.2",0.2,"threshold_quantile",0.2,36,NA,NA,NA,"rel_to_gaussian",1,11,0.956627896556782,0.0605130054749999,0.00170069356976131,0.956627896556782,0.956627896556782,NA,"lower_better","skew-t",10,0,"yes","no","",NA,11,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","brier","brier__q0.2",0.2,"threshold_quantile",0.2,36,NA,NA,NA,"rel_to_gaussian",2,35,0.957169344666308,0.0605472556286219,0.00148003861160485,0.957169344666308,0.957169344666308,NA,"lower_better","skew-t",8,0,"yes","no","",NA,35,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","brier","brier__q0.3",0.3,"threshold_quantile",0.3,41.625,NA,NA,NA,"rel_to_gaussian",1,11,0.962934539603296,0.0760251075566026,0.00155531720958894,0.962934539603296,0.962934539603296,NA,"lower_better","skew-t",10,0,"yes","no","",NA,11,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","brier","brier__q0.3",0.3,"threshold_quantile",0.3,41.625,NA,NA,NA,"rel_to_gaussian",2,15,0.963107074042148,0.0760387294059926,0.00128660414072737,0.963107074042148,0.963107074042148,NA,"lower_better","skew-t",15,0,"yes","no","",NA,15,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","brier","brier__q0.4",0.4,"threshold_quantile",0.4,46.5,NA,NA,NA,"rel_to_gaussian",1,36,0.969044493205071,0.0865190201938936,0.000609587718084427,0.969044493205071,0.969044493205071,NA,"lower_better","skew-t",9,0,"yes","no","",NA,36,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","brier","brier__q0.4",0.4,"threshold_quantile",0.4,46.5,NA,NA,NA,"rel_to_gaussian",2,11,0.969221248800755,0.0865348014310397,0.000762501834776767,0.969221248800755,0.969221248800755,NA,"lower_better","skew-t",10,0,"yes","no","",NA,11,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
