"metric_family","metric","ranking_group","quantile","target_type","target_level","threshold_value","band_type","target_value","prediction_cutoff","ranking_basis","rank","setting","rank_value","score_value","score_se","rel_score_to_gaussian","rel_to_gaussian","gap_to_target","score_direction","method","knots","thresh","CMAQ","TS","ar2","mrts","setting_orig","source","is_baseline","is_proposed","model_lane"
"score","brier","brier__q0",0,"threshold_quantile",0,2,NA,NA,NA,"rel_to_gaussian",1,3,0.994922620908962,0.000142262128128378,6.08070176841007e-05,0.994922620908962,0.994922620908962,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"40",2,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","brier","brier__q0",0,"threshold_quantile",0,2,NA,NA,NA,"rel_to_gaussian",2,1,1,0.000142988133085574,7.46591174983435e-05,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"score","brier","brier__q0.1",0.1,"threshold_quantile",0.1,28.875,NA,NA,NA,"rel_to_gaussian",1,1,1,0.0386743174355276,0.00102094098574444,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"score","brier","brier__q0.1",0.1,"threshold_quantile",0.1,28.875,NA,NA,NA,"rel_to_gaussian",2,4,1.13217374952144,0.0437860469811635,0.00243388408827056,1.13217374952144,1.13217374952144,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"60",3,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","brier","brier__q0.2",0.2,"threshold_quantile",0.2,36,NA,NA,NA,"rel_to_gaussian",1,1,1,0.0632565762432876,0.00176640052757183,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"score","brier","brier__q0.2",0.2,"threshold_quantile",0.2,36,NA,NA,NA,"rel_to_gaussian",2,12,1.09559870474106,0.0693038229984999,0.00330718010894365,1.09559870474106,1.09559870474106,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"120",11,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","brier","brier__q0.3",0.3,"threshold_quantile",0.3,41.625,NA,NA,NA,"rel_to_gaussian",1,1,1,0.0789514805315042,0.00167230798562504,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"score","brier","brier__q0.3",0.3,"threshold_quantile",0.3,41.625,NA,NA,NA,"rel_to_gaussian",2,12,1.0979812069223,0.0866872418822836,0.00265381482522657,1.0979812069223,1.0979812069223,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"120",11,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","brier","brier__q0.4",0.4,"threshold_quantile",0.4,46.5,NA,NA,NA,"rel_to_gaussian",1,1,1,0.0892828149796671,0.00072875918720796,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"score","brier","brier__q0.4",0.4,"threshold_quantile",0.4,46.5,NA,NA,NA,"rel_to_gaussian",2,12,1.11146831849849,0.0992350202362628,0.00181002147083067,1.11146831849849,1.11146831849849,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"120",11,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
