"uncertainty_family","summary_draws_used","n_obs_total","pit_mean","pit_mean_se","pit_mean_target","pit_mean_gap","pit_variance","pit_variance_se","pit_variance_target","pit_variance_gap","pit_ks_stat","pit_ks_se","pit_uniformity_mae","pit_uniformity_mae_se","pit_uniformity_rmse","pit_uniformity_rmse_se","coverage_direction","pit_direction","coverage_80_target","coverage_80_mean","coverage_80_se","coverage_80_gap","coverage_90_target","coverage_90_mean","coverage_90_se","coverage_90_gap","coverage_95_target","coverage_95_mean","coverage_95_se","coverage_95_gap","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
"coverage_pit",400,23985,0.498699348104043,0.0181817471697754,0.5,-0.00130065189595696,0.0699168806261714,0.000692237650812256,0.0833333333333333,-0.0134164527071619,0.0694027442045697,0.000297805932964745,0.0184905022551934,0.000589267687292198,0.0206086190462323,0.00046172792427825,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.845027103873065,0.00276817828080644,0.0450271038730653,0.9,0.913737005322402,0.00199192691065658,0.0137370053224016,0.95,0.946507992113143,0.000645462917280848,-0.00349200788685655,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"gaussian_reference"
"coverage_pit",400,23985,0.0662230212833489,0.00296283123583699,0.5,-0.433776978716651,0.0517993797866863,0.00232132630496188,0.0833333333333333,-0.031533953546647,0.916321547854431,0.0030749679411845,0.163447751327221,0.000631601844405055,0.272591552637979,0.00103327180454146,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.0477805887908413,0.00193579425887503,-0.752219411209159,0.9,0.0615812736968026,0.00298329086776199,-0.838418726303197,0.95,0.0709201011464077,0.00206955517658194,-0.879079898853592,2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"coverage_pit",400,23985,0.499247918523675,0.018186023295113,0.5,-0.000752081476325051,0.0708473528019048,0.000622363939042907,0.0833333333333333,-0.0124859805314285,0.0663178907840073,0.00170994950939933,0.0178483872719932,0.000714586804859378,0.0194319582899111,0.00071048895354254,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.841567092223506,0.00147700213341623,0.0415670922235063,0.9,0.912819577517002,0.00249258385667489,0.0128195775170018,0.95,0.946632992081854,0.000853879636075194,-0.0033670079181457,3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"coverage_pit",400,23985,0.535727794013694,0.0240400646176309,0.5,0.0357277940136936,0.0711570307622493,0.00119927997146171,0.0833333333333333,-0.012176302571084,0.0817092370565114,0.031549911063852,0.0186837975760206,0.00323501546057185,0.0212685223110781,0.00407111989112576,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.841735114709608,0.00185847888398521,0.0417351147096083,0.9,0.919365758606819,0.00136442393881753,0.0193657586068189,0.95,0.954304047733655,0.0019350120312861,0.00430404773365523,4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"coverage_pit",400,23985,0.590276134082945,0.000213780062257807,0.5,0.0902761340829452,0.0679132265018325,0.0013846970520483,0.0833333333333333,-0.0154201068315008,0.152276421207404,0.00305970449068724,0.0292914357217933,0.000546023643047903,0.0334730730448781,0.000798064411878657,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.834936367975878,0.00569045539663193,0.0349363679758778,0.9,0.922240757887169,0.00615800847108677,0.0222407578871694,0.95,0.962600259674528,0.00364130071556928,0.0126002596745283,5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"coverage_pit",400,23985,0.620980095890464,0.0127888814201799,0.5,0.120980095890464,0.0657374429977072,0.00577009696177976,0.0833333333333333,-0.0175958903356262,0.193112034264822,0.0157935379740831,0.0374288204183178,0.003361970372473,0.0424942400144655,0.00446759449148417,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.818099294593418,0.0123978692370791,0.0180992945934181,0.9,0.918701178047265,0.00530616262674277,0.0187011780472646,0.95,0.964185960153702,2.82540605121007e-05,0.0141859601537021,6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"coverage_pit",400,23985,0.500280721221972,0.0204890545553055,0.5,0.000280721221972202,0.0766665274995086,0.000431726386844904,0.0833333333333333,-0.00666680583382472,0.0498901101651789,0.00103247909074369,0.0101064880834823,0.000457409147081558,0.0123081626594266,0.000232501922521808,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.821680707964779,0.00130894835821072,0.0216807079647789,0.9,0.901564605365556,0.00300663253901567,0.00156460536555558,0.95,0.942631459917031,0.00172956777732974,-0.00736854008296861,7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"coverage_pit",400,23985,0.51783306836156,0.0284839275540857,0.5,0.0178330683615598,0.0759916975434067,0.000609755315619742,0.0833333333333333,-0.0073416357899266,0.0599850447471728,0.0215224154512101,0.0116001460325041,0.00338860115429259,0.0142063991018654,0.00361576961506711,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.822723354762615,0.00218488681229367,0.0227233547626146,0.9,0.907859096906359,4.88110015491872e-05,0.00785909690635866,0.95,0.947342034457563,0.000144837260366126,-0.00265796554243658,8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"coverage_pit",400,23985,0.486213179843384,0.0214576159524115,0.5,-0.0137868201566158,0.0915516709230105,0.00182608223980299,0.0833333333333333,0.00821833758967715,0.0501138757537232,0.0215211163276305,0.0119176791194796,0.00160736880916925,0.0174748867451792,0.00549798424974992,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.751640143519363,0.00987136799214822,-0.0483598564806367,0.9,0.860542243919338,0.0117467117029507,-0.0394577560806618,0.95,0.917203087058051,0.012893676372046,-0.0327969129419492,9,"t",5,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"coverage_pit",400,23985,0.699256554707371,0.172948371524187,0.5,0.199256554707371,0.0742502165140796,0.0228482278979693,0.0833333333333333,-0.00908311681925372,0.338178871544713,0.274418444450953,0.0697249888047587,0.0517937242068275,0.112429487300034,0.0911414803799073,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.496562641661416,0.228328916563475,-0.303437358338584,0.9,0.595380326563122,0.244125846276384,-0.304619673436878,0.95,0.666465821910933,0.242526503748059,-0.283534178089067,10,"skew-t",5,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
