"setting","fold","backend","param","mean","sd","rhat_bulk","rhat_tail","rhat","ess","geweke_z","degenerate","flag"
8,1,"legacy-nots","beta[int]",53.7491,0.6424,1.0242,1,1.0242,158.1686,-2.4677,FALSE,"marginal"
8,1,"legacy-nots","beta[cmaq]",8.3268,0.1823,1.0068,1.0007,1.0068,442.9199,1.5706,FALSE,"pass"
8,1,"legacy-nots","tau.alpha",0.6349,0.0647,1.0289,1.0202,1.0289,439.0614,6.8952,FALSE,"marginal"
8,1,"legacy-nots","tau.beta",38.5047,5.9033,1.0197,1.0001,1.0197,616.5352,4.9391,FALSE,"marginal"
8,1,"legacy-nots","rho",0.4497,0.0561,1.0739,1.012,1.0739,22.2662,-0.7651,FALSE,"fail"
8,1,"legacy-nots","nu",0.3458,0.0252,1.0547,1.0063,1.0547,41.6108,-0.7069,FALSE,"fail"
8,1,"legacy-nots","gamma",0.8822,0.0141,1.0352,1.0282,1.0352,65.0269,-0.0354,FALSE,"fail"
8,1,"legacy-nots","lambda",-0.5389,0.07,1.0348,1.0007,1.0348,132.9046,7.4477,FALSE,"marginal"
8,1,"legacy-nots","mean.log.tau",-5.0803,0.0549,1.0897,1.0171,1.0897,72.1265,3.0576,FALSE,"fail"
8,1,"legacy-nots","mean.z",12.0745,1.0735,1.0224,1.0014,1.0224,691.8559,-4.4501,FALSE,"marginal"
8,2,"legacy-nots","beta[int]",50.9248,0.7712,1.0787,1.0157,1.0787,82.8683,2.6818,FALSE,"fail"
8,2,"legacy-nots","beta[cmaq]",8.4112,0.1871,1.0533,1.0047,1.0533,180.3882,8.5797,FALSE,"fail"
8,2,"legacy-nots","tau.alpha",0.6709,0.0694,1.0017,1,1.0017,957.9894,-0.9384,FALSE,"pass"
8,2,"legacy-nots","tau.beta",41.3312,6.1933,1.0033,1.0029,1.0033,910.1204,0.5628,FALSE,"pass"
8,2,"legacy-nots","rho",0.6298,0.0749,1.0882,1.0113,1.0882,62.4242,-4.4916,FALSE,"fail"
8,2,"legacy-nots","nu",0.3146,0.0212,1.0751,1.0122,1.0751,44.1699,2.6537,FALSE,"fail"
8,2,"legacy-nots","gamma",0.8747,0.0151,1.0928,1.0071,1.0928,57.1365,-4.0693,FALSE,"fail"
8,2,"legacy-nots","lambda",-0.1105,0.0849,1.048,1.0237,1.048,122.0591,-2.5087,FALSE,"marginal"
8,2,"legacy-nots","mean.log.tau",-5.0344,0.0502,1.0066,1.0081,1.0081,151.6625,-1.7183,FALSE,"marginal"
8,2,"legacy-nots","mean.z",11.2288,0.9676,1.0029,0.9998,1.0029,678.5905,1.933,FALSE,"pass"
51,1,"legacy","beta[int]",46.2523,0.7676,1.002,0.9997,1.002,278.2263,-3.4859,FALSE,"marginal"
51,1,"legacy","beta[cmaq]",7.5854,0.1393,1.0016,1.0004,1.0016,1173.2963,0.6633,FALSE,"pass"
51,1,"legacy","tau.alpha",0.3728,0.0739,0.9999,0.9999,0.9999,2668.0852,-1.052,FALSE,"pass"
51,1,"legacy","tau.beta",10.777,3.6641,1.0001,1.0004,1.0004,2702.0395,-0.9371,FALSE,"pass"
51,1,"legacy","rho",0.6474,0.0794,1.011,1.0018,1.011,42.5073,2.1813,FALSE,"fail"
51,1,"legacy","nu",0.3302,0.0193,1.0215,1.0419,1.0419,63.5566,-1.8851,FALSE,"fail"
51,1,"legacy","gamma",0.8674,0.0111,1.0168,1.0008,1.0168,48.2246,2.3137,FALSE,"fail"
51,1,"legacy","lambda",0.0399,19.7771,1.0004,1,1.0004,5000,-0.063,FALSE,"pass"
51,1,"legacy","phi.z",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
51,1,"legacy","phi.w",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
51,1,"legacy","phi.tau",0.9977,0.0011,1.0004,1.0032,1.0032,451.7313,-0.8194,FALSE,"pass"
51,1,"legacy","mean.log.tau",-5.1933,0.0423,1.0326,1.0101,1.0326,57.0174,-1.0744,FALSE,"fail"
