"setting","param","nchains","ndraws","rhat_bulk","rhat_tail","rhat","rhat_reruns","ess_total","degenerate","mean_chain1","sd_chain1","mean_chain2","sd_chain2","flag"
55,"beta[int]",2,1000,1.8439,1.3925,1.8439,NA,140.8168,FALSE,49.1126,0.5064,44.5141,0.8955,"fail"
55,"beta[cmaq]",2,1000,1.1108,1.0024,1.1108,NA,247.2197,FALSE,8.4368,0.1651,8.583,0.1835,"fail"
55,"tau.alpha",2,1000,1.0375,0.9999,1.0375,NA,427.8785,FALSE,0.735,0.0727,0.7203,0.0757,"marginal"
55,"tau.beta",2,1000,1.144,1.0009,1.144,NA,620.0882,FALSE,46.3252,6.5811,52.799,7.0024,"fail"
55,"rho",2,1000,1.2242,1.2045,1.2242,NA,26.4182,FALSE,0.5151,0.0447,0.5098,0.0975,"fail"
55,"nu",2,1000,1.3135,1.1388,1.3135,NA,16.5274,FALSE,0.3067,0.0186,0.3367,0.0315,"fail"
55,"gamma",2,1000,1.2773,1.0561,1.2773,NA,24.1022,FALSE,0.8986,0.0136,0.884,0.0191,"fail"
55,"lambda",2,1000,1.0083,1.8101,1.8101,NA,1018.3363,FALSE,-0.1025,18.7362,0.4209,0.1105,"fail"
55,"phi.z",2,1000,NA,NA,NA,NA,NA,TRUE,0,0,0.1768,0.1785,"degenerate"
55,"phi.w",2,1000,1.9051,1.1418,1.9051,NA,318.8225,FALSE,0.2721,0.0605,-0.2189,0.0906,"fail"
55,"phi.tau",2,1000,1.6207,1.1092,1.6207,NA,123.2917,FALSE,0.8137,0.0322,0.8786,0.0324,"fail"
55,"mean.log.tau",2,1000,2.1273,1.3356,2.1273,NA,32.3618,FALSE,-4.9682,0.0398,-5.1377,0.0735,"fail"
55,"mean.z",2,1000,NA,NA,NA,NA,NA,TRUE,0,0,9.541,1.0334,"degenerate"
111,"beta[int]",2,1000,1.8658,1.3145,1.8658,NA,89.903,FALSE,49.375,0.4844,44.6228,0.7514,"fail"
111,"beta[cmaq]",2,1000,1.1558,1.027,1.1558,NA,241.1733,FALSE,8.3075,0.1699,8.455,0.2077,"fail"
111,"tau.alpha",2,1000,1.6867,1.1361,1.6867,NA,252.8366,FALSE,1.5334,0.1355,1.8709,0.1996,"fail"
111,"tau.beta",2,1000,1.8431,1.0535,1.8431,NA,430.3068,FALSE,84.4952,10.7234,143.2586,15.8294,"fail"
111,"rho",2,1000,1.6669,1.2681,1.6669,NA,18.8349,FALSE,0.4746,0.043,0.5079,0.0919,"fail"
111,"nu",2,1000,1.2266,1.1051,1.2266,NA,21.3102,FALSE,0.3304,0.0238,0.3075,0.0131,"fail"
111,"gamma",2,1000,1.463,1.253,1.463,NA,26.5697,FALSE,0.8758,0.0134,0.8909,0.0184,"fail"
111,"lambda",2,1000,1.0384,1.7917,1.7917,NA,1123.184,FALSE,0.6276,20.5495,0.6108,0.372,"fail"
111,"phi.z[1]",2,1000,NA,NA,NA,NA,NA,TRUE,0,0,0.3848,0.1978,"degenerate"
111,"phi.z[2]",2,1000,NA,NA,NA,NA,NA,TRUE,0,0,0.3003,0.1601,"degenerate"
111,"phi.w[1]",2,1000,1.835,1.0121,1.835,NA,157.0657,FALSE,-0.0175,0.0469,0.4399,0.0402,"fail"
111,"phi.w[2]",2,1000,1.8376,1.0805,1.8376,NA,196.5279,FALSE,-0.0398,0.0479,0.322,0.0493,"fail"
111,"phi.tau[1]",2,1000,2.1907,1.3212,2.1907,NA,85.6275,FALSE,0.1156,0.1169,0.4527,0.0759,"fail"
111,"phi.tau[2]",2,1000,2.1942,1.3246,2.1942,NA,109.6405,FALSE,0.034,0.1023,0.4309,0.099,"fail"
111,"mean.log.tau",2,1000,1.7567,1.5116,1.7567,NA,33.4983,FALSE,-4.7907,0.0442,-4.9685,0.1493,"fail"
111,"mean.z",2,1000,NA,NA,NA,NA,NA,TRUE,0,0,7.4993,2.8552,"degenerate"
