"setting","fold","backend","n_params","max_rhat","max_rhat_param","min_ess","min_ess_param","n_rhat_gt_1.01","n_rhat_gt_1.05","n_rhat_gt_1.10","n_ess_lt_400","n_ess_lt_100","n_geweke_gt_2","n_geweke_gt_3","n_degenerate"
8,1,"legacy-nots",10,1.0897,"mean.log.tau",22.3,"rho",9,3,0,6,4,6,5,0
8,2,"legacy-nots",10,1.0928,"gamma",44.2,"nu",6,5,0,7,4,6,3,0
51,1,"legacy",13,1.0419,"nu",42.5,"rho",4,0,0,5,4,3,1,3
51,2,"legacy",13,1.1071,"gamma",39.7,"rho",5,4,2,5,4,4,1,3
55,1,"legacy",13,1.0786,"rho",39.3,"nu",7,3,0,6,4,2,1,2
55,2,"legacy",13,1.1132,"phi.tau",38.7,"nu",8,4,1,7,4,3,0,2
58,1,"legacy",13,1.2326,"mean.log.tau",33.3,"nu",9,7,5,8,6,7,6,2
58,2,"legacy",13,1.1904,"phi.tau",40.3,"nu",7,3,2,7,4,5,3,2
68,1,"legacy",11,1.3685,"nu",9.5,"gamma",10,8,7,9,7,7,7,1
68,2,"legacy",11,2.1112,"phi.tau",5.2,"nu",10,8,8,9,8,8,7,1
111,1,"ar2",16,1.181,"mean.log.tau",27.2,"nu",11,6,3,10,4,4,1,3
111,2,"ar2",16,1.0771,"phi.w[1]",44.2,"mean.log.tau",11,2,0,9,3,7,5,3
120,1,"ar2",16,1.0567,"nu",38.5,"nu",6,2,0,8,3,2,1,3
120,2,"ar2",16,1.2087,"mean.log.tau",46.6,"nu",10,3,2,10,4,8,6,3
124,1,"ar2",14,1.5895,"nu",9.8,"rho",11,8,5,10,9,9,7,2
124,2,"ar2",14,1.5511,"rho",7.8,"nu",12,5,4,10,6,3,1,2
204,1,"legacy",22,1.0647,"nu",53.7,"nu",4,1,0,4,3,7,0,3
204,2,"legacy",22,1.0741,"nu",49.9,"nu",4,2,0,4,3,3,1,3
