"baseline_setting","setting","basis_label","method","knots","thresh","CMAQ","TS","model_lane_focus","short_label","model_label","model_order","mrts_k","mean_bias","mean_bias_se","mean_abs_bias","mean_mae","mean_mae_se","mean_rmse","mean_rmse_se","predicted_mean","observed_mean","n_obs_total","n_obs_mean_per_fold","draws_used_mean","baseline_abs_bias","baseline_mae","baseline_rmse","baseline_bias","baseline_predicted_mean","baseline_observed_mean","mean_abs_bias_rel_gap","mean_mae_rel_gap","mean_rmse_rel_gap","mean_bias_delta","predicted_mean_delta","observed_mean_delta"
51,51,"skew-t | knots=1 | thresh=0","skew-t",1,0,"yes","yes","baseline","baseline","Baseline (51)",0,NA,-0.00406906491212181,0.496482234569977,0.496482234569977,5.6420889196083,0.0285202010235341,7.65434860104829,0.0846620480188243,51.2485424878708,51.2526115527829,23985,11992.5,400,0.496482234569977,5.6420889196083,7.65434860104829,-0.00406906491212181,51.2485424878708,51.2526115527829,0,0,0,0,0,0
51,101,"skew-t | knots=1 | thresh=0","skew-t",1,0,"yes","yes","ar2","AR2","AR2 (101)",1,NA,-0.0004649023604959,0.501108344981682,0.501108344981682,5.64065617608233,0.0268055912344582,7.65202908760316,0.0823346085523604,51.2521466504224,51.2526115527829,23985,11992.5,400,0.496482234569977,5.6420889196083,7.65434860104829,-0.00406906491212181,51.2485424878708,51.2526115527829,0.00931777632630149,-0.000253938487390859,-0.000303032114949198,0.00360416255162591,0.00360416255162477,0
51,201,"skew-t | knots=1 | thresh=0","skew-t",1,0,"yes","yes","mrts","k=5","MRTS k=5 (201)",15,5,0.016506386580607,0.515760392574664,0.515760392574664,5.64054427822022,0.0299710231184278,7.64479792428804,0.0871098535943484,51.2691179393635,51.2526115527829,23985,11992.5,400,0.496482234569977,5.6420889196083,7.65434860104829,-0.00406906491212181,51.2485424878708,51.2526115527829,0.0388295021701723,-0.000273771188309957,-0.00124774520446347,0.0205754514927288,0.020575451492725,0
51,204,"skew-t | knots=1 | thresh=0","skew-t",1,0,"yes","yes","mrts","k=10","MRTS k=10 (204)",20,10,0.000301551543151313,0.541754266591507,0.541754266591507,5.62404763737969,0.0343178623736291,7.63160429728319,0.0860926448884585,51.252913104326,51.2526115527829,23985,11992.5,400,0.496482234569977,5.6420889196083,7.65434860104829,-0.00406906491212181,51.2485424878708,51.2526115527829,0.0911856031681424,-0.00319762458296313,-0.00297142251425409,0.00437061645527312,0.00437061645526882,0
51,207,"skew-t | knots=1 | thresh=0","skew-t",1,0,"yes","yes","mrts","k=15","MRTS k=15 (207)",25,15,-0.0181452733496543,0.53912631774095,0.53912631774095,5.62754309991759,0.0139441659013171,7.64463684248212,0.0579434532061991,51.2344662794332,51.2526115527829,23985,11992.5,400,0.496482234569977,5.6420889196083,7.65434860104829,-0.00406906491212181,51.2485424878708,51.2526115527829,0.0858924654331465,-0.00257809118182295,-0.00126878968706001,-0.0140762084375325,-0.0140762084375368,0
52,52,"skew-t | knots=1 | thresh=50","skew-t",1,50,"yes","yes","baseline","baseline","Baseline (52)",0,NA,-1.22961128731407,0.808791786783266,1.22961128731407,6.68979977265087,0.163942535202425,8.8039385558905,0.120702004778153,50.0230002654688,51.2526115527829,23985,11992.5,400,1.22961128731407,6.68979977265087,8.8039385558905,-1.22961128731407,50.0230002654688,51.2526115527829,0,0,0,0,0,0
52,102,"skew-t | knots=1 | thresh=50","skew-t",1,50,"yes","yes","ar2","AR2","AR2 (102)",1,NA,-1.237614952912,0.843398514849544,1.237614952912,6.70829123301511,0.184382231873209,8.83152233085121,0.147637996377988,50.0149965998709,51.2526115527829,23985,11992.5,400,1.22961128731407,6.68979977265087,8.8039385558905,-1.22961128731407,50.0230002654688,51.2526115527829,0.00650910225084722,0.00276412762603795,0.00313311761385004,-0.0080036655979232,-0.00800366559792565,0
52,202,"skew-t | knots=1 | thresh=50","skew-t",1,50,"yes","yes","mrts","k=5","MRTS k=5 (202)",15,5,-1.28519762263005,0.79931452933901,1.28519762263005,6.59482713134597,0.183767992905144,8.70215238768073,0.139193919517258,49.9674139301528,51.2526115527829,23985,11992.5,400,1.22961128731407,6.68979977265087,8.8039385558905,-1.22961128731407,50.0230002654688,51.2526115527829,0.0452064289661782,-0.0141966343586492,-0.0115614355510993,-0.0555863353159747,-0.0555863353159793,0
52,205,"skew-t | knots=1 | thresh=50","skew-t",1,50,"yes","yes","mrts","k=10","MRTS k=10 (205)",20,10,-1.48503557020509,0.898708009901843,1.48503557020509,6.6290396581138,0.216718069414744,8.75777676745456,0.189802336856565,49.7675759825778,51.2526115527829,23985,11992.5,400,1.22961128731407,6.68979977265087,8.8039385558905,-1.22961128731407,50.0230002654688,51.2526115527829,0.207727666073198,-0.00908250121109255,-0.00524331106389342,-0.255424282891014,-0.255424282891013,0
52,208,"skew-t | knots=1 | thresh=50","skew-t",1,50,"yes","yes","mrts","k=15","MRTS k=15 (208)",25,15,-1.42663350700468,0.863897729193963,1.42663350700468,6.59406920268677,0.205789748582544,8.70096243945286,0.173926809429124,49.8259780457782,51.2526115527829,23985,11992.5,400,1.22961128731407,6.68979977265087,8.8039385558905,-1.22961128731407,50.0230002654688,51.2526115527829,0.160231303765093,-0.0143099305236996,-0.011696596447591,-0.197022219690608,-0.197022219690609,0
53,53,"t | knots=1 | thresh=75","t",1,75,"yes","yes","baseline","baseline","Baseline (53)",0,NA,-4.96462302833271,0.754819004777855,4.96462302833271,9.86341726447303,0.420926182768182,12.3278241545739,0.489507073365481,46.2879885244502,51.2526115527829,23985,11992.5,400,4.96462302833271,9.86341726447303,12.3278241545739,-4.96462302833271,46.2879885244502,51.2526115527829,0,0,0,0,0,0
53,103,"t | knots=1 | thresh=75","t",1,75,"yes","yes","ar2","AR2","AR2 (103)",1,NA,-4.25928117638317,0.196906455424114,4.25928117638317,9.62319673882753,0.015184114076968,12.100719501833,0.123152226034595,46.9933303763997,51.2526115527829,23985,11992.5,400,4.96462302833271,9.86341726447303,12.3278241545739,-4.96462302833271,46.2879885244502,51.2526115527829,-0.142073597113861,-0.024354695660169,-0.0184221197425745,0.705341851949538,0.705341851949541,0
53,203,"t | knots=1 | thresh=75","t",1,75,"yes","yes","mrts","k=5","MRTS k=5 (203)",15,5,-4.4551163175349,0.0714413955537241,4.4551163175349,9.30883103525122,0.165201807055904,11.7008049884268,0.119124097242611,46.797495235248,51.2526115527829,23985,11992.5,400,4.96462302833271,9.86341726447303,12.3278241545739,-4.96462302833271,46.2879885244502,51.2526115527829,-0.10262747199336,-0.0562265809456698,-0.0508621114549619,0.509506710797806,0.509506710797808,0
53,206,"t | knots=1 | thresh=75","t",1,75,"yes","yes","mrts","k=10","MRTS k=10 (206)",20,10,-5.24794497319046,0.929285134699916,5.24794497319046,9.65155925184381,0.518096937663958,12.0883961546656,0.570047665653519,46.0046665795924,51.2526115527829,23985,11992.5,400,4.96462302833271,9.86341726447303,12.3278241545739,-4.96462302833271,46.2879885244502,51.2526115527829,0.057068168769483,-0.0214791696375162,-0.0194217565813928,-0.283321944857753,-0.283321944857747,0
53,209,"t | knots=1 | thresh=75","t",1,75,"yes","yes","mrts","k=15","MRTS k=15 (209)",25,15,-6.83056675586005,1.0044896406887,6.83056675586005,11.173449113618,1.00898725752372,15.1051438041181,2.01930328026449,44.4220447969228,51.2526115527829,23985,11992.5,400,4.96462302833271,9.86341726447303,12.3278241545739,-4.96462302833271,46.2879885244502,51.2526115527829,0.37584801844542,0.132817239098615,0.225288713946629,-1.86594372752735,-1.86594372752734,0
