"setting","script_file","result_file","run_status","result_exists","elapsed_sec","checked_at","error_message"
33,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-33.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-33.RData","dry_missing",FALSE,NA,"2026-03-19 22:22:46",""
34,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-34.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-34.RData","dry_missing",FALSE,NA,"2026-03-19 22:22:46",""
35,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-35.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-35.RData","dry_missing",FALSE,NA,"2026-03-19 22:22:46",""
36,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-36.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-36.RData","dry_missing",FALSE,NA,"2026-03-19 22:22:46",""
38,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-38.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-38.RData","dry_missing",FALSE,NA,"2026-03-19 22:22:46",""
39,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-39.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-39.RData","dry_missing",FALSE,NA,"2026-03-19 22:22:46",""
40,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-40.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-40.RData","dry_missing",FALSE,NA,"2026-03-19 22:22:46",""
41,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-41.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-41.RData","dry_missing",FALSE,NA,"2026-03-19 22:22:46",""
43,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-43.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-43.RData","dry_missing",FALSE,NA,"2026-03-19 22:22:46",""
44,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-44.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-44.RData","dry_missing",FALSE,NA,"2026-03-19 22:22:46",""
45,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-45.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-45.RData","dry_missing",FALSE,NA,"2026-03-19 22:22:46",""
46,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-46.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-46.RData","dry_missing",FALSE,NA,"2026-03-19 22:22:46",""
