"setting","script_file","result_file","run_status","result_exists","elapsed_sec","checked_at","error_message"
1,"us-all-1.R","results/us-all-1.RData","dry_run",TRUE,NA,"2026-03-19 22:03:37",""
2,"us-all-2.R","results/us-all-2.RData","dry_run",FALSE,NA,"2026-03-19 22:03:37",""
3,"us-all-3.R","results/us-all-3.RData","dry_run",FALSE,NA,"2026-03-19 22:03:37",""
4,"us-all-4.R","results/us-all-4.RData","dry_run",FALSE,NA,"2026-03-19 22:03:37",""
5,"us-all-5.R","results/us-all-5.RData","dry_run",FALSE,NA,"2026-03-19 22:03:37",""
7,"us-all-7.R","results/us-all-7.RData","dry_run",FALSE,NA,"2026-03-19 22:03:37",""
8,"us-all-8.R","results/us-all-8.RData","dry_run",FALSE,NA,"2026-03-19 22:03:37",""
9,"us-all-9.R","results/us-all-9.RData","dry_run",FALSE,NA,"2026-03-19 22:03:37",""
11,"us-all-11.R","results/us-all-11.RData","dry_run",FALSE,NA,"2026-03-19 22:03:37",""
12,"us-all-12.R","results/us-all-12.RData","dry_run",FALSE,NA,"2026-03-19 22:03:37",""
13,"us-all-13.R","results/us-all-13.RData","dry_run",FALSE,NA,"2026-03-19 22:03:37",""
15,"us-all-15.R","results/us-all-15.RData","dry_run",FALSE,NA,"2026-03-19 22:03:37",""
16,"us-all-16.R","results/us-all-16.RData","dry_run",FALSE,NA,"2026-03-19 22:03:37",""
17,"us-all-17.R","results/us-all-17.RData","dry_run",FALSE,NA,"2026-03-19 22:03:37",""
