"setting","script_file","result_file","run_status","result_exists","elapsed_sec","checked_at","error_message","batch"
1,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-1.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-1.RData","dry_present",TRUE,NA,"2026-03-19 22:37:22","","F1"
2,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-2.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-2.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F1"
3,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-3.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-3.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F1"
4,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-4.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-4.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F1"
5,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-5.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-5.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F1"
7,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-7.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-7.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F1"
8,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-8.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-8.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F1"
9,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-9.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-9.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F1"
11,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-11.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-11.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F1"
12,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-12.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-12.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F1"
13,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-13.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-13.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F1"
15,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-15.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-15.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F1"
16,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-16.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-16.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F1"
17,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-17.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-17.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F1"
33,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-33.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-33.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F2"
34,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-34.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-34.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F2"
35,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-35.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-35.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F2"
36,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-36.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-36.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F2"
38,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-38.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-38.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F2"
39,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-39.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-39.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F2"
40,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-40.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-40.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F2"
41,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-41.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-41.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F2"
43,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-43.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-43.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F2"
44,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-44.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-44.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F2"
45,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-45.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-45.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F2"
46,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-46.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-46.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F2"
51,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-51.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-51.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F3"
52,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-52.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-52.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F3"
53,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-53.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-53.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F3"
54,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-54.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-54.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F3"
55,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-55.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-55.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F3"
56,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-56.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-56.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F3"
57,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-57.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-57.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F4"
58,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-58.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-58.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F4"
59,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-59.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-59.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F4"
60,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-60.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-60.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F4"
61,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-61.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-61.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F4"
62,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-62.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-62.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F4"
63,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-63.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-63.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F5"
64,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-64.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-64.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F5"
65,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-65.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-65.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F5"
66,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-66.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-66.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F5"
67,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-67.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-67.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F5"
68,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-68.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-68.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F5"
69,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-69.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-69.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F6"
70,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-70.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-70.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F6"
71,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-71.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-71.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F6"
72,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-72.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-72.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F6"
73,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-73.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-73.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F6"
74,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-74.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-74.RData","dry_missing",FALSE,NA,"2026-03-19 22:37:22","","F6"
