"setting","script_file","result_file","run_status","result_exists","elapsed_sec","checked_at","error_message","batch"
1,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-1.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-1.RData","dry_present",TRUE,NA,"2026-03-29 01:16:15","","F1"
2,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-2.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-2.RData","dry_present",TRUE,NA,"2026-03-29 01:16:15","","F1"
3,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-3.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-3.RData","dry_present",TRUE,NA,"2026-03-29 01:16:15","","F2"
4,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-4.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-4.RData","dry_present",TRUE,NA,"2026-03-29 01:16:15","","F2"
5,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-5.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-5.RData","dry_present",TRUE,NA,"2026-03-29 01:16:15","","F2"
6,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-6.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-6.RData","dry_present",TRUE,NA,"2026-03-29 01:16:15","","F2"
7,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-7.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-7.RData","dry_present",TRUE,NA,"2026-03-29 01:16:15","","F2"
8,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-8.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-8.RData","dry_present",TRUE,NA,"2026-03-29 01:16:15","","F2"
9,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-9.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-9.RData","dry_present",TRUE,NA,"2026-03-29 01:16:15","","F3"
10,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-10.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-10.RData","dry_missing",FALSE,NA,"2026-03-29 01:16:15","","F3"
11,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-11.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-11.RData","dry_present",TRUE,NA,"2026-03-29 01:16:15","","F3"
12,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-12.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-12.RData","dry_present",TRUE,NA,"2026-03-29 01:16:15","","F3"
13,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-13.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-13.RData","dry_present",TRUE,NA,"2026-03-29 01:16:15","","F3"
14,"D:/Github/spatial-skew-t/code/analysis/ozone/US-all/us-all-14.R","D:/Github/spatial-skew-t/code/analysis/ozone/US-all/results/us-all-14.RData","dry_missing",FALSE,NA,"2026-03-29 01:16:15","","F3"
