setting,method,knots,thresh,CMAQ,TS,rerun,running,ar2,mrts
1,gaussian,1,0,yes,no,yes,hpc,,
2,max-stable,1,75,yes,no,,,,
3,skew-t,1,0,yes,no,yes,hpc,,
4,skew-t,1,50,yes,no,yes,hpc,,
5,t,1,75,yes,no,yes,,,
5a,skew-t,1,75,no,no,,,,
6,skew-t,1,85,yes,no,,,,
6a,skew-t,1,85,no,no,,,,
7,skew-t,5,0,yes,no,yes,hpc,,
8,skew-t,5,50,yes,no,yes,hpc,,
9,t,5,75,yes,no,yes,,,
9a,skew-t,5,75,no,no,,,,
10,skew-t,5,85,yes,no,,,,
10a,skew-t,5,85,no,no,,,,
11,skew-t,10,0,yes,no,yes,hpc,,
12,skew-t,10,50,yes,no,yes,hpc,,
13,t,10,75,yes,no,yes,,,
13a,skew-t,10,75,no,no,,,,
14,skew-t,10,85,yes,no,,,,
14a,skew-t,10,85,no,no,,,,
15,skew-t,15,0,yes,no,yes,hpc,,
16,skew-t,15,50,yes,no,yes,hpc,,
17,t,15,75,yes,no,yes,,,
18,skew-t,15,85,yes,no,,,,
19,t,1,75,yes,no,,,,
20,t,1,85,yes,no,,,,
21,t,5,75,yes,no,,,,
22,t,5,85,yes,no,,,,
23,t,10,75,yes,no,,,,
24,t,10,85,yes,no,,,,
25,t,15,75,yes,no,,,,
26,t,15,85,yes,no,,,,
27,skew-t,2,0,yes,no,,,,
28,skew-t,2,75,yes,no,,,,
29,skew-t,3,0,yes,no,,,,
30,skew-t,3,75,yes,no,,,,
31,skew-t,4,0,yes,no,,,,
32,skew-t,4,75,yes,no,,,,
33,skew-t,6,0,yes,no,yes,hpc,,
34,skew-t,7,0,yes,no,yes,hpc,,
35,skew-t,8,0,yes,no,yes,hpc,,
36,skew-t,9,0,yes,no,yes,hpc,,
37,skew-t,11,0,yes,no,,,,
38,skew-t,6,50,yes,no,yes,,,
39,skew-t,7,50,yes,no,yes,,,
40,skew-t,8,50,yes,no,yes,,,
41,skew-t,9,50,yes,no,yes,,,
42,skew-t,11,50,yes,no,,,,
43,t,6,75,yes,no,yes,,,
44,t,7,75,yes,no,yes,,,
45,t,8,75,yes,no,yes,,,
46,t,9,75,yes,no,yes,,,
47,skew-t,6,85,yes,no,,,,
48,skew-t,7,85,yes,no,,,,
49,skew-t,8,85,yes,no,,,,
50,skew-t,9,85,yes,no,,,,
51,skew-t,1,0,yes,yes,yes,hpc,,
52,skew-t,1,50,yes,yes,yes,hpc,,
53,t,1,75,yes,yes,yes,,,
54,skew-t,5,0,yes,yes,yes,imac,,
55,skew-t,5,50,yes,yes,yes,imac,,
56,t,5,75,yes,yes,yes,,,
57,skew-t,6,0,yes,yes,yes,imac,,
58,skew-t,6,50,yes,yes,yes,imac,,
59,t,6,75,yes,yes,yes,,,
60,skew-t,7,0,yes,yes,yes,imac,,
61,skew-t,7,50,yes,yes,yes,imac,,
62,t,7,75,yes,yes,yes,,,
63,skew-t,8,0,yes,yes,yes,,,
64,skew-t,8,50,yes,yes,yes,,,
65,t,8,75,yes,yes,yes,,,
66,skew-t,9,0,yes,yes,yes,hpc,,
67,skew-t,9,50,yes,yes,yes,hpc,,
68,t,9,75,yes,yes,yes,,,
69,skew-t,10,0,yes,yes,yes,hpc,,
70,skew-t,10,50,yes,yes,yes,hpc,,
71,t,10,75,yes,yes,yes,,,
72,skew-t,15,0,yes,yes,yes,hpc,,
73,skew-t,15,50,yes,yes,yes,hpc,,
74,t,15,75,yes,yes,yes,,,
101,skew-t,1,0,yes,yes,,,yes,
102,skew-t,1,50,yes,yes,,,yes,
103,t,1,75,yes,yes,,,yes,
104,skew-t,5,0,yes,yes,,,yes,
105,skew-t,5,50,yes,yes,,,yes,
106,t,5,75,yes,yes,,,yes,
107,skew-t,6,0,yes,yes,,,yes,
108,skew-t,6,50,yes,yes,,,yes,
109,t,6,75,yes,yes,,,yes,
110,skew-t,7,0,yes,yes,,,yes,
111,skew-t,7,50,yes,yes,,,yes,
112,t,7,75,yes,yes,,,yes,
113,skew-t,8,0,yes,yes,,,yes,
114,skew-t,8,50,yes,yes,,,yes,
115,t,8,75,yes,yes,,,yes,
116,skew-t,9,0,yes,yes,,,yes,
117,skew-t,9,50,yes,yes,,,yes,
118,t,9,75,yes,yes,,,yes,
119,skew-t,10,0,yes,yes,,,yes,
120,skew-t,10,50,yes,yes,,,yes,
121,t,10,75,yes,yes,,,yes,
122,skew-t,15,0,yes,yes,,,yes,
123,skew-t,15,50,yes,yes,,,yes,
124,t,15,75,yes,yes,,,yes,
201,skew-t,1,0,yes,yes,,,,5
202,skew-t,1,50,yes,yes,,,,5
203,t,1,75,yes,yes,,,,5
204,skew-t,1,0,yes,yes,,,,10
205,skew-t,1,50,yes,yes,,,,10
206,t,1,75,yes,yes,,,,10
207,skew-t,1,0,yes,yes,,,,15
208,skew-t,1,50,yes,yes,,,,15
209,t,1,75,yes,yes,,,,15
210,skew-t,1,0,yes,yes,,,,800
211,skew-t,1,0,yes,yes,,,yes,5
212,skew-t,1,50,yes,yes,,,yes,5
213,t,1,75,yes,yes,,,yes,5
214,skew-t,1,0,yes,yes,,,yes,10
215,skew-t,1,50,yes,yes,,,yes,10
216,t,1,75,yes,yes,,,yes,10
217,skew-t,1,0,yes,yes,,,yes,15
218,skew-t,1,50,yes,yes,,,yes,15
219,t,1,75,yes,yes,,,yes,15
