"family","mrts_k","quantile","n_settings","n_improved_brier","mean_delta_brier","mean_improve_brier_pct","n_improved_quant","mean_delta_quant","mean_improve_quant_pct"
"gaussian",10,0.9,1,0,9.03784090909576e-06,-0.0282283633576225,1,-9.86452164468687e-05,0.00522305349280541
"gaussian",10,0.91,1,0,2.35487272727264e-05,-0.0788040148585969,1,-9.74375037841035e-05,0.00552088101195372
"gaussian",10,0.92,1,0,3.03495818181794e-05,-0.117533927310649,1,-4.52747212325022e-05,0.00276884040926905
"gaussian",10,0.93,1,1,-2.72091727272737e-05,0.131041816230474,1,-1.28379125574618e-05,0.000856438533514204
"gaussian",10,0.94,1,1,-8.42615045454562e-05,0.494901244240393,1,-5.3138211961512e-05,0.00392477124930043
"gaussian",10,0.95,1,1,-2.65848454545446e-05,0.226639747699998,1,-4.61416669506054e-05,0.00386809580431791
"gaussian",10,0.96,1,0,4.40153909090895e-05,-0.446130414068341,0,6.92364418064528e-06,-0.000682982354360048
"gaussian",10,0.97,1,1,-3.0661045454545e-05,0.415105695668443,1,-4.24255037906329e-05,0.00518964585094953
"gaussian",10,0.98,1,0,3.24933181818175e-06,-0.0586054577618321,1,-8.42512481306068e-05,0.0141993222593616
"gaussian",10,0.99,1,0,7.20768181818564e-07,-0.0129268324092753,1,-4.11104645048344e-07,0.000123897073939554
"gaussian",10,0.995,1,1,-1.73219818181821e-05,0.586952303245983,1,-0.000150160838733843,0.0833826320058601
