"setting","family","method_id","method_label","mrts_k","n_pairs","n_valid","mean_baseline_sec","mean_mrts_sec","median_baseline_sec","median_mrts_sec","mean_delta_sec","median_delta_sec","mean_ratio_mrts_over_baseline","median_ratio_mrts_over_baseline"
4,"gaussian",1,"Gaussian",10,50,50,346.7488,417.8602,346.045000000001,416.484999999999,71.1114000000001,69.2649999999994,1.20565960587649,1.19881392838005
4,"gaussian",1,"Gaussian",15,50,0,346.7488,NA,346.045000000001,NA,NA,NA,NA,NA
4,"gaussian",1,"Gaussian",20,50,50,346.7488,501.176,346.045000000001,502.45,154.4272,153.06,1.44586453309095,1.44534401333529
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",10,50,50,439.2172,514.6618,440.59,516.35,75.4446000000002,76.4450000000002,1.17242337152671,1.17321159681884
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",15,50,0,439.2172,NA,440.59,NA,NA,NA,NA,NA
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",20,50,50,439.2172,605.4814,440.59,603.904999999999,166.2642,164.034999999999,1.37916985253252,1.37307799304764
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",10,50,50,458.6018,529.6772,456.94,532.594999999999,71.0754000000002,76.9300000000007,1.15555781853236,1.16764121085615
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",15,50,0,458.6018,NA,456.94,NA,NA,NA,NA,NA
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",20,50,50,458.6018,609.4518,456.94,608.25,150.85,149.97,1.32945106627782,1.33247050138667
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",10,50,50,837.2286,912.8006,840.219999999999,906.745000000001,75.5719999999999,69.7100000000003,1.09096140808205,1.07979321523785
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",15,50,0,837.2286,NA,840.219999999999,NA,NA,NA,NA,NA
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",20,50,50,837.2286,996.7042,840.219999999999,1001.22,159.4756,156.489999999999,1.19159418179974,1.18323357449928
4,"t_k5_thresh_q80",5,"t, K=5, q(0.80)",10,50,50,870.2626,919.5634,865.88,903.77,49.3007999999995,41.744999999999,1.06059413462419,1.0515412117438
4,"t_k5_thresh_q80",5,"t, K=5, q(0.80)",15,50,0,870.2626,NA,865.88,NA,NA,NA,NA,NA
4,"t_k5_thresh_q80",5,"t, K=5, q(0.80)",20,50,50,870.2626,1004.5904,865.88,1004.04,134.3278,136.15,1.15965142976098,1.15338848855506
5,"gaussian",1,"Gaussian",15,50,0,NA,NA,NA,NA,NA,NA,NA,NA
5,"skew_t_k1_thresh0",2,"Skew-t, K=1",15,50,0,NA,NA,NA,NA,NA,NA,NA,NA
5,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",15,50,0,NA,NA,NA,NA,NA,NA,NA,NA
5,"skew_t_k5_thresh0",4,"Skew-t, K=5",15,50,0,NA,NA,NA,NA,NA,NA,NA,NA
5,"t_k5_thresh_q80",5,"t, K=5, q(0.80)",15,50,0,NA,NA,NA,NA,NA,NA,NA,NA
