"setting","dataset","method_id","family","method_label","mrts_k","quantile","baseline_brier","mrts_brier","delta_brier","baseline_quant","mrts_quant","delta_quant"
4,1,1,"gaussian","Gaussian",10,0.9,0.0320168788909091,0.0320259167318182,9.03784090909576e-06,1.88865031887476,1.88855167365831,-9.86452164468687e-05
4,1,1,"gaussian","Gaussian",10,0.91,0.0298826491454545,0.0299061978727273,2.35487272727264e-05,1.7648904871004,1.76479304959662,-9.74375037841035e-05
4,1,1,"gaussian","Gaussian",10,0.92,0.0258219754181818,0.025852325,3.03495818181794e-05,1.63515098526225,1.63510571054102,-4.52747212325022e-05
4,1,1,"gaussian","Gaussian",10,0.93,0.0207637329136364,0.0207365237409091,-2.72091727272737e-05,1.49898819998025,1.49897536206769,-1.28379125574618e-05
4,1,1,"gaussian","Gaussian",10,0.94,0.0170259229545455,0.01694166145,-8.42615045454562e-05,1.35391870216598,1.35386556395402,-5.3138211961512e-05
4,1,1,"gaussian","Gaussian",10,0.95,0.0117300013454545,0.0117034165,-2.65848454545446e-05,1.19287807967678,1.19283193800982,-4.61416669506054e-05
4,1,1,"gaussian","Gaussian",10,0.96,0.00986603681818182,0.00991005220909091,4.40153909090895e-05,1.01373690497944,1.01374382862362,6.92364418064528e-06
4,1,1,"gaussian","Gaussian",10,0.97,0.00738632251363636,0.00735566146818182,-3.0661045454545e-05,0.81750287031379,0.817460444809999,-4.24255037906329e-05
4,1,1,"gaussian","Gaussian",10,0.98,0.00554441845909091,0.00554766779090909,3.24933181818175e-06,0.593346968198149,0.593262716950019,-8.42512481306068e-05
4,1,1,"gaussian","Gaussian",10,0.99,0.00557575250454545,0.00557647327272727,7.20768181818564e-07,0.331811423770113,0.331811012665468,-4.11104645048344e-07
4,1,1,"gaussian","Gaussian",10,0.995,0.00295117366818182,0.00293385168636364,-1.73219818181821e-05,0.180086470193564,0.17993630935483,-0.000150160838733843
4,2,1,"gaussian","Gaussian",10,0.9,0.0208181792636364,0.0207818661363636,-3.63131272727267e-05,1.81563410869836,1.81545958297066,-0.000174525727697938
4,2,1,"gaussian","Gaussian",10,0.91,0.0187419365636364,0.0187397008772727,-2.2356863636358e-06,1.7155743179587,1.71554734224907,-2.69757096387213e-05
4,2,1,"gaussian","Gaussian",10,0.92,0.0183136448090909,0.0183125679409091,-1.07686818181726e-06,1.60471496537448,1.60470393511928,-1.10302552027708e-05
4,2,1,"gaussian","Gaussian",10,0.93,0.0154146059818182,0.0154447457363636,3.01397545454541e-05,1.48127972775127,1.48123104067646,-4.86870748113155e-05
4,2,1,"gaussian","Gaussian",10,0.94,0.0112904171636364,0.0112829270045455,-7.49015909090947e-06,1.34506346844155,1.34513044902057,6.69805790167732e-05
4,2,1,"gaussian","Gaussian",10,0.95,0.00739039842727273,0.00739164124090909,1.24281363636427e-06,1.19192945831837,1.1919512988578,2.18405394252219e-05
4,2,1,"gaussian","Gaussian",10,0.96,0.00714534788636364,0.00716556835454545,2.02204681818176e-05,1.01282678245555,1.01280792499496,-1.88574605908265e-05
4,2,1,"gaussian","Gaussian",10,0.97,0.00786583397272727,0.00784768507727273,-1.81488954545464e-05,0.801099599185516,0.801182276651284,8.26774657681772e-05
4,2,1,"gaussian","Gaussian",10,0.98,0.00616087567272727,0.00613215811818182,-2.87175545454548e-05,0.566846736999221,0.566830698647306,-1.6038351914438e-05
4,2,1,"gaussian","Gaussian",10,0.99,0.00448968785,0.00447857894090909,-1.11089090909094e-05,0.305397753027321,0.305416343853485,1.85908261632894e-05
4,2,1,"gaussian","Gaussian",10,0.995,0.00316085064545455,0.00315544111818182,-5.40952727272727e-06,0.161266188759213,0.16119859751916,-6.75912400533163e-05
4,3,1,"gaussian","Gaussian",10,0.9,0.0387125975,0.0387604211136364,4.78236136363663e-05,1.28868338865158,1.28887186123417,0.000188472582592025
4,3,1,"gaussian","Gaussian",10,0.91,0.0348130813045455,0.0348114019863636,-1.67931818181866e-06,1.19208865822241,1.19225290839503,0.000164250172620894
4,3,1,"gaussian","Gaussian",10,0.92,0.03107300545,0.0310991282636364,2.61228136363631e-05,1.09188711816748,1.09193686766489,4.97494974120993e-05
4,3,1,"gaussian","Gaussian",10,0.93,0.0288686649590909,0.0289037370727273,3.50721136363648e-05,0.985746887881437,0.985809204018764,6.23161373272119e-05
4,3,1,"gaussian","Gaussian",10,0.94,0.0233407125409091,0.0233949394272727,5.42268863636362e-05,0.873861865272906,0.873923450116703,6.15848437968136e-05
4,3,1,"gaussian","Gaussian",10,0.95,0.0223066088681818,0.0223261381636364,1.9529295454547e-05,0.755929452727459,0.756203574934728,0.000274122207268856
4,3,1,"gaussian","Gaussian",10,0.96,0.0179133505727273,0.0179524179454545,3.90673727272729e-05,0.631914661367928,0.632159447479748,0.000244786111820772
4,3,1,"gaussian","Gaussian",10,0.97,0.0129071311909091,0.0129289493136364,2.18181227272726e-05,0.499283791010827,0.499356427229044,7.2636218217681e-05
4,3,1,"gaussian","Gaussian",10,0.98,0.00890379274090909,0.00891462683181818,1.08340909090923e-05,0.355823669790171,0.35594089416464,0.000117224374468983
4,3,1,"gaussian","Gaussian",10,0.99,0.00542352684545455,0.00541706206363636,-6.46478181818167e-06,0.193431474592043,0.193423017223217,-8.45736882604253e-06
4,3,1,"gaussian","Gaussian",10,0.995,0.0033877986,0.00337810283636364,-9.69576363636388e-06,0.102502367296078,0.102471006099787,-3.13611962912269e-05
4,4,1,"gaussian","Gaussian",10,0.9,0.0200985294090909,0.0200733383136364,-2.51910954545444e-05,1.77939594057363,1.77951670645247,0.000120765878836471
4,4,1,"gaussian","Gaussian",10,0.91,0.0198310314636364,0.0197875034727273,-4.35279909090924e-05,1.66715218150537,1.66716291857324,1.07370678699148e-05
4,4,1,"gaussian","Gaussian",10,0.92,0.0201480132590909,0.0200742647409091,-7.37485181818154e-05,1.54593183926638,1.54574746468215,-0.000184374584227598
4,4,1,"gaussian","Gaussian",10,0.93,0.0181603087363636,0.0180931360681818,-6.71726681818197e-05,1.41368470287026,1.41352738194953,-0.000157320920728621
4,4,1,"gaussian","Gaussian",10,0.94,0.0168838678863636,0.0168501124272727,-3.37554590909075e-05,1.27080763823608,1.27076654172704,-4.10965090356097e-05
4,4,1,"gaussian","Gaussian",10,0.95,0.0114719355181818,0.0114553028818182,-1.66326363636362e-05,1.11523194420087,1.11514112267011,-9.08215307573457e-05
4,4,1,"gaussian","Gaussian",10,0.96,0.00953567807272727,0.00955898467272727,2.33066000000001e-05,0.947831003615808,0.947770208215603,-6.07954002052047e-05
4,4,1,"gaussian","Gaussian",10,0.97,0.00715238722272727,0.00713251229545455,-1.98749272727278e-05,0.762345844382733,0.762203382432707,-0.00014246195002654
4,4,1,"gaussian","Gaussian",10,0.98,0.00525751232727273,0.0052620208,4.50847272727255e-06,0.555038256183651,0.555035828303037,-2.42788061388666e-06
4,4,1,"gaussian","Gaussian",10,0.99,0.00421108559090909,0.00420105225,-1.00333409090905e-05,0.305802302606744,0.305815408170278,1.3105563533955e-05
4,4,1,"gaussian","Gaussian",10,0.995,0.00306280805909091,0.00306205295,-7.55109090908902e-07,0.164072111928526,0.164116543283746,4.44313552205866e-05
4,5,1,"gaussian","Gaussian",10,0.9,0.0147488480181818,0.0147731539045455,2.43058863636375e-05,1.93923569015053,1.93932781807898,9.21279284460397e-05
4,5,1,"gaussian","Gaussian",10,0.91,0.0107492729272727,0.0107727969227273,2.35239954545462e-05,1.83605031080933,1.836164124759,0.000113813949670583
4,5,1,"gaussian","Gaussian",10,0.92,0.00586046105909091,0.00588856663636364,2.81055772727266e-05,1.72143511463194,1.72142798431662,-7.13031531995867e-06
4,5,1,"gaussian","Gaussian",10,0.93,0.00751161600454545,0.0075617261,5.01100954545452e-05,1.57965197530546,1.57965533952822,3.36422276148163e-06
4,5,1,"gaussian","Gaussian",10,0.94,0.0107086033227273,0.0107227402863636,1.41369636363648e-05,1.41047110263448,1.41047918778405,8.08514957495454e-06
4,5,1,"gaussian","Gaussian",10,0.95,0.0155802283590909,0.0155320047090909,-4.822365e-05,1.21610914539355,1.21591346055847,-0.00019568483508392
4,5,1,"gaussian","Gaussian",10,0.96,0.0164281486272727,0.0164181707454545,-9.97788181818227e-06,1.00801070402581,1.00791489724697,-9.58067788336958e-05
4,5,1,"gaussian","Gaussian",10,0.97,0.016181787,0.0161836753454545,1.88834545454541e-06,0.787158294238759,0.787113162289696,-4.51319490625268e-05
4,5,1,"gaussian","Gaussian",10,0.98,0.0127357352,0.0127464116954545,1.06764954545448e-05,0.554223743732452,0.554073074521699,-0.000150669210753684
4,5,1,"gaussian","Gaussian",10,0.99,0.00993958506363636,0.00994600879545455,6.4237318181809e-06,0.300133477108182,0.300149657391035,1.61802828531066e-05
4,5,1,"gaussian","Gaussian",10,0.995,0.00473289615909091,0.00473477717272727,1.88101363636332e-06,0.160064740121205,0.160018673845497,-4.60662757087171e-05
4,6,1,"gaussian","Gaussian",10,0.9,0.0319846408772727,0.0321055999272727,0.000120959050000001,2.05592713592682,2.0561580815645,0.000230945637683888
4,6,1,"gaussian","Gaussian",10,0.91,0.0277805526090909,0.0279194577045455,0.000138905095454545,1.94441499628076,1.94463711588696,0.000222119606205107
4,6,1,"gaussian","Gaussian",10,0.92,0.0253987201727273,0.0255034654090909,0.000104745236363637,1.82484954122829,1.82515599653283,0.000306455304541542
4,6,1,"gaussian","Gaussian",10,0.93,0.0215968643545455,0.0216290161454545,3.21517909090893e-05,1.69647396757747,1.69677706829358,0.000303100716113169
4,6,1,"gaussian","Gaussian",10,0.94,0.0202215909136364,0.0202489243590909,2.73334454545457e-05,1.55783798719054,1.55802176500809,0.000183777817554187
4,6,1,"gaussian","Gaussian",10,0.95,0.0171036303227273,0.0171630671909091,5.94368681818176e-05,1.40704024652294,1.40718130932493,0.000141062801982228
4,6,1,"gaussian","Gaussian",10,0.96,0.0123785675090909,0.0124045653454545,2.59978363636362e-05,1.24389344007514,1.24395825502969,6.48149545501298e-05
4,6,1,"gaussian","Gaussian",10,0.97,0.00488906123181818,0.00490018868636364,1.11274545454548e-05,1.06224852679342,1.06229580498869,4.72781952680634e-05
4,6,1,"gaussian","Gaussian",10,0.98,0.00181715910909091,0.00181960079545455,2.44168636363623e-06,0.846701259786095,0.846210430102277,-0.000490829683817973
4,6,1,"gaussian","Gaussian",10,0.99,0.00594116349090909,0.00595193371363636,1.07702227272717e-05,0.479314640485682,0.479294798778749,-1.98417069328105e-05
4,6,1,"gaussian","Gaussian",10,0.995,0.00266873852272727,0.00267202068181818,3.28215909090913e-06,0.262280510398626,0.262333104640103,5.25942414767999e-05
4,7,1,"gaussian","Gaussian",10,0.9,0.0255098155409091,0.0254758784045455,-3.39371363636369e-05,2.44795573508233,2.44819825081302,0.000242515730684012
4,7,1,"gaussian","Gaussian",10,0.91,0.0225508884363636,0.0225713349545455,2.04465181818173e-05,2.30002621717882,2.30021863371982,0.000192416541003215
4,7,1,"gaussian","Gaussian",10,0.92,0.0196608790136364,0.01971052425,4.96452363636379e-05,2.13793558391946,2.13805313341657,0.000117549497117064
4,7,1,"gaussian","Gaussian",10,0.93,0.0161216845772727,0.0161016003136364,-2.00842636363628e-05,1.96482635342358,1.96493843031884,0.000112076895260937
4,7,1,"gaussian","Gaussian",10,0.94,0.0119091968136364,0.0118934570954545,-1.57397181818186e-05,1.77890197394644,1.77897202910836,7.00551619130518e-05
4,7,1,"gaussian","Gaussian",10,0.95,0.00891081509090909,0.00891619484545455,5.3797545454537e-06,1.57052576579143,1.57064719249305,0.00012142670162385
4,7,1,"gaussian","Gaussian",10,0.96,0.00870746986818182,0.00872592121818182,1.84513500000004e-05,1.33556718584652,1.33549829192491,-6.8893921606028e-05
4,7,1,"gaussian","Gaussian",10,0.97,0.00865696224545455,0.00866595228636364,8.99004090909074e-06,1.06474817991423,1.06482126880262,7.30888883921921e-05
4,7,1,"gaussian","Gaussian",10,0.98,0.00783545584545454,0.00783056505,-4.8907954545447e-06,0.757897997627729,0.757886729690023,-1.12679377060054e-05
4,7,1,"gaussian","Gaussian",10,0.99,0.00663971831818182,0.00664404804090909,4.32972272727296e-06,0.411354027043267,0.41142080095712,6.67739138534018e-05
4,7,1,"gaussian","Gaussian",10,0.995,0.00237712874090909,0.00237551404090909,-1.61470000000028e-06,0.219839299162505,0.21980468133995,-3.46178225550109e-05
4,8,1,"gaussian","Gaussian",10,0.9,0.0303467404590909,0.0303389795409091,-7.76091818181779e-06,2.13880436996253,2.13876483244825,-3.95375142798748e-05
4,8,1,"gaussian","Gaussian",10,0.91,0.0286751647636364,0.0286739190318182,-1.24573181818285e-06,2.02937071202337,2.02935739216182,-1.33198615523966e-05
4,8,1,"gaussian","Gaussian",10,0.92,0.02459041145,0.0245677231045455,-2.26883454545433e-05,1.91071463260466,1.91073344930782,1.88167031622832e-05
4,8,1,"gaussian","Gaussian",10,0.93,0.0225523676272727,0.0225347961181818,-1.75715090909093e-05,1.78216378852594,1.78224947112283,8.56825968880148e-05
4,8,1,"gaussian","Gaussian",10,0.94,0.0178122303409091,0.0178141526045455,1.92226363636416e-06,1.64108713324891,1.64121130770727,0.000124174458368653
4,8,1,"gaussian","Gaussian",10,0.95,0.0132255911818182,0.01325228345,2.66922681818171e-05,1.48965199702896,1.48968342046256,3.14234335918595e-05
