"setting","family","method_id","method_label","mrts_k","quantile","n_pairs","n_valid_brier","n_valid_quant","mean_delta_brier","median_delta_brier","win_rate_brier","mean_delta_quant","median_delta_quant","win_rate_quant"
4,"gaussian",1,"Gaussian",10,0.9,50,50,50,5.30495209090934e-06,4.40673863636581e-06,0.5,3.64529506239419e-05,4.55088431339234e-05,0.38
4,"gaussian",1,"Gaussian",10,0.91,50,50,50,9.88571427272725e-06,1.29976090909078e-05,0.4,2.4776026600124e-05,2.67568302617649e-05,0.42
4,"gaussian",1,"Gaussian",10,0.92,50,50,50,9.46241009090937e-06,1.86746636363644e-05,0.36,1.64409121264475e-05,1.63863343430881e-05,0.44
4,"gaussian",1,"Gaussian",10,0.93,50,50,50,7.03328863636337e-06,7.51128863636305e-06,0.44,2.52686107371303e-05,3.5169269801294e-05,0.38
4,"gaussian",1,"Gaussian",10,0.94,50,50,50,4.22475127272736e-06,2.31098181818204e-06,0.44,2.63437074701689e-05,1.93563903041483e-05,0.44
4,"gaussian",1,"Gaussian",10,0.95,50,50,50,-4.87577554545433e-06,-9.88011363636538e-07,0.5,2.11059226963961e-06,1.00779746926571e-05,0.46
4,"gaussian",1,"Gaussian",10,0.96,50,50,50,3.78596818181812e-07,-6.90681818075328e-09,0.5,-1.57933423544265e-05,-1.43907707783053e-05,0.54
4,"gaussian",1,"Gaussian",10,0.97,50,50,50,-2.58794027272745e-06,-4.95733409090933e-06,0.54,-1.02843460689916e-05,-1.28786268601133e-05,0.56
4,"gaussian",1,"Gaussian",10,0.98,50,50,50,3.13196163636356e-06,3.81765909090905e-06,0.42,-2.01817204982346e-05,-1.01278988273723e-05,0.54
4,"gaussian",1,"Gaussian",10,0.99,50,50,50,1.32474709090904e-06,1.16744318181812e-06,0.46,-2.3467505997693e-06,1.3493074480786e-05,0.46
4,"gaussian",1,"Gaussian",10,0.995,50,50,50,4.93767636363671e-07,8.24979545454262e-07,0.48,5.50497762973945e-06,1.06536961838807e-05,0.46
4,"gaussian",1,"Gaussian",15,0.9,50,50,50,9.53039099999997e-06,1.62536136363509e-06,0.5,5.82962504303008e-05,7.82503514740185e-05,0.4
4,"gaussian",1,"Gaussian",15,0.91,50,50,50,1.41623095454546e-05,1.96263318181806e-05,0.34,7.75775724790506e-05,8.70113608161249e-05,0.34
4,"gaussian",1,"Gaussian",15,0.92,50,50,50,1.53975203636366e-05,1.12091295454558e-05,0.32,4.85131957277884e-05,2.01842291831511e-05,0.46
4,"gaussian",1,"Gaussian",15,0.93,50,50,50,6.73500145454496e-06,4.82920681818197e-06,0.48,4.97235228529225e-05,3.81846318939782e-05,0.34
4,"gaussian",1,"Gaussian",15,0.94,50,50,50,9.58811518181826e-06,1.36579409090913e-05,0.42,4.10654618894002e-05,2.2289026121558e-05,0.4
4,"gaussian",1,"Gaussian",15,0.95,50,50,50,5.17598481818187e-06,3.56286818181846e-06,0.48,2.26570151686856e-05,8.2804751635468e-06,0.48
4,"gaussian",1,"Gaussian",15,0.96,50,50,50,5.75604445454543e-06,1.58984545454554e-06,0.48,-1.64591277637127e-06,-3.72293206947205e-05,0.52
4,"gaussian",1,"Gaussian",15,0.97,50,50,50,1.09386272727236e-07,2.41351590909034e-06,0.46,1.85984607205236e-05,2.3794302211666e-05,0.44
4,"gaussian",1,"Gaussian",15,0.98,50,50,50,4.19446827272734e-06,-1.06268181817561e-07,0.52,-2.58430824143785e-05,-2.04272568582464e-06,0.5
4,"gaussian",1,"Gaussian",15,0.99,50,50,50,5.78050918181815e-06,7.66221363636388e-06,0.4,1.73842361180676e-05,2.02047487658508e-05,0.42
4,"gaussian",1,"Gaussian",15,0.995,50,50,50,7.38252818181778e-07,2.65005454545462e-06,0.42,1.51374296391285e-05,7.93728249129377e-06,0.5
4,"gaussian",1,"Gaussian",20,0.9,50,50,50,9.79972981818199e-06,1.797081818182e-05,0.42,7.05807439043182e-05,2.64131146855417e-05,0.44
4,"gaussian",1,"Gaussian",20,0.91,50,50,50,1.50740859090904e-05,1.21766454545449e-05,0.44,8.0392946130674e-05,-6.7663876301971e-07,0.5
4,"gaussian",1,"Gaussian",20,0.92,50,50,50,8.16929563636415e-06,8.68726136363761e-06,0.46,4.67312645360263e-05,-2.56716658340039e-05,0.54
4,"gaussian",1,"Gaussian",20,0.93,50,50,50,1.24146576363634e-05,1.72413068181814e-05,0.38,3.65135547054041e-05,-2.72801905961684e-05,0.52
4,"gaussian",1,"Gaussian",20,0.94,50,50,50,8.75188863636389e-06,-7.39911363636936e-07,0.52,2.28660147836335e-05,-2.59317063014963e-05,0.54
4,"gaussian",1,"Gaussian",20,0.95,50,50,50,-4.18509990909087e-06,-6.09884772727245e-06,0.58,1.1032086859224e-05,1.26132006745827e-05,0.44
4,"gaussian",1,"Gaussian",20,0.96,50,50,50,-7.82075090909034e-07,1.21934772727341e-06,0.5,-1.81986772021747e-05,-1.24285924807399e-06,0.5
4,"gaussian",1,"Gaussian",20,0.97,50,50,50,-5.75207709090912e-06,-4.43690909090891e-06,0.56,-3.51146882893161e-05,-1.93196884785141e-05,0.54
4,"gaussian",1,"Gaussian",20,0.98,50,50,50,3.14306872727278e-06,1.20972727272756e-06,0.46,-2.90863080045056e-05,-1.17402781200648e-05,0.52
4,"gaussian",1,"Gaussian",20,0.99,50,50,50,1.54669599999996e-06,-2.80227272727619e-08,0.5,-1.18825355233881e-05,-4.65696175799002e-05,0.58
4,"gaussian",1,"Gaussian",20,0.995,50,50,50,2.56465018181818e-06,2.09934772727317e-06,0.46,1.29499897099622e-05,1.89095395133898e-06,0.48
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",10,0.9,50,50,50,1.48044825454542e-05,1.35218522727271e-05,0.4,1.16256302240592e-05,1.21138289965739e-05,0.46
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",10,0.91,50,50,50,1.79488732727273e-05,2.19997886363645e-05,0.38,2.9157144444385e-05,2.11721245853003e-05,0.44
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",10,0.92,50,50,50,1.59829114545454e-05,1.75271295454558e-05,0.42,3.41686166390964e-05,5.97252639619184e-05,0.44
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",10,0.93,50,50,50,5.57227545454567e-07,-4.6671068181809e-06,0.52,2.23560739888873e-05,1.79192277588447e-05,0.44
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",10,0.94,50,50,50,3.18714663636352e-06,3.27068636363573e-06,0.48,-7.37431852115611e-06,6.06579343814806e-06,0.44
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",10,0.95,50,50,50,-1.6862498181818e-06,-1.21508863636446e-06,0.54,1.05411667628408e-05,4.54903049762478e-06,0.48
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",10,0.96,50,50,50,3.48384072727253e-06,1.10141227272721e-05,0.42,1.81562761657261e-06,1.47691473051381e-06,0.48
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",10,0.97,50,50,50,2.21361381818183e-06,4.00400000000059e-06,0.44,-4.26128711883411e-07,-2.81656933498464e-06,0.52
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",10,0.98,50,50,50,3.67790290909082e-06,2.90800000000003e-06,0.42,2.57852359084987e-05,2.32941754257365e-05,0.38
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",10,0.99,50,50,50,-1.54053981818178e-06,-4.22339318181851e-06,0.56,3.52195741862327e-05,1.36195714113968e-05,0.46
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",10,0.995,50,50,50,1.72811936363637e-06,2.19623636363644e-06,0.4,1.70152832123183e-06,-1.77555819325104e-07,0.5
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",15,0.9,50,50,50,-2.9204776363638e-06,-4.81827499999865e-06,0.52,1.33611074773077e-05,2.24682077162308e-05,0.46
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",15,0.91,50,50,50,2.53235854545456e-06,2.71874545454583e-06,0.5,2.01498773791631e-05,3.36119840186333e-05,0.48
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",15,0.92,50,50,50,5.91796790909094e-06,2.60737045454547e-06,0.48,3.31715429938484e-05,3.01022898121506e-05,0.46
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",15,0.93,50,50,50,-3.5741698181819e-06,-5.80502954545398e-06,0.56,2.6524453190131e-05,7.92156066309335e-06,0.46
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",15,0.94,50,50,50,-1.28306590909096e-06,-7.20769090908988e-06,0.58,-5.26593026154876e-06,-3.78800899408782e-05,0.58
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",15,0.95,50,50,50,3.0353141818182e-06,-2.88249090909035e-06,0.56,5.90829435689555e-06,2.8380782063131e-05,0.46
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",15,0.96,50,50,50,4.59085072727272e-06,2.06339772727306e-06,0.48,2.00716941088475e-06,-3.56401988689248e-05,0.54
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",15,0.97,50,50,50,1.79895990909087e-06,1.81425454545518e-06,0.48,4.71915736112161e-07,1.8928440208843e-05,0.48
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",15,0.98,50,50,50,3.23674927272723e-06,2.56978636363698e-06,0.4,4.07545505609608e-05,2.84989967371529e-05,0.36
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",15,0.99,50,50,50,1.72806472727272e-06,3.10792272727287e-06,0.44,4.26926157636992e-05,5.40143314171904e-06,0.48
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",15,0.995,50,50,50,1.70766954545452e-06,4.18255454545462e-06,0.36,-1.53031783757568e-05,5.02490736471739e-07,0.5
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",20,0.9,50,50,50,7.52637390909049e-06,1.11694113636377e-05,0.46,-1.0131852443962e-05,-2.16716791328064e-05,0.56
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",20,0.91,50,50,50,4.78296881818191e-06,5.81009999999979e-06,0.48,7.4346976531503e-06,-4.51664046476896e-05,0.58
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",20,0.92,50,50,50,2.59178227272741e-06,1.60200204545463e-05,0.42,3.4905750938341e-06,-5.7818038904589e-05,0.56
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",20,0.93,50,50,50,-8.46121981818207e-06,-1.27379840909095e-05,0.54,5.2703887524963e-06,-5.37541376410822e-05,0.58
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",20,0.94,50,50,50,-2.5234272727423e-08,3.18216590909116e-06,0.48,-2.60763285951038e-05,-9.10868883577942e-05,0.64
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",20,0.95,50,50,50,1.2498254545453e-06,-1.26422727272923e-07,0.5,-1.23403052632032e-06,-3.70434510174045e-05,0.58
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",20,0.96,50,50,50,7.37066836363648e-06,1.9296613636352e-06,0.48,-1.46642547205866e-06,-2.89416130034859e-05,0.64
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",20,0.97,50,50,50,2.36267609090911e-06,5.23584772727263e-06,0.44,2.76416457917206e-06,-1.23184157582168e-05,0.52
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",20,0.98,50,50,50,2.51534509090897e-06,-2.67075227272748e-06,0.54,1.0441007065235e-05,4.3592235830503e-06,0.44
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",20,0.99,50,50,50,-5.983765454545e-07,-2.5234181818181e-06,0.6,5.57946931826647e-06,-2.75595758586905e-05,0.62
4,"skew_t_k1_thresh0",2,"Skew-t, K=1",20,0.995,50,50,50,1.34410945454546e-06,1.29434318181824e-06,0.46,-1.43114905667266e-05,-2.94278352859639e-05,0.54
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",10,0.9,50,50,50,4.50253790909103e-06,8.62772499999991e-06,0.44,5.52510826068664e-05,2.60722142291225e-05,0.5
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",10,0.91,50,50,50,1.12349806363637e-05,1.08294727272709e-05,0.36,6.74303306041102e-05,5.39092874144442e-05,0.42
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",10,0.92,50,50,50,1.19265788181818e-05,1.97738181818181e-05,0.42,9.28573541794542e-05,7.77798304105737e-05,0.4
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",10,0.93,50,50,50,5.36561390909102e-06,8.47302727272677e-06,0.48,6.63611084401716e-05,2.78711904613815e-05,0.44
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",10,0.94,50,50,50,2.73128581818197e-06,-3.50944772727199e-06,0.52,5.5969182602611e-05,5.59759391312031e-05,0.4
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",10,0.95,50,50,50,3.54264945454539e-06,4.53162272727242e-06,0.44,5.58527340297954e-05,3.55232052010601e-05,0.42
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",10,0.96,50,50,50,1.20365454545635e-07,1.90878863636423e-06,0.44,2.56173835170515e-06,-3.94903916939304e-06,0.5
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",10,0.97,50,50,50,8.3870254545447e-07,6.23487045454561e-06,0.42,-1.92183821557068e-05,1.23258114514968e-06,0.5
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",10,0.98,50,50,50,1.13686236363645e-06,1.61129545454548e-06,0.46,9.05849072616594e-07,-1.53965716030435e-05,0.52
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",10,0.99,50,50,50,2.69255400000003e-06,3.11138636363475e-07,0.48,6.01788687948301e-05,7.35266314652594e-05,0.36
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",10,0.995,50,50,50,3.71528199999997e-06,4.4000204545455e-06,0.44,4.84052065942292e-05,1.86939849551523e-05,0.44
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",15,0.9,50,50,50,1.2017809363636e-05,-1.79818409091342e-06,0.5,0.000133379780957328,5.53679675214802e-05,0.44
