"quantile","relative_brier","log_relative_brier","panel","method_id","mrts_k","line_label"
0.9,0.999368661394112,-0.000631537984026846,"method 2-5",2,NA,"Skew-t, K=1"
0.91,0.998956858357051,-0.00104368609385166,"method 2-5",2,NA,"Skew-t, K=1"
0.92,0.99845444039272,-0.00154675521661249,"method 2-5",2,NA,"Skew-t, K=1"
0.93,0.996618237709351,-0.00338749337316468,"method 2-5",2,NA,"Skew-t, K=1"
0.94,0.996249059887567,-0.00375799252928248,"method 2-5",2,NA,"Skew-t, K=1"
0.95,0.99404233189974,-0.00597548580809635,"method 2-5",2,NA,"Skew-t, K=1"
0.96,0.993000522644691,-0.00702408860810916,"method 2-5",2,NA,"Skew-t, K=1"
0.97,0.989596580640462,-0.0104579132044299,"method 2-5",2,NA,"Skew-t, K=1"
0.98,0.993689728541415,-0.00633026537727495,"method 2-5",2,NA,"Skew-t, K=1"
0.99,0.972626209313396,-0.0277554336957111,"method 2-5",2,NA,"Skew-t, K=1"
0.995,0.954602855546149,-0.0464598830612123,"method 2-5",2,NA,"Skew-t, K=1"
0.9,0.965289310148959,-0.0353274193119992,"method 2-5",3,NA,"t, K=1, q(0.80)"
0.91,0.967727655459569,-0.0328045789569743,"method 2-5",3,NA,"t, K=1, q(0.80)"
0.92,0.969672276534133,-0.0307971238151636,"method 2-5",3,NA,"t, K=1, q(0.80)"
0.93,0.970941699940857,-0.0294888537489148,"method 2-5",3,NA,"t, K=1, q(0.80)"
0.94,0.972487449336479,-0.0278981091394156,"method 2-5",3,NA,"t, K=1, q(0.80)"
0.95,0.968340979160902,-0.032171002532169,"method 2-5",3,NA,"t, K=1, q(0.80)"
0.96,0.972152457057088,-0.0282426379970237,"method 2-5",3,NA,"t, K=1, q(0.80)"
0.97,0.972167465327719,-0.0282271999300084,"method 2-5",3,NA,"t, K=1, q(0.80)"
0.98,0.981525430277354,-0.0186473559962224,"method 2-5",3,NA,"t, K=1, q(0.80)"
0.99,0.966463255975747,-0.0341119986707723,"method 2-5",3,NA,"t, K=1, q(0.80)"
0.995,0.958941402855903,-0.0419253083055612,"method 2-5",3,NA,"t, K=1, q(0.80)"
0.9,0.91852725274327,-0.084983703843591,"method 2-5",4,NA,"Skew-t, K=5"
0.91,0.920258497436428,-0.0831006729308892,"method 2-5",4,NA,"Skew-t, K=5"
0.92,0.919680838017952,-0.0837285843259272,"method 2-5",4,NA,"Skew-t, K=5"
0.93,0.919165643033373,-0.0842889301768382,"method 2-5",4,NA,"Skew-t, K=5"
0.94,0.915640903813318,-0.0881310175751207,"method 2-5",4,NA,"Skew-t, K=5"
0.95,0.910080951842864,-0.0942217253586944,"method 2-5",4,NA,"Skew-t, K=5"
0.96,0.905730747827799,-0.0990132049362475,"method 2-5",4,NA,"Skew-t, K=5"
0.97,0.903853715252251,-0.101087751095361,"method 2-5",4,NA,"Skew-t, K=5"
0.98,0.894820375099137,-0.111132279063118,"method 2-5",4,NA,"Skew-t, K=5"
0.99,0.842692013495337,-0.171153733529697,"method 2-5",4,NA,"Skew-t, K=5"
0.995,0.840847054394946,-0.173345497147365,"method 2-5",4,NA,"Skew-t, K=5"
0.9,0.932657810968096,-0.0697169075005321,"method 2-5",5,NA,"t, K=5, q(0.80)"
0.91,0.932450439736686,-0.069939276612015,"method 2-5",5,NA,"t, K=5, q(0.80)"
0.92,0.932641254738297,-0.0697346593239299,"method 2-5",5,NA,"t, K=5, q(0.80)"
0.93,0.931137185857892,-0.0713486593296723,"method 2-5",5,NA,"t, K=5, q(0.80)"
0.94,0.929716384503966,-0.0728757022444383,"method 2-5",5,NA,"t, K=5, q(0.80)"
0.95,0.925451981818833,-0.0774730318166516,"method 2-5",5,NA,"t, K=5, q(0.80)"
0.96,0.924383668704771,-0.0786280676518943,"method 2-5",5,NA,"t, K=5, q(0.80)"
0.97,0.921924976660192,-0.0812914289529903,"method 2-5",5,NA,"t, K=5, q(0.80)"
0.98,0.923371949440799,-0.0797231468443383,"method 2-5",5,NA,"t, K=5, q(0.80)"
0.99,0.899831148478427,-0.105548146061057,"method 2-5",5,NA,"t, K=5, q(0.80)"
0.995,0.904027208773628,-0.100895820841987,"method 2-5",5,NA,"t, K=5, q(0.80)"
0.9,0.999475225589892,-0.000524912152390396,"method 2-5 + mrts (K=15)",2,15,"Skew-t, K=1 + mrts(k=15)"
0.91,0.999096963465923,-0.000903444517202627,"method 2-5 + mrts (K=15)",2,15,"Skew-t, K=1 + mrts(k=15)"
0.92,0.99862574474253,-0.00137520041224834,"method 2-5 + mrts (K=15)",2,15,"Skew-t, K=1 + mrts(k=15)"
0.93,0.996757528818776,-0.00324773938197973,"method 2-5 + mrts (K=15)",2,15,"Skew-t, K=1 + mrts(k=15)"
0.94,0.996326001747823,-0.00368076396030606,"method 2-5 + mrts (K=15)",2,15,"Skew-t, K=1 + mrts(k=15)"
0.95,0.994330770294715,-0.00568536078409564,"method 2-5 + mrts (K=15)",2,15,"Skew-t, K=1 + mrts(k=15)"
0.96,0.993563121776425,-0.00645768425619755,"method 2-5 + mrts (K=15)",2,15,"Skew-t, K=1 + mrts(k=15)"
0.97,0.990463301501259,-0.00958246400820223,"method 2-5 + mrts (K=15)",2,15,"Skew-t, K=1 + mrts(k=15)"
0.98,0.993742897504776,-0.00627676020414194,"method 2-5 + mrts (K=15)",2,15,"Skew-t, K=1 + mrts(k=15)"
0.99,0.972946593304034,-0.0274260869931842,"method 2-5 + mrts (K=15)",2,15,"Skew-t, K=1 + mrts(k=15)"
0.995,0.955495558425787,-0.0455251637419314,"method 2-5 + mrts (K=15)",2,15,"Skew-t, K=1 + mrts(k=15)"
0.9,0.965684245937192,-0.0349183657623068,"method 2-5 + mrts (K=15)",3,15,"t, K=1, q(0.80) + mrts(k=15)"
0.91,0.967890963927392,-0.032635838620862,"method 2-5 + mrts (K=15)",3,15,"t, K=1, q(0.80) + mrts(k=15)"
0.92,0.969174198514317,-0.0313109118197137,"method 2-5 + mrts (K=15)",3,15,"t, K=1, q(0.80) + mrts(k=15)"
0.93,0.970553876203627,-0.029888364051337,"method 2-5 + mrts (K=15)",3,15,"t, K=1, q(0.80) + mrts(k=15)"
0.94,0.972558747653626,-0.0278247964157498,"method 2-5 + mrts (K=15)",3,15,"t, K=1, q(0.80) + mrts(k=15)"
0.95,0.968510963384071,-0.0319954762362546,"method 2-5 + mrts (K=15)",3,15,"t, K=1, q(0.80) + mrts(k=15)"
0.96,0.972162335479977,-0.0282324766559417,"method 2-5 + mrts (K=15)",3,15,"t, K=1, q(0.80) + mrts(k=15)"
0.97,0.97200265421771,-0.0283967438487702,"method 2-5 + mrts (K=15)",3,15,"t, K=1, q(0.80) + mrts(k=15)"
0.98,0.981912913177896,-0.0182526576784835,"method 2-5 + mrts (K=15)",3,15,"t, K=1, q(0.80) + mrts(k=15)"
0.99,0.966723466257112,-0.0338427952048637,"method 2-5 + mrts (K=15)",3,15,"t, K=1, q(0.80) + mrts(k=15)"
0.995,0.960110791532867,-0.0407065933324922,"method 2-5 + mrts (K=15)",3,15,"t, K=1, q(0.80) + mrts(k=15)"
0.9,0.920523258764479,-0.0828130110948406,"method 2-5 + mrts (K=15)",4,15,"Skew-t, K=5 + mrts(k=15)"
0.91,0.92322907697071,-0.07987788787213,"method 2-5 + mrts (K=15)",4,15,"Skew-t, K=5 + mrts(k=15)"
0.92,0.924914630385311,-0.0780538372041714,"method 2-5 + mrts (K=15)",4,15,"Skew-t, K=5 + mrts(k=15)"
0.93,0.924214165234018,-0.0788114536411199,"method 2-5 + mrts (K=15)",4,15,"Skew-t, K=5 + mrts(k=15)"
0.94,0.92221652250831,-0.0809752429654423,"method 2-5 + mrts (K=15)",4,15,"Skew-t, K=5 + mrts(k=15)"
0.95,0.922856299020153,-0.0802817456356679,"method 2-5 + mrts (K=15)",4,15,"Skew-t, K=5 + mrts(k=15)"
0.96,0.920611442288404,-0.0827172185122096,"method 2-5 + mrts (K=15)",4,15,"Skew-t, K=5 + mrts(k=15)"
0.97,0.924069500827606,-0.0789679928232421,"method 2-5 + mrts (K=15)",4,15,"Skew-t, K=5 + mrts(k=15)"
0.98,0.917141681528622,-0.0864933131766403,"method 2-5 + mrts (K=15)",4,15,"Skew-t, K=5 + mrts(k=15)"
0.99,0.867860172501193,-0.141724668886918,"method 2-5 + mrts (K=15)",4,15,"Skew-t, K=5 + mrts(k=15)"
0.995,0.87186417478988,-0.137121630061093,"method 2-5 + mrts (K=15)",4,15,"Skew-t, K=5 + mrts(k=15)"
0.9,0.935308934578344,-0.0668783929535104,"method 2-5 + mrts (K=15)",5,15,"t, K=5, q(0.80) + mrts(k=15)"
0.91,0.935360089289096,-0.0668237015996553,"method 2-5 + mrts (K=15)",5,15,"t, K=5, q(0.80) + mrts(k=15)"
0.92,0.935694375053247,-0.0664663782035936,"method 2-5 + mrts (K=15)",5,15,"t, K=5, q(0.80) + mrts(k=15)"
0.93,0.935986227083332,-0.0661545172673663,"method 2-5 + mrts (K=15)",5,15,"t, K=5, q(0.80) + mrts(k=15)"
0.94,0.935879024811753,-0.0662690578536476,"method 2-5 + mrts (K=15)",5,15,"t, K=5, q(0.80) + mrts(k=15)"
0.95,0.929575689935128,-0.0730270443289232,"method 2-5 + mrts (K=15)",5,15,"t, K=5, q(0.80) + mrts(k=15)"
