"setting","method","K","rel.brier","se","n"
1,"Gaussian",3,1.0000693849649,4.05467673236121e-05,10
1,"Gaussian",5,1.01592755283926,0.00294950357171898,10
1,"Gaussian",8,1.02297728790271,0.00388804388832991,10
1,"Gaussian",10,1.02192359921422,0.00423461200379033,10
1,"Gaussian",12,1.01934589930242,0.0049555368142298,10
1,"Gaussian",15,1.01574341861626,0.00451446734637664,10
1,"Gaussian",20,1.00876975165672,0.0031692720190459,10
1,"Gaussian",25,1.00790105948963,0.00305098146261046,10
1,"Gaussian",30,1.00462057843601,0.00319332676520427,10
1,"Gaussian",40,1.0025959295293,0.00287300832939604,10
1,"Gaussian",50,1.00270384780482,0.00298276405945987,10
1,"SkewT-K1",3,0.99994843881364,0.000113443578773568,10
1,"SkewT-K1",5,0.995500890281848,0.00303242451358104,10
1,"SkewT-K1",8,1.00608164653012,0.00430277674746155,10
1,"SkewT-K1",10,1.00597745515048,0.00542432987811036,10
1,"SkewT-K1",12,1.00093997070051,0.00562806094676288,10
1,"SkewT-K1",15,0.996337720965914,0.00499575565642667,10
1,"SkewT-K1",20,0.987151287554945,0.00392699872030193,10
1,"SkewT-K1",25,0.985013683144809,0.00376014572865453,10
1,"SkewT-K1",30,0.981134183772556,0.00382789333131274,10
1,"SkewT-K1",40,0.97815376646762,0.00365216193591691,10
1,"SkewT-K1",50,0.97804723276025,0.0037205416404279,10
1,"SymT-K1-T",3,0.99988153311642,0.000416622030499152,10
1,"SymT-K1-T",5,1.00308205974316,0.00262150524553178,10
1,"SymT-K1-T",8,1.0056588907673,0.00355108454606761,10
1,"SymT-K1-T",10,1.00779377160992,0.00382725325439369,10
1,"SymT-K1-T",12,1.00318398176471,0.00329908029043605,10
1,"SymT-K1-T",15,1.00118518215378,0.00289058638420707,10
1,"SymT-K1-T",20,0.995987736176165,0.00250033750922304,10
1,"SymT-K1-T",25,0.993802856200239,0.00276149035653521,10
1,"SymT-K1-T",30,0.992780059123361,0.00209591563139411,10
1,"SymT-K1-T",40,0.992886865334779,0.00243024062132147,10
1,"SymT-K1-T",50,0.993888568972455,0.00277643539817767,10
1,"SkewT-K5",3,0.995147191790714,0.00412383890092193,10
1,"SkewT-K5",5,1.00383545636725,0.00628215557498751,10
1,"SkewT-K5",8,1.01507155265244,0.00721084979541324,10
1,"SkewT-K5",10,1.00840434805966,0.00761941484430179,10
1,"SkewT-K5",12,1.01015820880227,0.00629564443177613,10
1,"SkewT-K5",15,1.01073127492621,0.00525270772126165,10
1,"SkewT-K5",20,0.992993346841701,0.00531631844060742,10
1,"SkewT-K5",25,0.993625727003642,0.00537710298628559,10
1,"SkewT-K5",30,0.990545404152109,0.00696563657568473,10
1,"SkewT-K5",40,0.991714443092085,0.00698524762725937,10
1,"SkewT-K5",50,0.984457859214249,0.0060545817730749,10
