"K","X1..invariant..2.bump..sd.3.7.","X11.invariant_strong..2.bump..sd.11.","X12.mrts_multibump..6.bump..sd.11."
3,0.788638442417254,0.788638442417254,0.824522977885553
5,0.208911023189263,0.208911023189263,0.714371215116058
8,0.224837810816468,0.224837810816468,0.614127911825409
10,0.19048005132648,0.19048005132648,0.42756666052932
12,0.099220058887671,0.0992200588876711,0.256711644646852
15,0.0883271985622602,0.0883271985622604,0.191004725487064
20,0.0620510047009447,0.0620510047009446,0.17203149489966
25,0.0519181598360039,0.0519181598360038,0.130931068589364
30,0.0455230791619175,0.0455230791619175,0.094195236417412
40,0.0332654533428759,0.033265453342876,0.0631432418421318
50,0.0313593128009982,0.0313593128009984,0.0571533656675667
