"setting","surf_type","set","K","mse","rel","rec.rmse"
1,"invariant",1,96,25.3547233997603,1.01021328974043,7.04161216912104
1,"invariant",2,96,7.88512778068433,0.347509038102373,5.27534090130475
1,"invariant",3,96,10.577544646001,0.492059999232983,5.35320895393873
1,"invariant",4,96,33.2778950897321,1.22866762813476,7.20928775867308
1,"invariant",5,96,9.14334218210066,0.392230157548969,5.16769424334718
1,"invariant",6,96,20.6420865393374,0.763173463161061,6.47588387745387
1,"invariant",7,96,24.8281430469107,0.831689965806653,6.29262624177154
1,"invariant",8,96,7.178340044142,0.329887065010843,5.10035724870075
1,"invariant",9,96,11.1266537063856,0.427969938480823,5.41688158279498
1,"invariant",10,96,20.9050261333591,0.897817835302877,6.73092640068159
2,"varying",1,96,10.4870941953595,0.550095092249947,4.27216189378058
2,"varying",2,96,25.6810477509874,1.15312606543247,6.81904812842416
2,"varying",3,96,15.9555214894347,0.882089095289635,5.09410686215273
2,"varying",4,96,31.7633872175167,1.49928300950122,6.03241956147461
2,"varying",5,96,12.0785203986895,0.791240524090972,4.77807412409665
2,"varying",6,96,7.17509156472615,0.511093766486587,4.21252648456133
2,"varying",7,96,20.8685624947684,1.04141094093995,4.98030743095055
2,"varying",8,96,16.4552045089467,0.974932855826372,5.20751738725334
2,"varying",9,96,16.0600500995421,0.852717535242814,5.05654032875536
2,"varying",10,96,11.4013911762034,0.767843706298136,4.75239167743196
3,"ns_dependence",1,96,24.998576133891,1.28016894754502,5.95120114057815
3,"ns_dependence",2,96,21.1687835131649,1.06175100176661,4.85170805151396
3,"ns_dependence",3,96,12.3955963827543,0.759853058287291,5.46146632143031
3,"ns_dependence",4,96,14.3241514641381,0.884719713634974,5.5174670308998
3,"ns_dependence",5,96,20.6532524421841,1.16241896310185,5.71000909032744
3,"ns_dependence",6,96,10.4400907257164,0.549897871834769,4.83342243077908
3,"ns_dependence",7,96,14.6013494822422,0.784993519653122,5.10714389498119
3,"ns_dependence",8,96,13.7093028322053,0.783903442741986,5.33686462952585
3,"ns_dependence",9,96,12.124589540605,0.712051554451332,4.88019497914202
3,"ns_dependence",10,96,18.7162049602464,1.0266069869086,4.86287713356701
4,"ps_cov",1,96,9.18807646616071,1.83383398517954,4.84959855408503
4,"ps_cov",2,96,7.85987767052207,1.31771776752418,4.96215837462123
4,"ps_cov",3,96,10.3992509153341,1.6485269901054,4.70480256983087
4,"ps_cov",4,96,13.0226740034074,2.0464305736371,5.55499706720561
4,"ps_cov",5,96,31.7451878228393,2.20814265619187,7.17239839836373
4,"ps_cov",6,96,9.44940898331713,1.27931190455356,5.18242040184025
4,"ps_cov",7,96,10.4698587161068,1.48044236547466,5.48580532734129
4,"ps_cov",8,96,21.9902952981985,2.5261957146602,6.31340575329163
4,"ps_cov",9,96,18.2014934656853,2.31279315546194,4.35478163118778
4,"ps_cov",10,96,11.1352446457665,2.00400973783898,4.68993909329298
5,"ps_add",1,96,16.0715222080038,1.22410455499539,4.83756763309008
5,"ps_add",2,96,15.314023032656,0.999221101175172,5.10587335465709
5,"ps_add",3,96,18.3842639928912,1.2677273163448,4.80972755539103
5,"ps_add",4,96,20.0806950015262,1.26825930707873,5.45936674615971
5,"ps_add",5,96,39.3563512451533,1.71791489910249,7.12332240954727
5,"ps_add",6,96,15.7960237130641,0.953943142057766,5.15823512674712
5,"ps_add",7,96,16.7798664504271,1.04983421151102,5.47996375510682
5,"ps_add",8,96,28.7491813391683,1.68503551410116,6.39361780074029
5,"ps_add",9,96,25.0961370630498,1.52469269823858,4.43341041053351
5,"ps_add",10,96,18.3130668399759,1.30673794834619,4.72024030478033
6,"covdep_cov",1,96,9.09697480732379,1.66646151533698,4.08718787022038
6,"covdep_cov",2,96,6.87999914318646,1.32915471343948,3.79988448715171
6,"covdep_cov",3,96,9.58970544089458,1.89650810248207,5.20749344040501
6,"covdep_cov",4,96,12.8264466320013,1.85486315048619,5.75281582133278
6,"covdep_cov",5,96,12.7350363413237,2.17798967879611,5.42872792430215
6,"covdep_cov",6,96,17.6493124176474,3.06613584792362,5.75264947853946
6,"covdep_cov",7,96,13.6696739313843,1.58425419765322,4.79793483956797
6,"covdep_cov",8,96,16.1514654814469,1.77740454129413,5.59633100748552
6,"covdep_cov",9,96,14.590441230956,1.55607134248481,5.09395052304109
6,"covdep_cov",10,96,9.12497798653961,1.94160615316953,4.43523413426286
7,"covdep_add",1,96,15.8478272949855,1.19236713489224,4.07625543904168
7,"covdep_add",2,96,14.4842604631319,1.04550296442778,3.70633840417256
7,"covdep_add",3,96,17.4463073506224,1.32055690409963,5.38133386244443
7,"covdep_add",4,96,19.7235385439121,1.23063154094592,5.89891437610071
7,"covdep_add",5,96,21.2689172588964,1.35490189827326,5.50083070962714
7,"covdep_add",6,96,25.5009106192429,1.76980927934266,5.86752634766427
7,"covdep_add",7,96,19.8627209728346,1.1758887625605,4.67736836840668
7,"covdep_add",8,96,23.7887404932219,1.33362082912027,5.43676236800852
7,"covdep_add",9,96,22.8465404138778,1.26404596965122,5.10936461901317
7,"covdep_add",10,96,16.4792207572177,1.20414507376676,4.49585480352218
8,"fuentes_cov",1,96,9.22681729685055,1.96685704632514,5.48805096050794
