"surface","K3","K5","K8","K10","K12","K15","K20","K25","K30","K40","K50"
"13 franke",1.0258,0.9238,0.9362,0.599,0.5271,0.3011,0.1626,0.1489,0.1352,0.0906,0.0703
"14 ridge_curved",1.0092,0.7915,0.64,0.6593,0.5818,0.4872,0.452,0.3223,0.3245,0.2319,0.1729
"15 annulus",1.0351,0.8151,0.8169,0.7926,0.8254,0.8326,0.7908,0.5041,0.4438,0.2893,0.2472
"16 sigmoid_front",1.0059,0.5906,0.4438,0.4252,0.4083,0.2504,0.1451,0.1437,0.1305,0.0995,0.0937
"19 poly2",1.0227,0.2259,0.1865,0.1819,0.0878,0.0539,0.0408,0.0302,0.0299,0.0208,0.0147
"20 transform_mix",1.0606,0.8951,0.8867,0.7668,0.6952,0.5055,0.3533,0.3124,0.272,0.2354,0.2141
"21 nonsmooth",1.1039,0.4691,0.3605,0.2429,0.21,0.159,0.1286,0.0961,0.0738,0.0641,0.0634
"17 gp_mean (draw 1)",1.1229,0.9611,0.9186,0.9106,0.8085,0.5917,0.477,0.5078,0.4409,0.387,0.3682
"17 gp_mean (draw 2)",1.0571,0.9742,0.5704,0.5379,0.5107,0.5214,0.3122,0.2667,0.2582,0.2287,0.1755
"17 gp_mean (draw 3)",1.0399,0.8832,0.5228,0.5235,0.538,0.4147,0.3362,0.3731,0.3769,0.2886,0.2916
