"setting","surf_type","moment","route","sd_meanbar","R_oracle","se","verdict"
1,"invariant","mean","mean",3.67953976058232,0.855729950170851,0.0415415006949463,"weak"
2,"varying","mean","mean",0.422349422902769,0.999982993456627,0.000105220036677593,"dead end"
3,"ns_dependence","dependence","additive",0.411680799909647,0.99898352717355,0.000240806347530283,"dead end"
4,"ps_cov","dependence","replace_C",0,0.999543675053784,0.000370371096962612,"dead end"
5,"ps_add","dependence","additive",0.39345646733934,0.99936738434506,0.000914159284867119,"dead end"
6,"covdep_cov","dependence","replace_C",0,0.99969252177743,0.00100757828358267,"dead end"
7,"covdep_add","dependence","additive",0.408916116812957,1.00034356837807,0.000633849683795723,"dead end"
8,"fuentes_cov","dependence","replace_C",0,0.99963335576718,0.000417321266390334,"dead end"
9,"gh_marginal","tails","additive",0.4245926537938,1.00049074443552,0.000417924520452585,"dead end"
10,"lambda_varying","skewness","skew_term",2.799810708981,1.11961133776053,0.0285971037683934,"HARMFUL"
11,"invariant_strong","mean","mean",11.0386192817469,0.438750065169034,0.0751514785795905,"positive control"
12,"mrts_multibump","mean","mean",11,0.495000868157216,0.035397357873118,"positive control"
