"setting","desc","contrast","n","Delta","CI_lo","CI_hi","t_p_2sided","wilcox_p_1sided"
9,"K=1 strong","AR(2) vs no-TS",10,-0.000214519019085924,-0.000500833902694355,7.17958645225076e-05,0.124334320733779,0.0631394642773489
9,"K=1 strong","AR(2) vs AR(1)",10,-8.31965952372893e-05,-0.000523584094309102,0.000357190903834524,0.679160168856611,0.341740451100713
9,"K=1 strong","AR(1) vs no-TS",10,-0.000131322423848634,-0.000538378998562882,0.000275734150865613,0.484070241459698,0.305149327988277
10,"K=1 weak","AR(2) vs no-TS",10,3.06253232012499e-05,-0.000208644212045867,0.000269894858448366,0.778723907979793,0.820524282073687
10,"K=1 weak","AR(2) vs AR(1)",10,-9.68996937367184e-07,-0.00022501252566492,0.000223074531790186,0.992407131661167,0.580768109038768
10,"K=1 weak","AR(1) vs no-TS",10,3.15943201386171e-05,-0.000191800928019251,0.000254989568296486,0.75632209096061,0.658259548899287
11,"K=5 strong","AR(2) vs no-TS",10,0.00834743031892296,-0.00126446091463228,0.0179593215524782,0.0810472522678101,0.923211801725008
11,"K=5 strong","AR(2) vs AR(1)",10,0.000520871402236323,-0.00690250729168158,0.00794425009615422,0.877388366106451,0.580768109038768
11,"K=5 strong","AR(1) vs no-TS",10,0.00782655891668663,0.00209039974631518,0.0135627180870581,0.0130018272612188,0.990470554199135
12,"K=5 weak","AR(2) vs no-TS",10,0.000450268776143592,-0.00690071134528604,0.00780124889757323,0.892845804531553,0.580768109038768
12,"K=5 weak","AR(2) vs AR(1)",10,-0.00385770796145184,-0.0128829171864149,0.00516750126351125,0.358842396389336,0.270408952121309
12,"K=5 weak","AR(1) vs no-TS",10,0.00430797673759543,-0.00342882836418659,0.0120447818393775,0.239495237702504,0.889364092163765
