"setting","desc","contrast","n","Delta","CI_lo","CI_hi","t_p_2sided","wilcox_p_1sided"
9,"K=1 strong","AR(2) vs no-TS",10,-0.000116003584838463,-0.000355475576445139,0.000123468406768213,0.301612882012916,0.0631394642773489
9,"K=1 strong","AR(2) vs AR(1)",10,-8.20002306194903e-05,-0.000263867355553715,9.98668943147347e-05,0.334380121903667,0.0925718620789365
9,"K=1 strong","AR(1) vs no-TS",10,-3.40033542189727e-05,-0.000262364520648605,0.000194357812210659,0.743959950940266,0.270408952121309
10,"K=1 weak","AR(2) vs no-TS",10,-9.97237694161185e-05,-0.000221078046987719,2.16305081554816e-05,0.0959746382249116,0.0514587697014265
10,"K=1 weak","AR(2) vs AR(1)",10,-6.88744686150669e-05,-0.000176462884413283,3.87139471831495e-05,0.181497559886105,0.0514587697014265
10,"K=1 weak","AR(1) vs no-TS",10,-3.08493008010516e-05,-0.000119928082519842,5.82294809177388e-05,0.453503201794596,0.341740451100713
11,"K=5 strong","AR(2) vs no-TS",10,0.00348890964577366,-0.00061044672670761,0.00758826601825493,0.0863213372632879,0.966727139328142
11,"K=5 strong","AR(2) vs AR(1)",10,0.00256301441239966,-0.000290013497587948,0.00541604232238728,0.0726748805117424,0.979254456306134
11,"K=5 strong","AR(1) vs no-TS",10,0.000925895233373998,-0.00179812221794677,0.00364991268469477,0.461647815341818,0.845968385046401
12,"K=5 weak","AR(2) vs no-TS",10,0.000310242878806076,-0.00207863187693345,0.0026991176345456,0.775583762018271,0.694850672011723
12,"K=5 weak","AR(2) vs AR(1)",10,0.000402742638103734,-0.0024013809162418,0.00320686619244927,0.75267989119114,0.620117087010967
12,"K=5 weak","AR(1) vs no-TS",10,-9.24997592976581e-05,-0.00322450802354138,0.00303950850494606,0.948193713619802,0.694850672011723
