"arm","score","comparison","raw_p","p_BH","p_BY"
"ozone-200-200","brier","MRTS(10) vs none | skew-t, K=1, T=0, TS @0.995",0.018,0.457991141012634,1
"timeblock","crps","set5 1-15 AR(2) - AR(1)",0.0207455436938658,0.457991141012634,1
"ozone-200-200","crps","AR(2) vs AR(1)  | skew-t, K=7, T=50",0.026,0.457991141012634,1
"timeblock","crps","set5 1-5 AR(2) - iid",0.0263935003161123,0.457991141012634,1
"ozone-300-100","crps","AR(2) vs AR(1)  | skew-t, K=7, T=50",0.027,0.457991141012634,1
"timeblock","crps","set5 1-5 AR(2) - AR(1)",0.0332728606718581,0.457991141012634,1
"timeblock","crps","set5 1-15 AR(2) - iid",0.041565571350402,0.457991141012634,1
"sim","twcrps","set10 AR(2) vs no-TS",0.0514587697014265,0.457991141012634,1
"sim","twcrps","set10 AR(2) vs AR(1)",0.0514587697014265,0.457991141012634,1
"timeblock","crps","set7 1-5 AR(2) - iid",0.0514587697014265,0.457991141012634,1
"sim","brier","set11 AR(2) vs no-TS  (K=5) @0.90",0.0527870006322246,0.457991141012634,1
"ozone-200-200","brier","MRTS(10) vs none | skew-t, K=1, T=0, TS @0.980",0.056,0.457991141012634,1
"sim","crps","set9 AR(2) vs no-TS",0.0631394642773489,0.457991141012634,1
"sim","twcrps","set9 AR(2) vs no-TS",0.0631394642773489,0.457991141012634,1
"timeblock","crps","set5 1-5 AR(1) - iid",0.0631394642773489,0.457991141012634,1
"sim","brier","set9 AR(2) vs AR(1)  (K=1) @0.90",0.0665457213437161,0.457991141012634,1
"sim","brier","set11 AR(1) vs no-TS  (K=5) @0.90",0.0665457213437161,0.457991141012634,1
"sim","twcrps","set9 AR(2) vs AR(1)",0.0925718620789365,0.589933355415242,1
"timeblock","crps","set7 1-5 AR(2) - AR(1)",0.110635907836235,0.589933355415242,1
"timeblock","twcrps","set5 1-5 AR(1) - iid",0.110635907836235,0.589933355415242,1
"ozone-200-200","brier","MRTS(10) vs none | skew-t, K=1, T=0, TS @0.990",0.126,0.589933355415242,1
"sim","brier","set9 AR(2) vs AR(1)  (K=1) @0.98",0.126278928554698,0.589933355415242,1
"sim","brier","set10 AR(1) vs no-TS  (K=1) @0.98",0.126278928554698,0.589933355415242,1
"sim","brier","set12 AR(2) vs AR(1)  (K=5) @0.90",0.126278928554698,0.589933355415242,1
