"score","quantile","best_method","best_mrts_k","best_value"
"brier",0.9,2,0,0.0253213254604545
"brier",0.91,2,0,0.0232347865963636
"brier",0.92,2,0,0.0209220480890909
"brier",0.93,2,0,0.0185924414504545
"brier",0.94,2,0,0.0159752709972727
"brier",0.95,2,0,0.0137269645918182
"brier",0.96,2,0,0.0111624311309091
"brier",0.97,2,0,0.00910473725181818
"brier",0.98,2,0,0.00590006175090909
"brier",0.99,2,0,0.00464504683863636
"brier",0.995,2,0,0.00342301241909091
"quant",0.9,2,0,3.13049289690965
"quant",0.91,2,0,2.97215474958577
"quant",0.92,2,0,2.79779960162452
"quant",0.93,2,0,2.60681540769389
"quant",0.94,2,0,2.39622982448775
"quant",0.95,2,0,2.15556467397657
"quant",0.96,2,0,1.87850716891427
"quant",0.97,2,0,1.56301894918159
"quant",0.98,2,0,1.20379972671197
"quant",0.99,2,0,0.691288042929074
"quant",0.995,2,0,0.377386007311021
