"score","quantile","best_method","best_mrts_k","best_value"
"brier",0.9,2,25,0.0193723588759091
"brier",0.91,2,25,0.0177710854113636
"brier",0.92,2,25,0.0166968654154545
"brier",0.93,2,25,0.0147972787859091
"brier",0.94,2,25,0.0139094662713636
"brier",0.95,2,25,0.0117701261568182
"brier",0.96,2,25,0.0105573061795455
"brier",0.97,2,25,0.00822419575
"brier",0.98,2,25,0.00537623054590909
"brier",0.99,2,5,0.00405827747590909
"brier",0.995,2,25,0.00290216630954545
"quant",0.9,2,25,3.13052755586813
"quant",0.91,2,25,2.97212422596732
"quant",0.92,2,25,2.79788016222382
"quant",0.93,2,25,2.60683908495191
"quant",0.94,2,25,2.39629253835414
"quant",0.95,2,25,2.15564149491965
"quant",0.96,4,12,1.87858711165035
"quant",0.97,4,5,1.56262451236478
"quant",0.98,4,12,1.20270004294385
"quant",0.99,2,15,0.691387782022991
"quant",0.995,2,12,0.377326633412012
