"method","mrts_k","coverage_95","mean_width_95","n"
2,0,0,0.433289086079257,10
2,3,0,0.432700400495659,10
2,5,0,0.327466768399513,10
2,8,0,0.278076688999904,10
2,10,0,0.260154934394173,10
2,12,0,0.25913050876958,10
2,15,0,0.265501285841354,10
2,20,0,0.30554655703328,10
2,25,0,0.317567706621687,10
2,30,0,0.32211187380205,10
2,40,0,0.327470892665333,10
2,50,0,0.325544236883943,10
4,0,0,0.267972489111158,10
4,3,0,0.166790690510354,10
4,5,0,0.156025326770648,10
4,8,0,0.176267274030428,10
4,10,0,0.186710531998331,10
4,12,0,0.186753595462915,10
4,15,0,0.188322973292529,10
4,20,0,0.197906098357023,10
4,25,0,0.200837041869453,10
4,30,0,0.204279335282197,10
4,40,0,0.207888991712173,10
4,50,0,0.206273456954909,10
