"method","mrts_k","coverage_95","mean_width_95","n"
2,0,0,0.699993185416158,10
2,3,0,0.698295065488927,10
2,5,0,0.699118568135094,10
2,8,0,0.708045782559083,10
2,10,0,0.701762423674191,10
2,12,0,0.702465942401834,10
2,15,0,0.700054620239686,10
2,20,0,0.702347653670949,10
2,25,0,0.700247895349903,10
4,0,0.2,0.634795080253158,10
4,3,0.1,0.635000441608022,10
4,5,0.1,0.63956403328099,10
4,8,0.1,0.641181942566615,10
4,10,0.1,0.628253859557906,10
4,12,0.1,0.628479342265924,10
4,15,0.2,0.637486677456202,10
4,20,0.3,0.623563304871806,10
4,25,0.1,0.624150140134212,10
