"score","method","mrts_k","mean","median","rel_mean","rel_median"
"energy",2,0,8.07035937426756,7.88306241523231,NA,NA
"energy",2,3,8.06447940851981,7.87900594584021,NA,NA
"energy",2,5,8.06822774158186,7.88449276347782,NA,NA
"energy",2,8,8.06913297245802,7.8853177942999,NA,NA
"energy",2,10,8.07067296507142,7.87708932133996,NA,NA
"energy",2,12,8.07052342862427,7.89055490006548,NA,NA
"energy",2,15,8.07210838783344,7.88715386482446,NA,NA
"energy",2,20,8.07058298869394,7.88761463795478,NA,NA
"energy",2,25,8.07172999381271,7.8863317652917,NA,NA
"variogram",2,0,591.926765702467,570.164454320926,NA,NA
"variogram",2,3,591.504385865998,570.255339418535,NA,NA
"variogram",2,5,591.888430020721,570.560028783918,NA,NA
"variogram",2,8,591.680124556132,570.476003880912,NA,NA
"variogram",2,10,591.864585200438,569.709247587774,NA,NA
"variogram",2,12,591.858101022853,570.862771320823,NA,NA
"variogram",2,15,591.872991672467,570.649509711204,NA,NA
"variogram",2,20,592.032213225829,570.910171837503,NA,NA
"variogram",2,25,591.97756544129,570.285828204452,NA,NA
"pred_rmse",2,0,1.95987919223261,1.91127895086839,NA,NA
"pred_rmse",2,3,1.95977228050697,1.91237432932391,NA,NA
"pred_rmse",2,5,1.95901738866439,1.91094970193462,NA,NA
"pred_rmse",2,8,1.95907394449182,1.91187480883873,NA,NA
"pred_rmse",2,10,1.95937952225249,1.91126272412059,NA,NA
"pred_rmse",2,12,1.95956344626928,1.91239023337812,NA,NA
"pred_rmse",2,15,1.95948621846708,1.91231491653522,NA,NA
"pred_rmse",2,20,1.95926641599826,1.91277332173197,NA,NA
"pred_rmse",2,25,1.96034505007043,1.91420036711015,NA,NA
"recovery_rmse",2,0,2.01270624542856,2.17516055043008,NA,NA
"recovery_rmse",2,3,2.05918664407825,2.16808527553224,NA,NA
"recovery_rmse",2,5,2.0720254701241,2.42115368633901,NA,NA
"recovery_rmse",2,8,2.09317120027827,2.45064934170439,NA,NA
"recovery_rmse",2,10,2.11366970522699,2.41653919531926,NA,NA
"recovery_rmse",2,12,2.12137457355844,2.40973726390811,NA,NA
"recovery_rmse",2,15,2.16446347810158,2.51098112025646,NA,NA
"recovery_rmse",2,20,2.14897115834753,2.42305860901698,NA,NA
"recovery_rmse",2,25,2.08790494452914,2.45973871473632,NA,NA
