"setting","n","method","label","abs_K0","rel_K30","rel_K40","rel_K50","best_rel","best_K"
16,10,1,"Gaussian",0.0232145018895455,0.970256095928395,0.967321758850629,0.965908391027528,0.965908391027528,50
16,10,2,"Skew-t, K=1",0.0232546533109091,0.969376941308871,0.967161251624503,0.966688807959595,0.966371683355385,25
16,10,3,"Sym-t, K=1, T=q(0.80)",0.0239653273663636,0.942709045943684,0.948902967535788,0.948813666212179,0.941386912988581,25
16,10,4,"Skew-t, K=5",0.0235092395677273,0.960409768985798,0.95606893251376,0.955844855025058,0.955844855025058,50
16,10,5,"Sym-t, K=5, T=q(0.80)",0.0238904820372727,0.944397432827003,0.950538925997539,0.973718813362863,0.943843002939316,25
20,3,1,"Gaussian",0.00668030030151515,0.64368614612809,0.620503766506528,0.597198843627833,0.597198843627833,50
20,3,2,"Skew-t, K=1",0.00680079838787879,0.627848402645745,0.605085392986489,0.582437020268781,0.582437020268781,50
20,3,3,"Sym-t, K=1, T=q(0.80)",0.00854721982575758,0.462549586421118,0.478502724938425,0.54599457923859,0.462549586421118,30
20,3,4,"Skew-t, K=5",0.0199269692030303,0.252458145904086,0.211345266115555,0.203281594326997,0.203281594326997,50
20,3,5,"Sym-t, K=5, T=q(0.80)",0.0118776155757576,0.310691012098199,0.369240406720343,0.282359480124612,0.282359480124612,50
