"setting","method","mrts_k","parameter","n_datasets","mean_post_mean","median_post_mean","sd_post_mean","mean_post_sd"
10,1,0,"beta.0",10,14.3273311820747,14.4252675032971,0.455199058541925,0.484583406906718
10,2,0,"beta.0",10,13.1164963387205,13.0888793897708,0.516792478577245,0.599036056984754
10,3,0,"beta.0",10,13.5090443039265,13.4871249400251,0.559190010876031,0.604678748553838
10,4,0,"beta.0",10,10.361737697979,10.3573340894087,0.225034552608636,0.239960103983846
10,5,0,"beta.0",10,13.3945606436447,13.4825208478457,0.584051296979099,0.537077408380557
10,7,0,"beta.0",10,12.544601378391,12.3721836755108,0.563411459936538,0.606866091482749
10,8,0,"beta.0",10,13.2154474139304,10.4200919226961,3.82497180798736,0.359485506011011
10,1,0,"beta.1",10,0.0191355524679615,0.0309307966452644,0.0668373628094036,0.0562034547610956
10,2,0,"beta.1",10,0.00907464831961423,0.0154790828803784,0.0547646508282128,0.0445539362025318
10,3,0,"beta.1",10,0.00393949766547603,0.00229544664667816,0.117643596013072,0.0689220251924857
10,4,0,"beta.1",10,0.00317307274157224,0.00438605960858252,0.0193630423495933,0.0262078359167729
10,5,0,"beta.1",10,-0.00558650324447219,0.00842787260530627,0.0990311935847428,0.0631553708425638
10,7,0,"beta.1",10,0.00955498169089388,0.0156330513858962,0.0551637313161726,0.0436608395655282
10,8,0,"beta.1",10,-0.00522991323511969,-0.0107809859576143,0.0228683977755237,0.0303607476309078
10,1,0,"beta.2",10,-0.00684168766834893,0.0147320674835831,0.0971834292275207,0.0556199303810977
10,2,0,"beta.2",10,-0.00546714556086083,0.00191395292491044,0.0580908635280458,0.0440968115501724
10,3,0,"beta.2",10,0.0114525617118376,-0.0197479007121209,0.0895962463659778,0.0689128756733112
10,4,0,"beta.2",10,0.00691214697251148,0.00971860317434911,0.0271963980296956,0.0253500772631436
10,5,0,"beta.2",10,-0.0114541618708541,-0.019154884873476,0.078258571627804,0.0634969261915491
10,7,0,"beta.2",10,-0.00536159082586861,0.0024092941872227,0.0586160907231007,0.0432358873494086
10,8,0,"beta.2",10,-0.00339984215076846,0.00313476377568477,0.025176868736888,0.0297134626152774
10,1,0,"tau.alpha",10,0.2,0.2,0,0
10,2,0,"tau.alpha",10,3.304321,3.209895,0.381369324800631,0.604402205076438
10,3,0,"tau.alpha",10,1.858862,1.81836,0.355156595283451,0.34880840485204
10,4,0,"tau.alpha",10,4.828318,4.836085,0.390678546685123,0.509853884498112
10,5,0,"tau.alpha",10,3.925521,3.85283,0.312082842792672,0.452005819959519
10,7,0,"tau.alpha",10,3.401368,3.33699,0.407255199838572,0.625000061448492
10,8,0,"tau.alpha",10,4.906174,4.932895,0.494357024476126,0.520291814464605
10,1,0,"tau.beta",10,0.2,0.2,0,0
10,2,0,"tau.beta",10,32.3330204843648,32.1369866233834,2.28205978993115,6.84092758280834
10,3,0,"tau.beta",10,20.5508798899754,19.4602898731432,4.43069452315018,5.3228731962994
10,4,0,"tau.beta",10,16.1529262436274,15.983902010565,1.81379612137877,2.11440559903742
10,5,0,"tau.beta",10,47.0560872488503,44.1761741680903,6.72390427879544,8.0275211918624
10,7,0,"tau.beta",10,32.6198855815203,32.1244551881034,2.53828746677804,6.85863673419756
10,8,0,"tau.beta",10,22.2426041796442,16.3567570836883,10.038821005125,2.97940265798982
10,1,0,"rho",10,3.54222950392711,3.61187024386912,0.542006695740113,0.423820477630909
10,2,0,"rho",10,3.51389018539695,3.553208386369,0.274571821473031,0.472157872925805
10,3,0,"rho",10,4.0464357440388,3.97242100434486,0.514970809500501,0.6916493213709
10,4,0,"rho",10,1.61067070927168,1.6286810192071,0.18160949178318,0.278544508149171
10,5,0,"rho",10,4.73207262079052,4.46217269538267,1.29598767322776,1.01939540241714
10,7,0,"rho",10,3.22209447095635,3.2065613514789,0.294762789850609,0.437695051100082
10,8,0,"rho",10,5.41944267577627,1.49373306475861,5.4231789639969,0.844836876857123
10,1,0,"nu",10,0.514308471960493,0.482564354451736,0.115069596403231,0.0375997323095827
10,2,0,"nu",10,0.43989856235945,0.439573956968637,0.0317810559258139,0.035044333599376
10,3,0,"nu",10,0.552952735255274,0.55078738184632,0.0572451695456173,0.0676737115876491
10,4,0,"nu",10,0.425016115691127,0.416960368412247,0.0456774486382569,0.0646412496569806
10,5,0,"nu",10,0.568161730418601,0.587406457860657,0.0722065226050439,0.0778345202211471
10,7,0,"nu",10,0.458256946405831,0.451524960478187,0.0431275095055401,0.0362050200058422
10,8,0,"nu",10,0.385784603626598,0.419215115706712,0.104629772907913,0.0554246112312819
10,1,0,"gamma",10,0.968415682919252,0.981284285729054,0.0355037648512633,0.0081226960183793
10,2,0,"gamma",10,0.977051498842517,0.98178232795917,0.0163044883559961,0.0113866951597567
10,3,0,"gamma",10,0.969004748397359,0.966024079287972,0.0154362539449592,0.0135030695624327
10,4,0,"gamma",10,0.948407941716619,0.957652769311163,0.0215268180952574,0.033263837585238
10,5,0,"gamma",10,0.968163848063285,0.968047219683576,0.0120903075769303,0.0139813102461172
10,7,0,"gamma",10,0.97226978340812,0.978299327526534,0.0199742871093464,0.0115471014164996
10,8,0,"gamma",10,0.955639249240416,0.957995012752821,0.037118133099067,0.0263997464813226
10,2,0,"lambda",10,0.277133811673729,0.24688562345878,0.114718506181898,0.17999130834596
10,4,0,"lambda",10,2.40801877969372,2.35833266937993,0.213411673938435,0.162267019779423
10,7,0,"lambda",10,0.529713959356044,0.511012002345658,0.203441593698839,0.22814510847368
10,8,0,"lambda",10,0.811960037483651,2.41059801954153,2.43773959398054,0.173116505870704
10,7,0,"phi1.tau",10,0.135549686819636,0.232332305244995,0.228612264744695,0.274923413226707
10,8,0,"phi1.tau",10,0.000780903838680226,-0.0650599868344535,0.241973224101594,0.104942854840142
10,7,0,"phi2.tau",10,0.258199805851855,0.217578821498131,0.132137076487148,0.240169126827412
10,8,0,"phi2.tau",10,-0.0870742822576709,-0.106206254103381,0.0606265603895555,0.103465048869786
10,7,0,"phi1.z",10,0.0860857013218393,0.0732534365598153,0.216168863819372,0.332738759649688
10,8,0,"phi1.z",10,0.0286775770257254,0.0374105954458396,0.0906960116172481,0.0793289813249059
10,7,0,"phi2.z",10,-0.167733308335449,-0.163035461675986,0.147704487857586,0.33162120747829
10,8,0,"phi2.z",10,0.00814212273683324,0.0108656728872746,0.0541437582256944,0.0784716238107528
10,7,0,"phi1.w",10,0,0,0,0
10,8,0,"phi1.w",10,0.0954529696897802,0.107829277925261,0.226250661986336,0.0584438672227769
10,7,0,"phi2.w",10,0,0,0,0
