"setting","method","mrts_k","parameter","n_datasets","mean_post_mean","median_post_mean","sd_post_mean","mean_post_sd"
1,1,0,"beta.0",10,15.9795235102266,15.7342944274927,1.06851329019954,0.641385621955139
1,2,0,"beta.0",10,10.0112392397769,9.94178537475648,0.314346334872741,0.256662060339565
1,3,0,"beta.0",10,15.6670647356603,15.4562892410733,1.20987835422632,0.46774555013939
1,4,0,"beta.0",10,11.5723985047302,10.4397852336472,2.04908337864576,0.265047450860049
1,5,0,"beta.0",10,16.4396960909251,15.9288840185621,3.44524974120793,0.562376954328824
1,1,0,"beta.1",10,0.00853464074955303,0.0166460387547883,0.0199773949035685,0.0591995949910797
1,2,0,"beta.1",10,0.00486787589260416,0.00218835426862081,0.0150002970339144,0.0150467711912648
1,3,0,"beta.1",10,0.00173130840833648,-0.0212520118426341,0.0601241927783554,0.0531608997856965
1,4,0,"beta.1",10,0.0123136024081724,0.0146036180564962,0.0196338021802791,0.0273711166849617
1,5,0,"beta.1",10,0.0114431494303326,0.0213788479703909,0.0885218159385224,0.0565743592613995
1,1,0,"beta.2",10,-0.00817117921238707,-0.00454215881836537,0.0344252925705804,0.0587599389630793
1,2,0,"beta.2",10,-0.00659857262680406,-0.00765186586900145,0.0132862415134379,0.0149874601172837
1,3,0,"beta.2",10,0.00639902501591287,0.0126825980771349,0.0743064325787905,0.0560671149388778
1,4,0,"beta.2",10,-0.0141495464407468,-0.0142581070863291,0.0198580470299686,0.0270820892866473
1,5,0,"beta.2",10,0.028936891986668,0.0185238635130935,0.0501514180617733,0.0570922189881147
1,1,0,"tau.alpha",10,0.2,0.2,0,0
1,2,0,"tau.alpha",10,2.78554,2.698245,0.353514566790865,0.499391678277324
1,3,0,"tau.alpha",10,1.528129,1.480305,0.277313553960134,0.317713674899184
1,4,0,"tau.alpha",10,3.031868,2.942175,0.456845123374554,0.29557677904094
1,5,0,"tau.alpha",10,3.550522,3.716535,1.54398663707372,0.422197986312604
1,1,0,"tau.beta",10,0.2,0.2,0,0
1,2,0,"tau.beta",10,7.66823540711866,7.57787021250152,1.06018263483419,1.66533607985725
1,3,0,"tau.beta",10,5.2580604337212,4.5844386572605,2.06055529609949,2.13731023696456
1,4,0,"tau.beta",10,12.3644846360713,9.37432369570467,6.4524707592413,1.59631420072631
1,5,0,"tau.beta",10,26.9023212894832,22.5258378193009,18.5197496325357,4.91335589051938
1,1,0,"rho",10,14.5852228495178,14.6994806672909,0.306889094911849,0.377259433514203
1,2,0,"rho",10,1.05585828692873,1.02699089320667,0.105484365030566,0.14234664682366
1,3,0,"rho",10,14.1858904454459,14.1681797786018,0.181743930227208,0.736584483154107
1,4,0,"rho",10,6.39860166257844,0.968940341281055,7.08680112742345,0.254486302099856
1,5,0,"rho",10,14.20287021583,14.4257557161551,0.867324895748859,0.576840798707998
1,1,0,"nu",10,0.303870962419542,0.282512576728445,0.0680676022864823,0.0147892013640035
1,2,0,"nu",10,0.522553810687979,0.494111280214083,0.0661265289251875,0.105339899536686
1,3,0,"nu",10,0.321211561885501,0.300350477356805,0.0665193492108032,0.0302766301653453
1,4,0,"nu",10,0.449465112562661,0.523078194914528,0.14878737485849,0.104199812589074
1,5,0,"nu",10,0.299136523426664,0.299223284615118,0.12727684370522,0.0304754293175565
1,1,0,"gamma",10,0.98332631485588,0.988660588832138,0.0137337632349158,0.00684301774514411
1,2,0,"gamma",10,0.898447517511415,0.907701991505775,0.0255238992156722,0.0460018019601623
1,3,0,"gamma",10,0.965764124500812,0.969247263268919,0.0170777996681113,0.0174133776859434
1,4,0,"gamma",10,0.915763139831331,0.892692910592576,0.0613420039959243,0.0404748217014597
1,5,0,"gamma",10,0.85160664279179,0.862776673870752,0.067366411890548,0.0435389726813972
1,2,0,"lambda",10,3.10137195760075,3.08181699502039,0.335391645952075,0.341153464173238
1,4,0,"lambda",10,2.04087870149253,2.97676457114907,1.76954579804545,0.142097073932405
