"setting","method","mrts_k","parameter","n_datasets","mean_post_mean","median_post_mean","sd_post_mean","mean_post_sd"
3,1,0,"beta.0",10,15.3317203635119,15.2793458842892,0.616091475244728,0.907714248378719
3,1,3,"beta.0",10,15.3544200134419,15.2405957363667,0.548932784396129,0.710335072125631
3,1,5,"beta.0",10,15.2871180750229,15.2108292042079,0.506076263028822,0.766544735720365
3,1,8,"beta.0",10,15.2771753093472,15.1968728824715,0.503769332525976,0.769742957238466
3,1,10,"beta.0",10,15.2720811997987,15.1993596030996,0.510493645163265,0.768935840298195
3,1,12,"beta.0",10,15.2778328186311,15.2191008462282,0.50763931822896,0.771287266226306
3,1,15,"beta.0",10,15.2592713915438,15.2218053627798,0.489691053177242,0.772897012889934
3,1,20,"beta.0",10,15.2611790333912,15.2144531818118,0.481640573799186,0.771076594317499
3,1,25,"beta.0",10,15.2565489088883,15.2197217801,0.476995077913549,0.771967331043044
3,2,0,"beta.0",10,11.6977654401657,11.7999438068109,0.894118674447776,1.012657798932
3,2,3,"beta.0",10,11.7075259722863,11.7985345574488,0.927564658402718,0.910463503740954
3,2,5,"beta.0",10,11.7440371466968,11.7508607231541,0.801897982262827,0.93794547277544
3,2,8,"beta.0",10,11.7528391081063,11.7497018463504,0.796496019525145,0.946803196764025
3,2,10,"beta.0",10,11.7373679899214,11.7631691762052,0.859818185144484,0.930561342926145
3,2,12,"beta.0",10,11.7888646666199,11.7699311889592,0.841523979699858,0.931672727152338
3,2,15,"beta.0",10,11.761979175814,11.7311437151292,0.824644931936059,0.936210275111069
3,2,20,"beta.0",10,11.7523929084318,11.7404346743772,0.815167858646801,0.936020141172921
3,2,25,"beta.0",10,11.7581498447192,11.7082839889518,0.844007526901016,0.938084572984351
3,3,0,"beta.0",10,15.2749684667857,15.3162084622289,0.728153087027167,0.679336139105191
3,3,3,"beta.0",10,15.3639082226018,15.3746117938706,0.668487320602511,0.444715308853946
3,3,5,"beta.0",10,15.2345268118409,15.0870933244824,0.627629540274971,0.47171000544732
3,3,8,"beta.0",10,15.116865888339,15.1277387877054,0.730024803966637,0.471736237872762
3,3,10,"beta.0",10,15.0369680382439,14.9538792130049,0.730826978687182,0.469857182747778
3,3,12,"beta.0",10,15.0532933361953,15.1410030758044,0.794080378173198,0.462305346950853
3,3,15,"beta.0",10,14.932037095649,14.9048970993852,0.698933121868638,0.493479803486309
3,3,20,"beta.0",10,14.993985548694,14.9060357535606,0.759681402596241,0.455621055104597
3,3,25,"beta.0",10,14.8735043796134,14.9030471854523,0.714766374707282,0.447530697809117
3,4,0,"beta.0",10,13.9281576267364,13.935666474738,0.553067408768467,0.525215429938949
3,4,3,"beta.0",10,13.8553554137569,13.7536827366974,0.800777312286783,0.346714415821785
3,4,5,"beta.0",10,13.9783637378849,14.0043361807179,0.75345165023241,0.356122359636528
3,4,8,"beta.0",10,13.9672216613695,13.8864027007534,0.965701439063012,0.360147518657778
3,4,10,"beta.0",10,14.0166185419906,13.9471864085364,0.685119276846393,0.362623986393465
3,4,12,"beta.0",10,14.0452518052009,14.1755931600158,0.523339398960514,0.363132171210729
3,4,15,"beta.0",10,13.9329220445486,13.770247010984,0.660448912685118,0.391713756638651
3,4,20,"beta.0",10,13.8687570829291,13.7246853785056,0.770293008032934,0.355466896779538
3,4,25,"beta.0",10,13.79309979057,13.7954477883933,0.913995820881582,0.371279409386147
3,5,0,"beta.0",10,16.8483246786557,17.1028783132695,1.80508682090753,0.458863025695142
3,5,3,"beta.0",10,16.8907051250981,17.3087326953918,1.53553476263103,0.313905257336902
3,5,5,"beta.0",10,17.3833563209564,17.7962246646413,1.70605246106419,0.350580630576283
3,5,8,"beta.0",10,16.6553941417186,17.2501940280724,1.69265093826549,0.391689501543888
3,5,10,"beta.0",10,16.8263657989178,17.4862819384269,1.9992510623123,0.349585479018382
3,5,12,"beta.0",10,16.6912053809014,17.3875505522404,2.02577435224075,0.41500912459322
3,5,15,"beta.0",10,16.4546363174569,16.6710767148939,1.80244077557327,0.329994981824987
3,5,20,"beta.0",10,18.2828036284116,17.6177962086766,6.00197452975068,0.384676706291086
3,5,25,"beta.0",10,19.0414487405433,17.8147409124125,4.88634248169233,0.513139264154038
3,1,0,"beta.1",10,0.0137696024092068,0.00609726986396086,0.0691207743883177,0.081266761458517
3,2,0,"beta.1",10,0.0353028038228905,0.0470595406061393,0.0652790635570691,0.0627689329074078
3,3,0,"beta.1",10,-0.0453390810234717,-0.0352831657904657,0.0796574136026994,0.0684534662504483
3,4,0,"beta.1",10,0.0118848328085641,0.0205525269022366,0.0782339467335677,0.0575606565331022
3,5,0,"beta.1",10,0.0425207381111329,0.0176110752479455,0.108230432745685,0.0499031117725544
3,1,0,"beta.2",10,-0.00789999860239449,-0.0176078498173403,0.0432309408011106,0.0804293808666848
3,2,0,"beta.2",10,-0.0248080732088782,-0.0294787950483216,0.0537825273875507,0.0625730320045276
3,3,0,"beta.2",10,0.0577907151780465,0.0642262113871697,0.0856667293484183,0.0710554274377693
3,4,0,"beta.2",10,-0.0239432010415205,-0.0333935189371875,0.0552739690906011,0.0571424474442305
3,5,0,"beta.2",10,-0.0118802983514382,0.0133088618362821,0.0862213556168373,0.0505225485899279
3,1,0,"tau.alpha",10,0.2,0.2,0,0
3,1,3,"tau.alpha",10,0.2,0.2,0,0
3,1,5,"tau.alpha",10,0.2,0.2,0,0
3,1,8,"tau.alpha",10,0.2,0.2,0,0
3,1,10,"tau.alpha",10,0.2,0.2,0,0
3,1,12,"tau.alpha",10,0.2,0.2,0,0
3,1,15,"tau.alpha",10,0.2,0.2,0,0
3,1,20,"tau.alpha",10,0.2,0.2,0,0
3,1,25,"tau.alpha",10,0.2,0.2,0,0
3,2,0,"tau.alpha",10,1.763281,1.73242,0.121971637272314,0.310124292241824
3,2,3,"tau.alpha",10,1.766923,1.7416,0.121428700071734,0.31138383069655
