"score","method","mrts_k","dataset","quantile","value"
"brier",1,0,1,0.9,0.0211552425045455
"brier",1,0,1,0.91,0.0192312385363636
"brier",1,0,1,0.92,0.0152099890318182
"brier",1,0,1,0.93,0.0122012336909091
"brier",1,0,1,0.94,0.0117904356818182
"brier",1,0,1,0.95,0.0116798472045455
"brier",1,0,1,0.96,0.0105213888409091
"brier",1,0,1,0.97,0.00931906167272727
"brier",1,0,1,0.98,0.0059754626
"brier",1,0,1,0.99,0.00538017466818182
"brier",1,0,1,0.995,0.00584000180454545
"brier",1,0,2,0.9,0.0385936362772727
"brier",1,0,2,0.91,0.0359883056136364
"brier",1,0,2,0.92,0.0333733768954545
"brier",1,0,2,0.93,0.0313117550636364
"brier",1,0,2,0.94,0.0278384021727273
"brier",1,0,2,0.95,0.0216964359818182
"brier",1,0,2,0.96,0.0154799920363636
"brier",1,0,2,0.97,0.01100025765
"brier",1,0,2,0.98,0.00806879788181818
"brier",1,0,2,0.99,0.00561781558636364
"brier",1,0,2,0.995,0.00183761184545455
"brier",1,0,3,0.9,0.0382061847227273
"brier",1,0,3,0.91,0.0349447256181818
"brier",1,0,3,0.92,0.0319458330954545
"brier",1,0,3,0.93,0.0255568592181818
"brier",1,0,3,0.94,0.0223602142863636
"brier",1,0,3,0.95,0.0172345163
"brier",1,0,3,0.96,0.0131341092954545
"brier",1,0,3,0.97,0.00869362831363636
"brier",1,0,3,0.98,0.00214385350454545
"brier",1,0,3,0.99,0.0033386345
"brier",1,0,3,0.995,0.00326223160454545
"brier",1,0,4,0.9,0.0116511189272727
"brier",1,0,4,0.91,0.0101655466363636
"brier",1,0,4,0.92,0.00895572650454545
"brier",1,0,4,0.93,0.00746468730909091
"brier",1,0,4,0.94,0.00571314857272727
"brier",1,0,4,0.95,0.00704981411363636
"brier",1,0,4,0.96,0.00678668186818182
"brier",1,0,4,0.97,0.00725643524545455
"brier",1,0,4,0.98,0.00678607669090909
"brier",1,0,4,0.99,0.00528528347272727
"brier",1,0,4,0.995,0.00523517872727273
"brier",1,0,5,0.9,0.0344528577727273
"brier",1,0,5,0.91,0.0322824169045455
"brier",1,0,5,0.92,0.0293364769545455
"brier",1,0,5,0.93,0.0284054452136364
"brier",1,0,5,0.94,0.0243482207545455
"brier",1,0,5,0.95,0.0197896786954545
"brier",1,0,5,0.96,0.0174083338909091
"brier",1,0,5,0.97,0.0156658509954545
"brier",1,0,5,0.98,0.0128849544454545
"brier",1,0,5,0.99,0.00812227203636364
"brier",1,0,5,0.995,0.00365786045
"brier",1,0,6,0.9,0.0154860250227273
"brier",1,0,6,0.91,0.0156249374909091
"brier",1,0,6,0.92,0.0134442467
"brier",1,0,6,0.93,0.0109937417318182
"brier",1,0,6,0.94,0.00755795095
"brier",1,0,6,0.95,0.00876127802727273
"brier",1,0,6,0.96,0.0105030809727273
"brier",1,0,6,0.97,0.0108031074636364
"brier",1,0,6,0.98,0.00965802275
"brier",1,0,6,0.99,0.00738583035
"brier",1,0,6,0.995,0.00510702390909091
"brier",1,0,7,0.9,0.0118437755
"brier",1,0,7,0.91,0.0139567907727273
"brier",1,0,7,0.92,0.01744364995
"brier",1,0,7,0.93,0.0185618532045455
"brier",1,0,7,0.94,0.0170751734727273
"brier",1,0,7,0.95,0.0151002903318182
"brier",1,0,7,0.96,0.0114061683318182
"brier",1,0,7,0.97,0.00847436454090909
"brier",1,0,7,0.98,0.00310990628181818
"brier",1,0,7,0.99,0.00351605177727273
"brier",1,0,7,0.995,0.00450382354545455
"brier",1,0,8,0.9,0.0407192507863636
"brier",1,0,8,0.91,0.0322714971818182
"brier",1,0,8,0.92,0.0263131956
"brier",1,0,8,0.93,0.0223668606818182
"brier",1,0,8,0.94,0.0170897783636364
"brier",1,0,8,0.95,0.0137873641
"brier",1,0,8,0.96,0.00894605008181818
"brier",1,0,8,0.97,0.00720533402727273
"brier",1,0,8,0.98,0.00780108734545455
"brier",1,0,8,0.99,0.00512819405454545
"brier",1,0,8,0.995,0.00456346586818182
"brier",1,0,9,0.9,0.0294343063272727
"brier",1,0,9,0.91,0.0255908069409091
"brier",1,0,9,0.92,0.0207994070181818
"brier",1,0,9,0.93,0.0200169582272727
"brier",1,0,9,0.94,0.0171793995136364
"brier",1,0,9,0.95,0.0176883418136364
"brier",1,0,9,0.96,0.0162185608909091
"brier",1,0,9,0.97,0.0130905979590909
"brier",1,0,9,0.98,0.00829181161818182
"brier",1,0,9,0.99,0.00494984891363636
"brier",1,0,9,0.995,0.00389082586818182
"brier",1,0,10,0.9,0.0254671546136364
"brier",1,0,10,0.91,0.0243771203090909
"brier",1,0,10,0.92,0.0235890738409091
"brier",1,0,10,0.93,0.0180397012590909
"brier",1,0,10,0.94,0.0156849102045455
"brier",1,0,10,0.95,0.0114672991863636
"brier",1,0,10,0.96,0.00698516905909091
"brier",1,0,10,0.97,0.00469162703181818
"brier",1,0,10,0.98,1.93013636363636e-07
"brier",1,0,10,0.99,0.00491972051818182
"brier",1,0,10,0.995,0.00503677119090909
"brier",1,0,11,0.9,NA
"brier",1,0,11,0.91,NA
"brier",1,0,11,0.92,NA
"brier",1,0,11,0.93,NA
"brier",1,0,11,0.94,NA
"brier",1,0,11,0.95,NA
