"score","method","mrts_k","dataset","quantile","value"
"brier",1,0,1,0.9,0.0224585070181818
"brier",1,0,1,0.91,0.0189658113181818
"brier",1,0,1,0.92,0.0188617100954545
"brier",1,0,1,0.93,0.0170698648863636
"brier",1,0,1,0.94,0.0171669323227273
"brier",1,0,1,0.95,0.0144018453909091
"brier",1,0,1,0.96,0.0126931419818182
"brier",1,0,1,0.97,0.00753071246363636
"brier",1,0,1,0.98,0.00394174278636364
"brier",1,0,1,0.99,0.00672453913636364
"brier",1,0,1,0.995,0.00570126587727273
"brier",1,0,2,0.9,0.02433372925
"brier",1,0,2,0.91,0.0227288688045455
"brier",1,0,2,0.92,0.0220320584818182
"brier",1,0,2,0.93,0.0181080788863636
"brier",1,0,2,0.94,0.0176707404090909
"brier",1,0,2,0.95,0.0170962912863636
"brier",1,0,2,0.96,0.0160087885636364
"brier",1,0,2,0.97,0.0108576031318182
"brier",1,0,2,0.98,0.00719300670909091
"brier",1,0,2,0.99,0.0038137831
"brier",1,0,2,0.995,0.00219771199090909
"brier",1,0,3,0.9,0.0207311465
"brier",1,0,3,0.91,0.0191972702136364
"brier",1,0,3,0.92,0.0187884981045455
"brier",1,0,3,0.93,0.0165857799227273
"brier",1,0,3,0.94,0.0132772479818182
"brier",1,0,3,0.95,0.0091651222
"brier",1,0,3,0.96,0.00829431701818182
"brier",1,0,3,0.97,0.00661156461818182
"brier",1,0,3,0.98,0.00262921961363636
"brier",1,0,3,0.99,0.00231325526818182
"brier",1,0,3,0.995,0.000981073572727273
"brier",1,0,4,0.9,0.0112625172227273
"brier",1,0,4,0.91,0.00842876301363636
"brier",1,0,4,0.92,0.00715641823181818
"brier",1,0,4,0.93,0.00863037404545455
"brier",1,0,4,0.94,0.0105486430772727
"brier",1,0,4,0.95,0.00623949136363636
"brier",1,0,4,0.96,0.00783245732272727
"brier",1,0,4,0.97,0.00731927272272727
"brier",1,0,4,0.98,0.00624370112272727
"brier",1,0,4,0.99,0.00340916383181818
"brier",1,0,4,0.995,0.00432954459090909
"brier",1,0,5,0.9,0.0273806842227273
"brier",1,0,5,0.91,0.02613809245
"brier",1,0,5,0.92,0.0227982648409091
"brier",1,0,5,0.93,0.0211800000727273
"brier",1,0,5,0.94,0.0198755611590909
"brier",1,0,5,0.95,0.0156419662181818
"brier",1,0,5,0.96,0.0144516431090909
"brier",1,0,5,0.97,0.0119426205409091
"brier",1,0,5,0.98,0.00818503041363636
"brier",1,0,5,0.99,0.00642002845
"brier",1,0,5,0.995,0.00372060736818182
"brier",1,0,6,0.9,0.0159712956136364
"brier",1,0,6,0.91,0.0139431869727273
"brier",1,0,6,0.92,0.0137501107727273
"brier",1,0,6,0.93,0.01091342625
"brier",1,0,6,0.94,0.0109930743863636
"brier",1,0,6,0.95,0.0100993464227273
"brier",1,0,6,0.96,0.00901092365
"brier",1,0,6,0.97,0.00991128386363636
"brier",1,0,6,0.98,0.00708875594090909
"brier",1,0,6,0.99,0.00716185843181818
"brier",1,0,6,0.995,0.00444969670909091
"brier",1,0,7,0.9,0.0186091514045455
"brier",1,0,7,0.91,0.0187831723136364
"brier",1,0,7,0.92,0.0167690280409091
"brier",1,0,7,0.93,0.0142674954909091
"brier",1,0,7,0.94,0.0138850567727273
"brier",1,0,7,0.95,0.0129121369
"brier",1,0,7,0.96,0.0117296341090909
"brier",1,0,7,0.97,0.00760527020454546
"brier",1,0,7,0.98,0.00363226352272727
"brier",1,0,7,0.99,0.00297264132727273
"brier",1,0,7,0.995,0.00351902665
"brier",1,0,8,0.9,0.0187031247
"brier",1,0,8,0.91,0.0169806743727273
"brier",1,0,8,0.92,0.0185996058227273
"brier",1,0,8,0.93,0.0183949798409091
"brier",1,0,8,0.94,0.0187090421409091
"brier",1,0,8,0.95,0.0154583110136364
"brier",1,0,8,0.96,0.0132672842227273
"brier",1,0,8,0.97,0.0109967593727273
"brier",1,0,8,0.98,0.00882479357727273
"brier",1,0,8,0.99,0.00302773370909091
"brier",1,0,8,0.995,0.00311629574545455
"brier",1,0,9,0.9,0.0269537314954545
"brier",1,0,9,0.91,0.0250662678272727
"brier",1,0,9,0.92,0.0207500204590909
"brier",1,0,9,0.93,0.0185134293272727
"brier",1,0,9,0.94,0.0172502427727273
"brier",1,0,9,0.95,0.0151093924136364
"brier",1,0,9,0.96,0.0131470324590909
"brier",1,0,9,0.97,0.0109530140318182
"brier",1,0,9,0.98,0.00785219190909091
"brier",1,0,9,0.99,0.00648278630454545
"brier",1,0,9,0.995,0.00386276074545455
"brier",1,0,10,0.9,0.0185309913409091
"brier",1,0,10,0.91,0.0164583997227273
"brier",1,0,10,0.92,0.0143309641227273
"brier",1,0,10,0.93,0.0115608440181818
"brier",1,0,10,0.94,0.00858989809545455
"brier",1,0,10,0.95,0.00857933822272727
"brier",1,0,10,0.96,0.00713439569545455
"brier",1,0,10,0.97,0.00423445187727273
"brier",1,0,10,0.98,0.000773017868181818
"brier",1,0,10,0.99,0.00384228869090909
"brier",1,0,10,0.995,0.00318677265
"brier",2,0,1,0.9,0.0214621835272727
"brier",2,0,1,0.91,0.0180052925863636
"brier",2,0,1,0.92,0.0180290817681818
"brier",2,0,1,0.93,0.0163938339363636
"brier",2,0,1,0.94,0.0166344749772727
"brier",2,0,1,0.95,0.0136592899545455
"brier",2,0,1,0.96,0.0123639777727273
"brier",2,0,1,0.97,0.0077854576
"brier",2,0,1,0.98,0.00359328802272727
"brier",2,0,1,0.99,0.00492261246818182
"brier",2,0,1,0.995,0.0040821997
"brier",2,0,2,0.9,0.0242664279409091
"brier",2,0,2,0.91,0.0224274695909091
"brier",2,0,2,0.92,0.0216160366863636
"brier",2,0,2,0.93,0.0177388909909091
"brier",2,0,2,0.94,0.0165868894545455
"brier",2,0,2,0.95,0.0154496822909091
"brier",2,0,2,0.96,0.0142314765909091
"brier",2,0,2,0.97,0.0107223744318182
"brier",2,0,2,0.98,0.00713203318181818
"brier",2,0,2,0.99,0.00373973294545455
"brier",2,0,2,0.995,0.00206224772727273
"brier",2,0,3,0.9,0.0198498741363636
"brier",2,0,3,0.91,0.0184144805454545
"brier",2,0,3,0.92,0.0182657106409091
"brier",2,0,3,0.93,0.0160429665136364
"brier",2,0,3,0.94,0.0126546164545455
"brier",2,0,3,0.95,0.00889714557272727
"brier",2,0,3,0.96,0.00767160975909091
"brier",2,0,3,0.97,0.00609189038181818
"brier",2,0,3,0.98,0.00289960265909091
"brier",2,0,3,0.99,0.00210484334090909
"brier",2,0,3,0.995,0.00113900079545455
"brier",2,0,4,0.9,0.0106103455227273
"brier",2,0,4,0.91,0.00821127035454546
"brier",2,0,4,0.92,0.00704758143636364
"brier",2,0,4,0.93,0.00826735948636364
"brier",2,0,4,0.94,0.00940868750909091
"brier",2,0,4,0.95,0.00603255265909091
"brier",2,0,4,0.96,0.00702625602272727
"brier",2,0,4,0.97,0.00657132446363636
"brier",2,0,4,0.98,0.00557322008636364
"brier",2,0,4,0.99,0.00348893184545455
"brier",2,0,4,0.995,0.00311277524545455
"brier",2,0,5,0.9,0.0250542402045455
"brier",2,0,5,0.91,0.0239817168272727
"brier",2,0,5,0.92,0.0213175256681818
"brier",2,0,5,0.93,0.0199901047545455
"brier",2,0,5,0.94,0.0187745449545455
"brier",2,0,5,0.95,0.01471565725
"brier",2,0,5,0.96,0.0136232419045455
"brier",2,0,5,0.97,0.0113668780409091
"brier",2,0,5,0.98,0.00829822677272727
"brier",2,0,5,0.99,0.00558542487272727
"brier",2,0,5,0.995,0.00309505774545455
"brier",2,0,6,0.9,0.0157322471545455
"brier",2,0,6,0.91,0.0136346270363636
"brier",2,0,6,0.92,0.0135100146363636
"brier",2,0,6,0.93,0.0103091504227273
"brier",2,0,6,0.94,0.00944827795454545
"brier",2,0,6,0.95,0.00854375896363636
"brier",2,0,6,0.96,0.00861000054090909
"brier",2,0,6,0.97,0.00934554690909091
"brier",2,0,6,0.98,0.00681985440909091
"brier",2,0,6,0.99,0.00540100585909091
