"score","method","mrts_k","quantile","mean","median"
"brier",1,0,0.9,0.0204934878768182,0.0197171356
"brier",1,0,0.91,0.0186690507009091,0.0188744918159091
"brier",1,0,0.92,0.0173836678972727,0.0186940519636364
"brier",1,0,0.93,0.0155224272740909,0.0168278224045455
"brier",1,0,0.94,0.0147966439118182,0.0155259945477273
"brier",1,0,0.95,0.0124703241431818,0.0136569911454545
"brier",1,0,0.96,0.0113569618131818,0.0122113880454545
"brier",1,0,0.97,0.00879625528272727,0.00875827703409091
"brier",1,0,0.98,0.00563637234636364,0.00666622853181818
"brier",1,0,0.99,0.004616807825,0.00382803589545455
"brier",1,0,0.995,0.00350647559,0.00361981700909091
"brier",2,0,0.9,0.0197515689945455,0.0191120360045455
"brier",2,0,0.91,0.0180927958581818,0.0181160735
"brier",2,0,0.92,0.0169144636440909,0.0179631452295455
"brier",2,0,0.93,0.0149911389081818,0.016218400225
"brier",2,0,0.94,0.0140765691613636,0.0149630437113636
"brier",2,0,0.95,0.0118735332563636,0.0129872695431818
"brier",2,0,0.96,0.0106934826809091,0.0112330588704545
"brier",2,0,0.97,0.00844995712772727,0.00856550225454545
"brier",2,0,0.98,0.00547116624909091,0.00619653724772727
"brier",2,0,0.99,0.00406905002727273,0.00369156486590909
"brier",2,0,0.995,0.00291901283090909,0.00310391649545455
"brier",3,0,0.9,0.0199533260913636,0.0193156371727273
"brier",3,0,0.91,0.0182559691354545,0.0179859601863636
"brier",3,0,0.92,0.0171664589977273,0.01810097815
"brier",3,0,0.93,0.0152797459809091,0.0164964396181818
"brier",3,0,0.94,0.0142230350604545,0.0151651956295455
"brier",3,0,0.95,0.0120595801063636,0.0131572298204545
"brier",3,0,0.96,0.0107248631604545,0.0112483436409091
"brier",3,0,0.97,0.00843264789272727,0.0084337734
"brier",3,0,0.98,0.005468905215,0.00614510256818182
"brier",3,0,0.99,0.00405994981909091,0.00366645405454545
"brier",3,0,0.995,0.00290273907909091,0.0030532168
"brier",4,0,0.9,0.0200338694613636,0.0194358698386364
"brier",4,0,0.91,0.01831028542,0.0181208896363636
"brier",4,0,0.92,0.0171344313381818,0.01813201845
"brier",4,0,0.93,0.0151213027986364,0.0163412701727273
"brier",4,0,0.94,0.0142304978359091,0.0150704701477273
"brier",4,0,0.95,0.0120610581390909,0.0132795952613636
"brier",4,0,0.96,0.0107723911590909,0.0113207351272727
"brier",4,0,0.97,0.00850083489045455,0.00849724549318182
"brier",4,0,0.98,0.00553371126272727,0.00652193804318182
"brier",4,0,0.99,0.00414137845409091,0.00365245615681818
"brier",4,0,0.995,0.00295515527409091,0.00313706572045455
"brier",5,0,0.9,0.02153551728,0.0207781774522727
"brier",5,0,0.91,0.0197662308013636,0.0186568617590909
"brier",5,0,0.92,0.01830111869,0.0182477431840909
"brier",5,0,0.93,0.0161637894309091,0.0166801935181818
"brier",5,0,0.94,0.0148786454913636,0.01568707625
"brier",5,0,0.95,0.0126798023790909,0.0137343075931818
"brier",5,0,0.96,0.0114935506390909,0.0119216825227273
"brier",5,0,0.97,0.00883540531727273,0.00897004300681818
"brier",5,0,0.98,0.005658311805,0.00616649552272727
"brier",5,0,0.99,0.00438040112045455,0.00403089588409091
"brier",5,0,0.995,0.00318087385227273,0.00322759102727273
"brier",1,3,0.9,0.0205029847386364,0.0197133707977273
"brier",1,3,0.91,0.0186812718059091,0.0188741695340909
"brier",1,3,0.92,0.017381598665,0.0186814960045455
"brier",1,3,0.93,0.015530384375,0.0168426096863636
"brier",1,3,0.94,0.0147988622690909,0.0155093451704545
"brier",1,3,0.95,0.0124735391040909,0.0136430854204545
"brier",1,3,0.96,0.0113648393290909,0.0122050985772727
"brier",1,3,0.97,0.00880338231272727,0.00876900280454545
"brier",1,3,0.98,0.00564747976090909,0.00665267785227273
"brier",1,3,0.99,0.00462034635090909,0.00382514771363636
"brier",1,3,0.995,0.00350381481590909,0.00362349841590909
"brier",2,3,0.9,0.0197578489981818,0.0191258506454545
"brier",2,3,0.91,0.01808958465,0.0180458796136364
"brier",2,3,0.92,0.0168998075986364,0.0179290493431818
"brier",2,3,0.93,0.0149872051795455,0.0162017870931818
"brier",2,3,0.94,0.0140784036045455,0.014959991875
"brier",2,3,0.95,0.0118822715159091,0.0129774954772727
"brier",2,3,0.96,0.0106940102940909,0.0112246793159091
"brier",2,3,0.97,0.00845569773090909,0.00856727317954546
"brier",2,3,0.98,0.00547529868363636,0.006182840375
"brier",2,3,0.99,0.00406952564181818,0.00370964830227273
"brier",2,3,0.995,0.00291772989227273,0.00310304468181818
"brier",3,3,0.9,0.0199202430145455,0.0192662216136364
"brier",3,3,0.91,0.0182422844495455,0.0180168776045455
"brier",3,3,0.92,0.0171567449159091,0.0181432259977273
"brier",3,3,0.93,0.0152731046736364,0.0164814509818182
"brier",3,3,0.94,0.01420944502,0.0151545128409091
"brier",3,3,0.95,0.01203964418,0.013132366025
"brier",3,3,0.96,0.010726051605,0.0112323280522727
"brier",3,3,0.97,0.00842668930545454,0.00843270256136364
"brier",3,3,0.98,0.00544705065409091,0.00613113824772727
"brier",3,3,0.99,0.00406166496863636,0.00367290660909091
"brier",3,3,0.995,0.00290266025727273,0.00304566356363636
"brier",4,3,0.9,0.0198670349213636,0.0191349078840909
"brier",4,3,0.91,0.0181757916231818,0.0180515580159091
"brier",4,3,0.92,0.0170341511409091,0.0180125627159091
"brier",4,3,0.93,0.0151507513495455,0.0163762781454545
"brier",4,3,0.94,0.0143061064827273,0.0151631882431818
"brier",4,3,0.95,0.012012797545,0.0134237801204545
"brier",4,3,0.96,0.0108132084263636,0.0114590733727273
"brier",4,3,0.97,0.00860311992318182,0.00870751711136364
"brier",4,3,0.98,0.00546804743545455,0.00614794701818182
"brier",4,3,0.99,0.00409243428318182,0.00372442945227273
"brier",4,3,0.995,0.00295221407363636,0.00307601940454545
"brier",5,3,0.9,0.0203071416354545,0.0198309426136364
"brier",5,3,0.91,0.0186260556909091,0.0185621565227273
"brier",5,3,0.92,0.0176271436768182,0.0189395730045455
"brier",5,3,0.93,0.01582367828,0.0171235892840909
"brier",5,3,0.94,0.0146822858613636,0.0156210228954545
"brier",5,3,0.95,0.0124981605686364,0.0139350815386364
"brier",5,3,0.96,0.0110601458009091,0.0117682567477273
"brier",5,3,0.97,0.00865916805227273,0.00880208690227273
"brier",5,3,0.98,0.00556344324181818,0.00598786489090909
