"score","method","mrts_k","quantile","mean","median"
"brier",1,0,0.9,0.111484149811818,0.110806316143182
"brier",1,0,0.91,0.101165178368939,0.101183229827273
"brier",1,0,0.92,0.0896441362086364,0.0880624133113636
"brier",1,0,0.93,0.0790173560969697,0.0777431274
"brier",1,0,0.94,0.0678808241862121,0.0666590735409091
"brier",1,0,0.95,0.0568220630809091,0.0558469941136364
"brier",1,0,0.96,0.0454538773768182,0.0446693503522727
"brier",1,0,0.97,0.0345491984851515,0.0342724447636364
"brier",1,0,0.98,0.023069377720303,0.0225504263681818
"brier",1,0,0.99,0.0111366716728788,0.0115234851704545
"brier",1,0,0.995,0.0056905978180303,0.00580398018863636
"brier",2,0,0.9,0.11146490666697,0.110771092331818
"brier",2,0,0.91,0.101185076321818,0.100893933122727
"brier",2,0,0.92,0.0897092414724242,0.0882487752613636
"brier",2,0,0.93,0.0791133966233333,0.0780073627204545
"brier",2,0,0.94,0.0680030161322727,0.0669439881840909
"brier",2,0,0.95,0.0569783722166667,0.0560932804613636
"brier",2,0,0.96,0.0456710890812121,0.0447153212
"brier",2,0,0.97,0.0347948721704545,0.0343391204090909
"brier",2,0,0.98,0.0232725364934849,0.02278548815
"brier",2,0,0.99,0.0112605758921212,0.0116473965113636
"brier",2,0,0.995,0.00574218610818182,0.00583464635454545
"brier",3,0,0.9,0.10952208076197,0.108692185413636
"brier",3,0,0.91,0.09963841967,0.0987072022022727
"brier",3,0,0.92,0.0885176231677273,0.0868646851204545
"brier",3,0,0.93,0.078247689759697,0.0770895587477273
"brier",3,0,0.94,0.0674231226125758,0.0664940621
"brier",3,0,0.95,0.0566521002822727,0.0559555731886364
"brier",3,0,0.96,0.0455336794540909,0.0442541623818182
"brier",3,0,0.97,0.0347973020784848,0.0343616224590909
"brier",3,0,0.98,0.0233755807034849,0.0229399077181818
"brier",3,0,0.99,0.0113627724428788,0.01163170575
"brier",3,0,0.995,0.00579327562060606,0.00586823402045455
"brier",4,0,0.9,0.110278261379091,0.109116650309091
"brier",4,0,0.91,0.100116825382121,0.0988006303681818
"brier",4,0,0.92,0.0887550168919697,0.08728213305
