"score","method","mrts_k","quantile","mean","median"
"brier",1,0,0.9,0.0185621962913636,0.0173251544886364
"brier",1,0,0.91,0.0170141691295455,0.0151989429795455
"brier",1,0,0.92,0.0155235085490909,0.0148922082522727
"brier",1,0,0.93,0.0150350122331818,0.0142816490363636
"brier",1,0,0.94,0.0146644936909091,0.0137932360318182
"brier",1,0,0.95,0.0129626767909091,0.0113920392522727
"brier",1,0,0.96,0.0109987536309091,0.0115857866772727
"brier",1,0,0.97,0.00992408085454545,0.0101550233795455
"brier",1,0,0.98,0.00758926257727273,0.00722423936818182
"brier",1,0,0.99,0.005361066835,0.00534901669772727
"brier",1,0,0.995,0.00364533768454545,0.003893046025
"brier",2,0,0.9,0.0176135580077273,0.0168221004045455
"brier",2,0,0.91,0.0160912241545455,0.0143385492136364
"brier",2,0,0.92,0.0146717100118182,0.0143107786318182
"brier",2,0,0.93,0.0140845406790909,0.013487142975
"brier",2,0,0.94,0.0136189197568182,0.0129293887318182
"brier",2,0,0.95,0.0121034513959091,0.0109875027068182
"brier",2,0,0.96,0.01029341134,0.0104780113772727
"brier",2,0,0.97,0.00931191245227273,0.00917529081136364
"brier",2,0,0.98,0.00700929150454545,0.00680682064090909
"brier",2,0,0.99,0.00482183911772727,0.00461064409318182
"brier",2,0,0.995,0.00317545299818182,0.00315963391590909
"brier",3,0,0.9,0.0178256745645455,0.0169292608318182
"brier",3,0,0.91,0.0162622993918182,0.0147914354590909
"brier",3,0,0.92,0.0147379557,0.0143305123227273
"brier",3,0,0.93,0.0141441193609091,0.0137427811340909
"brier",3,0,0.94,0.0136715328072727,0.0129517204113636
"brier",3,0,0.95,0.012171779415,0.011048183575
"brier",3,0,0.96,0.0103383340222727,0.0106430177159091
"brier",3,0,0.97,0.00938234643954546,0.00920518192954545
"brier",3,0,0.98,0.00706945710818182,0.00688985438181818
"brier",3,0,0.99,0.00481253714409091,0.00456059210909091
"brier",3,0,0.995,0.00319695969590909,0.00325635567272727
"brier",4,0,0.9,0.0177269885831818,0.0168369282159091
"brier",4,0,0.91,0.0161952287172727,0.0143196792727273
"brier",4,0,0.92,0.0147686299690909,0.0141793972659091
"brier",4,0,0.93,0.0142426961704545,0.0135040187090909
"brier",4,0,0.94,0.0137536624340909,0.0128185196295455
"brier",4,0,0.95,0.0123980931527273,0.0109920146545455
"brier",4,0,0.96,0.0104547700013636,0.0106889071477273
"brier",4,0,0.97,0.00941796456045454,0.00962782319090909
"brier",4,0,0.98,0.00724486700363636,0.00689131721136364
"brier",4,0,0.99,0.00489702454545455,0.00476292816136364
"brier",4,0,0.995,0.00320817477590909,0.00325841401818182
"brier",5,0,0.9,0.0185975265109091,0.0181348795454545
"brier",5,0,0.91,0.0171993863409091,0.0160058696977273
"brier",5,0,0.92,0.01568481309,0.0160839548818182
"brier",5,0,0.93,0.0152230434345455,0.0150278696090909
"brier",5,0,0.94,0.0148400311731818,0.0146256716454545
"brier",5,0,0.95,0.0134507723722727,0.0131891501431818
"brier",5,0,0.96,0.01116958425,0.0118631163772727
"brier",5,0,0.97,0.0105941331131818,0.0100606903909091
"brier",5,0,0.98,0.00780970869818182,0.00762759202727273
"brier",5,0,0.99,0.00560640194181818,0.00504269667727273
"brier",5,0,0.995,0.00374003400636364,0.00338507554090909
"quant",1,0,0.9,2.9150661856285,2.83607171800607
"quant",1,0,0.91,2.76621282662244,2.66536710434289
"quant",1,0,0.92,2.60047318124196,2.47581367573537
"quant",1,0,0.93,2.41136266637515,2.26365638160585
"quant",1,0,0.94,2.19875145186941,2.02923907437301
"quant",1,0,0.95,1.96313429205026,1.77377338189412
"quant",1,0,0.96,1.69853977874182,1.50921860403991
"quant",1,0,0.97,1.38925471354143,1.22201305942193
"quant",1,0,0.98,1.02925474137372,0.900324174522758
"quant",1,0,0.99,0.572692942292539,0.49462794143865
"quant",1,0,0.995,0.318391990014691,0.271709163473385
"quant",2,0,0.9,2.91369153280215,2.83293258715326
"quant",2,0,0.91,2.76460959583779,2.66175659278146
"quant",2,0,0.92,2.59817906405326,2.47242435412191
"quant",2,0,0.93,2.40943383952051,2.26176612843722
"quant",2,0,0.94,2.19779805573247,2.02754733048981
