"score","method","mrts_k","quantile","rel_mean","rel_median"
"brier",1,0,0.9,1,1
"brier",1,0,0.91,1,1
"brier",1,0,0.92,1,1
"brier",1,0,0.93,1,1
"brier",1,0,0.94,1,1
"brier",1,0,0.95,1,1
"brier",1,0,0.96,1,1
"brier",1,0,0.97,1,1
"brier",1,0,0.98,1,1
"brier",1,0,0.99,1,1
"brier",1,0,0.995,1,1
"brier",2,0,0.9,0.948330321057152,0.935774609744164
"brier",2,0,0.91,0.950556999440803,0.937727819744068
"brier",2,0,0.92,0.9492289589028,0.930740772164513
"brier",2,0,0.93,0.953854284682744,0.941937723924989
"brier",2,0,0.94,0.958683258782186,0.961399660603063
"brier",2,0,0.95,0.951577232422446,0.969450710658449
"brier",2,0,0.96,0.950888092827696,0.950470527872161
"brier",2,0,0.97,0.946435777623122,0.940518021870731
"brier",2,0,0.98,0.911626484223201,0.920954441874179
"brier",2,0,0.99,0.865905211396253,0.866568435778009
"brier",2,0,0.995,0.797258362116066,0.775353481891602
"brier",3,0,0.9,0.961762748282499,0.949859492342287
"brier",3,0,0.91,0.963273107315231,0.943113396258142
"brier",3,0,0.92,0.963719327862551,0.941610992007951
"brier",3,0,0.93,0.966406333552585,0.956984391590513
"brier",3,0,0.94,0.969829299288773,0.977011343135877
"brier",3,0,0.95,0.964677825372207,0.991572088169357
"brier",3,0,0.96,0.963835137322688,0.969905825504405
"brier",3,0,0.97,0.959364375740073,0.938593270738014
"brier",3,0,0.98,0.926438657475103,0.911687208420955
"brier",3,0,0.99,0.878941580064457,0.892123433592869
"brier",3,0,0.995,0.80737369148457,0.786043650708722
"brier",4,0,0.9,0.972388434130237,0.934278327902423
"brier",4,0,0.91,0.981331639425562,0.947205275287132
"brier",4,0,0.92,0.981408025237997,0.952848895900218
"brier",4,0,0.93,0.98834201440297,0.968668182902093
"brier",4,0,0.94,0.992063377034364,0.971938244835576
"brier",4,0,0.95,0.981718897882409,0.998793398370527
"brier",4,0,0.96,0.973291497235167,1.00490954182643
"brier",4,0,0.97,0.972557727333244,1.0110934251033
"brier",4,0,0.98,0.935554001463423,0.940936201753227
"brier",4,0,0.99,0.878536604458154,0.882538054303697
"brier",4,0,0.995,0.813563946143758,0.776759048284306
"brier",5,0,0.9,0.999290057898736,1.00146302167367
"brier",5,0,0.91,1.00408700048922,0.991851222107495
"brier",5,0,0.92,1.01211001554597,0.996396834133643
"brier",5,0,0.93,1.0140210775457,1.018608989228
"brier",5,0,0.94,1.02163229242599,1.05807151368702
"brier",5,0,0.95,1.03997610467746,1.11039224474623
"brier",5,0,0.96,1.05508462614545,1.06295591818917
"brier",5,0,0.97,1.07338086309346,1.12881092728274
"brier",5,0,0.98,0.998969564323336,0.993923975978472
"brier",5,0,0.99,0.949919860018241,0.940542250243733
"brier",5,0,0.995,0.871602723145826,0.846738258784766
"quant",1,0,0.9,1,1
"quant",1,0,0.91,1,1
"quant",1,0,0.92,1,1
"quant",1,0,0.93,1,1
"quant",1,0,0.94,1,1
"quant",1,0,0.95,1,1
"quant",1,0,0.96,1,1
"quant",1,0,0.97,1,1
"quant",1,0,0.98,1,1
"quant",1,0,0.99,1,1
"quant",1,0,0.995,1,1
"quant",2,0,0.9,0.999419051324312,0.999187400437764
"quant",2,0,0.91,0.999438577279117,0.998658157715289
"quant",2,0,0.92,0.999218166885835,0.99847220706568
"quant",2,0,0.93,0.999370157258608,0.99940735392622
"quant",2,0,0.94,0.998429722329834,1.00008136117598
"quant",2,0,0.95,0.998856925259623,0.999847881161345
"quant",2,0,0.96,0.999312602179341,0.998509983060353
"quant",2,0,0.97,0.998711533880319,0.998977489374849
"quant",2,0,0.98,0.997209498763669,0.998238865107921
"quant",2,0,0.99,0.99275767600433,0.993175971198902
"quant",2,0,0.995,0.948600268369416,0.948222207327215
"quant",3,0,0.9,0.999731090543771,0.999608436842079
"quant",3,0,0.91,0.999757651102287,0.999100724344838
"quant",3,0,0.92,0.999514928488669,0.999098080297342
"quant",3,0,0.93,0.999518122814599,0.999686878355068
"quant",3,0,0.94,0.998671506516593,1.0001080327989
"quant",3,0,0.95,0.999154136643044,1.00003532597565
"quant",3,0,0.96,0.999630189732536,0.999432003202352
"quant",3,0,0.97,0.998961914005047,0.99780095386705
"quant",3,0,0.98,0.99767708666058,0.998280017312289
"quant",3,0,0.99,0.995268738462375,0.99210284630934
"quant",3,0,0.995,0.951572902825135,0.946258802296059
"quant",4,0,0.9,0.999767983659238,0.998930706720119
"quant",4,0,0.91,0.999890831022466,0.998743840725943
"quant",4,0,0.92,0.999867671611756,0.998855194539261
"quant",4,0,0.93,0.999995283857535,0.999342620339867
"quant",4,0,0.94,0.999266866773408,1.00014196999158
"quant",4,0,0.95,0.999823974409455,1.00048098014025
"quant",4,0,0.96,0.999673409938694,1.00090023783441
"quant",4,0,0.97,0.999020349998109,0.999657798166997
"quant",4,0,0.98,0.997679187459125,1.00035552386945
"quant",4,0,0.99,0.994970997197876,0.99478441815782
"quant",4,0,0.995,0.955408831346981,0.943759153673871
"quant",5,0,0.9,1.00012439784467,1.0003194416704
"quant",5,0,0.91,1.0002145648183,0.999637786602116
"quant",5,0,0.92,1.00008535321719,0.999321854352005
"quant",5,0,0.93,1.00036715391738,1.00186818708286
"quant",5,0,0.94,0.99960071509478,1.00194141195598
"quant",5,0,0.95,1.00038351257907,1.00213796443043
"quant",5,0,0.96,1.00160619116858,1.00042781857538
"quant",5,0,0.97,1.00276173736055,0.998950279158087
"quant",5,0,0.98,1.00431226349844,1.00352538592099
"quant",5,0,0.99,1.0077907906395,1.00033647737993
"quant",5,0,0.995,0.97803693861827,0.961463231219612
