"score","method","mrts_k","quantile","rel_mean","rel_median"
"brier",1,0,0.9,1,1
"brier",1,0,0.91,1,1
"brier",1,0,0.92,1,1
"brier",1,0,0.93,1,1
"brier",1,0,0.94,1,1
"brier",1,0,0.95,1,1
"brier",1,0,0.96,1,1
"brier",1,0,0.97,1,1
"brier",1,0,0.98,1,1
"brier",1,0,0.99,1,1
"brier",1,0,0.995,1,1
"brier",2,0,0.9,0.963797334707872,0.969310978646688
"brier",2,0,0.91,0.969133147048596,0.959817815318883
"brier",2,0,0.92,0.973008903762167,0.960901642109872
"brier",2,0,0.93,0.965772855203137,0.963784846019005
"brier",2,0,0.94,0.951335265297598,0.963741399326587
"brier",2,0,0.95,0.952143113525683,0.950961262613425
"brier",2,0,0.96,0.941579522482621,0.919883868127165
"brier",2,0,0.97,0.960631184081252,0.977989417462465
"brier",2,0,0.98,0.97068928610096,0.929541676849353
"brier",2,0,0.99,0.881355729220271,0.964349595125923
"brier",2,0,0.995,0.832463468228248,0.857478841515823
"brier",3,0,0.9,0.973642271696193,0.979637081398744
"brier",3,0,0.91,0.977873456338386,0.952924209127765
"brier",3,0,0.92,0.987505001773559,0.968274731728038
"brier",3,0,0.93,0.984365763878508,0.980307446893775
"brier",3,0,0.94,0.961233854461721,0.976761622769304
"brier",3,0,0.95,0.96706228065108,0.963406191035986
"brier",3,0,0.96,0.94434262762127,0.921135549786748
"brier",3,0,0.97,0.958663388190427,0.962948918739633
"brier",3,0,0.98,0.970288135511189,0.921825967839385
"brier",3,0,0.99,0.879384625261267,0.95778988355335
"brier",3,0,0.995,0.827822411588757,0.843472692772056
"brier",4,0,0.9,0.977572465057329,0.985734958308871
"brier",4,0,0.91,0.980782885715147,0.960072981731341
"brier",4,0,0.92,0.985662602359654,0.969935168965528
"brier",4,0,0.93,0.974158392346017,0.971086441244664
"brier",4,0,0.94,0.961738210415613,0.970660533301122
"brier",4,0,0.95,0.967180804653368,0.9723661031869
"brier",4,0,0.96,0.948527549558861,0.927063744525476
"brier",4,0,0.97,0.966415209338816,0.970196016877173
"brier",4,0,0.98,0.981785964920753,0.978355004190502
"brier",4,0,0.99,0.897022057462595,0.954133204747414
"brier",4,0,0.995,0.842770810245654,0.86663654891284
"brier",5,0,0.9,1.05084685483726,1.05381318431835
"brier",5,0,0.91,1.05876999950518,0.988469620324573
"brier",5,0,0.92,1.05277659456847,0.976125626460565
"brier",5,0,0.93,1.04131841918105,0.991227095056354
"brier",5,0,0.94,1.00554190396377,1.01037496836532
"brier",5,0,0.95,1.01679813880569,1.0056613090617
"brier",5,0,0.96,1.01202688079399,0.976275790954403
"brier",5,0,0.97,1.00445076152148,1.02417895345203
"brier",5,0,0.98,1.00389247858164,0.925035121927539
"brier",5,0,0.99,0.948794337233334,1.05299323051731
"brier",5,0,0.995,0.907142733673708,0.891644803913255
"brier",1,3,0.9,1,1
"brier",1,3,0.91,1,1
"brier",1,3,0.92,1,1
"brier",1,3,0.93,1,1
"brier",1,3,0.94,1,1
"brier",1,3,0.95,1,1
"brier",1,3,0.96,1,1
"brier",1,3,0.97,1,1
"brier",1,3,0.98,1,1
"brier",1,3,0.99,1,1
"brier",1,3,0.995,1,1
"brier",2,3,0.9,0.963657206501725,0.970196870017762
"brier",2,3,0.91,0.968327255121788,0.956115159453322
"brier",2,3,0.92,0.972281544658272,0.959722355148616
"brier",2,3,0.93,0.965024742315527,0.961952298063367
"brier",2,3,0.94,0.951316618031495,0.964579207605679
"brier",2,3,0.95,0.952598249522631,0.95121411889836
"brier",2,3,0.96,0.940973293543811,0.919671336109543
"brier",2,3,0.97,0.960505568261471,0.976995146483996
"brier",2,3,0.98,0.969511873514884,0.929376186897098
"brier",2,3,0.99,0.880783675669135,0.969805241519984
"brier",2,3,0.995,0.83272948074332,0.856367059026205
"brier",3,3,0.9,0.971577712634553,0.977317466978176
"brier",3,3,0.91,0.97650120607823,0.954578561562828
"brier",3,3,0.92,0.987063689973254,0.971186996657697
"brier",3,3,0.93,0.983433784048656,0.978556844142873
"brier",3,3,0.94,0.960171448428034,0.97712138548432
"brier",3,3,0.95,0.965214770205145,0.962565696855578
"brier",3,3,0.96,0.9437926304461,0.920298019811867
"brier",3,3,0.97,0.95721042277942,0.961648975296542
"brier",3,3,0.98,0.964509991128163,0.921604560430161
"brier",3,3,0.99,0.879082358801348,0.960199941036858
"brier",3,3,0.995,0.828428558522323,0.840531225366148
"brier",4,3,0.9,0.968982573738431,0.970656316488347
"brier",4,3,0.91,0.972941875265292,0.956416015194947
"brier",4,3,0.92,0.980010611751695,0.964192734432317
"brier",4,3,0.93,0.975555464933266,0.972312394005862
"brier",4,3,0.94,0.96670313045667,0.977680751606963
"brier",4,3,0.95,0.963062483289943,0.983925534932794
"brier",4,3,0.96,0.951461618879622,0.938875937804006
"brier",4,3,0.97,0.977251653690431,0.992988291308341
"brier",4,3,0.98,0.968227894025129,0.924131177655254
"brier",4,3,0.99,0.885741884345228,0.973669445233557
"brier",4,3,0.995,0.842571376840985,0.848908720655179
"brier",5,3,0.9,0.990448068626186,1.00596406454865
"brier",5,3,0.91,0.997044306427653,0.983468781987993
"brier",5,3,0.92,1.01412672197481,1.01381457887191
"brier",5,3,0.93,1.01888516716123,1.01668266396714
"brier",5,3,0.94,0.992122610129918,1.00720067312789
"brier",5,3,0.95,1.00197389564742,1.02140249871514
"brier",5,3,0.96,0.973189807672698,0.964208250611027
"brier",5,3,0.97,0.98361831222006,1.00377284606525
"brier",5,3,0.98,0.985119642274312,0.900068367035611
"brier",5,3,0.99,0.914334374833504,1.03296481074575
"brier",5,3,0.995,0.869555942486347,0.889284381519133
"brier",1,5,0.9,1,1
"brier",1,5,0.91,1,1
"brier",1,5,0.92,1,1
"brier",1,5,0.93,1,1
"brier",1,5,0.94,1,1
"brier",1,5,0.95,1,1
"brier",1,5,0.96,1,1
"brier",1,5,0.97,1,1
