"score","method","mrts_k","quantile","rel_mean","rel_median"
"brier",1,0,0.9,1,1
"brier",1,0,0.91,1,1
"brier",1,0,0.92,1,1
"brier",1,0,0.93,1,1
"brier",1,0,0.94,1,1
"brier",1,0,0.95,1,1
"brier",1,0,0.96,1,1
"brier",1,0,0.97,1,1
"brier",1,0,0.98,1,1
"brier",1,0,0.99,1,1
"brier",1,0,0.995,1,1
"brier",2,0,0.9,0.960172912530658,0.962845000550988
"brier",2,0,0.91,0.957651654029176,0.964601037659065
"brier",2,0,0.92,0.959189313075254,0.96056422158102
"brier",2,0,0.93,0.951918964440312,0.958714630745354
"brier",2,0,0.94,0.951186063636441,0.958013434019402
"brier",2,0,0.95,0.951795766337895,0.977587672357525
"brier",2,0,0.96,0.948580023471696,0.948263655770906
"brier",2,0,0.97,0.942854583284166,0.873275066823141
"brier",2,0,0.98,0.959564756860889,0.916921237673021
"brier",2,0,0.99,0.961710300637676,0.936251345873473
"brier",2,0,0.995,0.943565802436758,0.94172037774196
"brier",3,0,0.9,0.97858055738912,0.974403005679173
"brier",3,0,0.91,0.978029018010984,0.970912559085989
"brier",3,0,0.92,0.978301013809268,0.971459413297436
"brier",3,0,0.93,0.972246921592624,0.977555634545777
"brier",3,0,0.94,0.971254399033552,0.964891518931725
"brier",3,0,0.95,0.971182443865351,0.992704337725908
"brier",3,0,0.96,0.965315213143283,0.96516715342702
"brier",3,0,0.97,0.962792048863603,0.902622943481449
"brier",3,0,0.98,0.974157066459542,0.922974216809389
"brier",3,0,0.99,0.974317210265505,0.918440237282922
"brier",3,0,0.995,0.958079020035947,0.952761497179182
"brier",4,0,0.9,0.970388565971753,0.965005310390721
"brier",4,0,0.91,0.970401456628799,0.968944880689167
"brier",4,0,0.92,0.975868814711873,0.972802857448354
"brier",4,0,0.93,0.972696572035492,0.978249589277922
"brier",4,0,0.94,0.973632195927449,0.981041029712725
"brier",4,0,0.95,0.969436152287601,0.98824702680583
"brier",4,0,0.96,0.963632668933944,0.966277226105296
"brier",4,0,0.97,0.965228495408239,0.903387435353932
"brier",4,0,0.98,0.979648862787537,0.944402753997892
"brier",4,0,0.99,0.973419468710345,0.975439917229128
"brier",4,0,0.995,0.966314246232631,0.971741689486847
"brier",5,0,0.9,1.02202336024236,1.04102012778768
"brier",5,0,0.91,1.02007897886969,1.03838387321427
"brier",5,0,0.92,1.02020893169166,1.04212723884317
"brier",5,0,0.93,1.01435212124264,1.0232133143258
"brier",5,0,0.94,1.00973734743875,0.989285746133447
"brier",5,0,0.95,1.01337960176771,0.992527642777627
"brier",5,0,0.96,1.01293432808633,0.999282127647221
"brier",5,0,0.97,1.00254451516422,0.953299848850046
"brier",5,0,0.98,1.02453776413051,0.949460038562399
"brier",5,0,0.99,1.18408538689772,1.23820889890093
"brier",5,0,0.995,1.08089809865047,1.06020783882408
"brier",7,0,0.9,0.960209691908172,0.962974028198001
"brier",7,0,0.91,0.958083410382165,0.965842906152692
"brier",7,0,0.92,0.959220916770157,0.962806043169901
"brier",7,0,0.93,0.951324413613958,0.958899196341291
"brier",7,0,0.94,0.950907527118548,0.957499230751294
"brier",7,0,0.95,0.95143477679011,0.977468192322894
"brier",7,0,0.96,0.948267282708298,0.949688331142706
"brier",7,0,0.97,0.942512527887467,0.87493786034691
"brier",7,0,0.98,0.957724921050106,0.919891036961372
"brier",7,0,0.99,0.955692621892829,0.901935327086756
"brier",7,0,0.995,0.946424077456953,0.939062259752653
"brier",8,0,0.9,0.967076733585416,0.961819064657198
"brier",8,0,0.91,0.966148163300092,0.96800852994578
"brier",8,0,0.92,0.971177091577298,0.975404833932047
"brier",8,0,0.93,0.964940711957413,0.980242744806832
"brier",8,0,0.94,0.96505943136281,0.979202125800489
"brier",8,0,0.95,0.963670704151517,0.980153357876161
"brier",8,0,0.96,0.959705169411478,0.952160536810145
"brier",8,0,0.97,0.952335929514592,0.887160351250654
"brier",8,0,0.98,0.966871146425972,0.928032813718992
"brier",8,0,0.99,0.970377000559363,0.955897567003255
"brier",8,0,0.995,0.963863284499085,0.939169624337869
"brier",9,0,0.9,0.961082946180117,0.963519102413135
"brier",9,0,0.91,0.958493646712046,0.965229242448683
"brier",9,0,0.92,0.959745916590659,0.962364907909889
"brier",9,0,0.93,0.952215877121969,0.957859196523338
"brier",9,0,0.94,0.951820224744975,0.956189407335994
"brier",9,0,0.95,0.952721745661025,0.977987817359164
"brier",9,0,0.96,0.947904375047607,0.947712867923475
"brier",9,0,0.97,0.943072432242525,0.873977962629853
"brier",9,0,0.98,0.959103788380351,0.920344032175277
"brier",9,0,0.99,0.957934458725355,0.921953776486354
"brier",9,0,0.995,0.943640906205216,0.946338293813145
"brier",10,0,0.9,0.96924107077966,0.975876853788606
"brier",10,0,0.91,0.968537152303269,0.981488579112082
"brier",10,0,0.92,0.973935819964563,0.980684240605103
"brier",10,0,0.93,0.968065224201031,0.972532814853205
"brier",10,0,0.94,0.968180278532526,0.970310606602693
"brier",10,0,0.95,0.967817793318638,0.998875143766571
"brier",10,0,0.96,0.967158575178284,0.978386085651007
"brier",10,0,0.97,0.957491971582882,0.900672219815749
"brier",10,0,0.98,0.971381223688301,0.927589323527708
"brier",10,0,0.99,0.965794278273295,0.948387048292622
"brier",10,0,0.995,0.96765335277394,0.980295154076256
"quant",1,0,0.9,1,1
"quant",1,0,0.91,1,1
"quant",1,0,0.92,1,1
"quant",1,0,0.93,1,1
"quant",1,0,0.94,1,1
"quant",1,0,0.95,1,1
"quant",1,0,0.96,1,1
"quant",1,0,0.97,1,1
"quant",1,0,0.98,1,1
"quant",1,0,0.99,1,1
"quant",1,0,0.995,1,1
"quant",2,0,0.9,0.999367280123937,0.999545181006932
"quant",2,0,0.91,0.999280609116943,0.99966977421038
"quant",2,0,0.92,0.99917605786992,0.999451347122413
"quant",2,0,0.93,0.998913293603727,0.999200504226899
