"score","method","mrts_k","quantile","rel_mean","rel_median"
"brier",1,0,0.9,1,1
"brier",1,0,0.91,1,1
"brier",1,0,0.92,1,1
"brier",1,0,0.93,1,1
"brier",1,0,0.94,1,1
"brier",1,0,0.95,1,1
"brier",1,0,0.96,1,1
"brier",1,0,0.97,1,1
"brier",1,0,0.98,1,1
"brier",1,0,0.99,1,1
"brier",1,0,0.995,1,1
"brier",2,0,0.9,1,1
"brier",2,0,0.91,1,1
"brier",2,0,0.92,1,1
"brier",2,0,0.93,1,1
"brier",2,0,0.94,1,1
"brier",2,0,0.95,1,1
"brier",2,0,0.96,1,1
"brier",2,0,0.97,1,1
"brier",2,0,0.98,1,1
"brier",2,0,0.99,1,1
"brier",2,0,0.995,1,1
"brier",3,0,0.9,1,1
"brier",3,0,0.91,1,1
"brier",3,0,0.92,1,1
"brier",3,0,0.93,1,1
"brier",3,0,0.94,1,1
"brier",3,0,0.95,1,1
"brier",3,0,0.96,1,1
"brier",3,0,0.97,1,1
"brier",3,0,0.98,1,1
"brier",3,0,0.99,1,1
"brier",3,0,0.995,1,1
"brier",4,0,0.9,1,1
"brier",4,0,0.91,1,1
"brier",4,0,0.92,1,1
"brier",4,0,0.93,1,1
"brier",4,0,0.94,1,1
"brier",4,0,0.95,1,1
"brier",4,0,0.96,1,1
"brier",4,0,0.97,1,1
"brier",4,0,0.98,1,1
"brier",4,0,0.99,1,1
"brier",4,0,0.995,1,1
"brier",5,0,0.9,1,1
"brier",5,0,0.91,1,1
"brier",5,0,0.92,1,1
"brier",5,0,0.93,1,1
"brier",5,0,0.94,1,1
"brier",5,0,0.95,1,1
"brier",5,0,0.96,1,1
"brier",5,0,0.97,1,1
"brier",5,0,0.98,1,1
"brier",5,0,0.99,1,1
"brier",5,0,0.995,1,1
"brier",1,3,0.9,1.00046340876064,0.999809059371041
"brier",1,3,0.91,1.00065461844824,0.999982925006865
"brier",1,3,0.92,0.999880966877361,0.999328344699408
"brier",1,3,0.93,1.00051261962891,1.00087874006884
"brier",1,3,0.94,1.00014992300186,0.998927645039321
"brier",1,3,0.95,1.0002578089288,0.998981787067745
"brier",1,3,0.96,1.00069362881012,0.999484950592151
"brier",1,3,0.97,1.00081023455674,1.00122464388975
"brier",1,3,0.98,1.00197066727726,0.997967264476341
"brier",1,3,0.99,1.00076644427128,0.999245518616581
"brier",1,3,0.995,0.999241182770957,1.00101701461951
"brier",2,3,0.9,1.00031794960887,1.00072282413584
"brier",2,3,0.91,0.99982251454076,0.996125325592014
"brier",2,3,0.92,0.999133519941103,0.998101897750759
"brier",2,3,0.93,0.99973759641209,0.998975661496343
"brier",2,3,0.94,1.00013031891229,0.999796041739735
"brier",2,3,0.95,1.00073594433576,0.999247411792248
"brier",2,3,0.96,1.00004933969573,0.999254027363153
"brier",2,3,0.97,1.00067936477015,1.00020675086497
"brier",2,3,0.98,1.00075531145597,0.997789592448218
"brier",2,3,0.99,1.00011688589284,1.00489858285591
"brier",2,3,0.995,0.999560488867065,0.999719124648604
"brier",3,3,0.9,0.998341976838012,0.997441681128662
"brier",3,3,0.91,0.999250399373073,1.00171897512624
"brier",3,3,0.92,0.9994341243107,1.00233400910035
"brier",3,3,0.93,0.999565352245972,0.99909140173816
"brier",3,3,0.94,0.999044504889654,0.99929557198619
"brier",3,3,0.95,0.998346880555724,0.998110256049804
"brier",3,3,0.96,1.00011081209407,0.998576182489828
"brier",3,3,0.97,0.999293390718013,0.999873029712138
"brier",3,3,0.98,0.996003850853156,0.997727569182189
"brier",3,3,0.99,1.00042245584844,1.00175988965073
"brier",3,3,0.995,0.999972845710195,0.997526138214739
"brier",4,3,0.9,0.99167237560763,0.984515128108793
"brier",4,3,0.91,0.992654740560665,0.996173939478368
"brier",4,3,0.92,0.994147445264246,0.993411889888579
"brier",4,3,0.93,1.00194748768021,1.00214230426137
"brier",4,3,0.94,1.00531314137355,1.00615230278456
"brier",4,3,0.95,0.995998643441201,1.0108576245174
"brier",4,3,0.96,1.00378906286171,1.0122198994941
"brier",4,3,0.97,1.01203235141552,1.02474585656617
"brier",4,3,0.98,0.988133853727604,0.94265645847541
"brier",4,3,0.99,0.988181671525155,1.0197054508978
"brier",4,3,0.995,0.999004722195029,0.980540313353637
"brier",5,3,0.9,0.942960476473614,0.954412034413887
"brier",5,3,0.91,0.942317019268242,0.994923838875662
"brier",5,3,0.92,0.9631730155627,1.03791317169883
"brier",5,3,0.93,0.978958452016288,1.02658217156928
"brier",5,3,0.94,0.986802586961698,0.995789313859843
"brier",5,3,0.95,0.985674712820913,1.0146184249983
"brier",5,3,0.96,0.962291475298525,0.987130526693064
"brier",5,3,0.97,0.980053290293829,0.981275886367792
"brier",5,3,0.98,0.983233768931223,0.97103206656685
"brier",5,3,0.99,0.964418868524615,0.980239405261155
"brier",5,3,0.995,0.957838360162742,0.998367054716375
"brier",1,5,0.9,1.01200673502311,1.01612315388061
"brier",1,5,0.91,1.01557730709333,1.00903819999405
"brier",1,5,0.92,1.01915534920816,1.01272389367528
"brier",1,5,0.93,1.02487113288062,1.01857943090438
"brier",1,5,0.94,1.0229803704278,1.00507018756856
"brier",1,5,0.95,1.02253761901603,1.01277227325327
"brier",1,5,0.96,1.01523040013452,1.01828006805734
"brier",1,5,0.97,1.00722340016017,1.01480371283954
"brier",1,5,0.98,1.01998370161873,0.995852238658182
"brier",1,5,0.99,1.00692225437861,1.01292748220252
"brier",1,5,0.995,1.00969288898896,0.982420486293241
"brier",2,5,0.9,0.99245123861275,0.998343154377991
"brier",2,5,0.91,0.993847871929512,0.986201957364246
"brier",2,5,0.92,0.998015314355324,0.990333863000691
"brier",2,5,0.93,1.00167538850597,0.993128714030789
"brier",2,5,0.94,1.00228209067881,0.992532179775049
"brier",2,5,0.95,1.00150597682451,1.00362459209682
"brier",2,5,0.96,0.996237569281418,0.997590967644271
