"score","method","mrts_k","quantile","rel_mean","rel_median"
"brier",1,0,0.9,1,1
"brier",1,0,0.91,1,1
"brier",1,0,0.92,1,1
"brier",1,0,0.93,1,1
"brier",1,0,0.94,1,1
"brier",1,0,0.95,1,1
"brier",1,0,0.96,1,1
"brier",1,0,0.97,1,1
"brier",1,0,0.98,1,1
"brier",1,0,0.99,1,1
"brier",1,0,0.995,1,1
"brier",2,0,0.9,1,1
"brier",2,0,0.91,1,1
"brier",2,0,0.92,1,1
"brier",2,0,0.93,1,1
"brier",2,0,0.94,1,1
"brier",2,0,0.95,1,1
"brier",2,0,0.96,1,1
"brier",2,0,0.97,1,1
"brier",2,0,0.98,1,1
"brier",2,0,0.99,1,1
"brier",2,0,0.995,1,1
"brier",3,0,0.9,1,1
"brier",3,0,0.91,1,1
"brier",3,0,0.92,1,1
"brier",3,0,0.93,1,1
"brier",3,0,0.94,1,1
"brier",3,0,0.95,1,1
"brier",3,0,0.96,1,1
"brier",3,0,0.97,1,1
"brier",3,0,0.98,1,1
"brier",3,0,0.99,1,1
"brier",3,0,0.995,1,1
"brier",4,0,0.9,1,1
"brier",4,0,0.91,1,1
"brier",4,0,0.92,1,1
"brier",4,0,0.93,1,1
"brier",4,0,0.94,1,1
"brier",4,0,0.95,1,1
"brier",4,0,0.96,1,1
"brier",4,0,0.97,1,1
"brier",4,0,0.98,1,1
"brier",4,0,0.99,1,1
"brier",4,0,0.995,1,1
"brier",5,0,0.9,1,1
"brier",5,0,0.91,1,1
"brier",5,0,0.92,1,1
"brier",5,0,0.93,1,1
"brier",5,0,0.94,1,1
"brier",5,0,0.95,1,1
"brier",5,0,0.96,1,1
"brier",5,0,0.97,1,1
"brier",5,0,0.98,1,1
"brier",5,0,0.99,1,1
"brier",5,0,0.995,1,1
"brier",1,10,0.9,1.00003216089999,1.00069106825013
"brier",1,10,0.91,1.00004224232581,1.00022123691285
"brier",1,10,0.92,1.00007127746075,1.00046329522863
"brier",1,10,0.93,1.00009562378403,1.00024394541795
"brier",1,10,0.94,1.00015205089606,1.00022652304958
"brier",1,10,0.95,1.00015573953368,1.00001830587653
"brier",1,10,0.96,1.00013800295972,1.00090991275434
"brier",1,10,0.97,1.00020820223363,1.00058368223859
"brier",1,10,0.98,1.00018120743479,1.00034243276925
"brier",1,10,0.99,1.00032462515352,1.00136245554481
"brier",1,10,0.995,1.00054854875521,0.999079107892013
"brier",2,10,0.9,1.00008430529899,1.00029474357985
"brier",2,10,0.91,1.00008079125305,0.999519443427188
"brier",2,10,0.92,1.00009604831121,0.999826315437798
"brier",2,10,0.93,1.00012524431659,0.999575010080409
"brier",2,10,0.94,1.00019263451235,0.99980267064424
"brier",2,10,0.95,1.00024777330747,1.00014823951867
"brier",2,10,0.96,1.000133205926,0.999511813668832
"brier",2,10,0.97,1.00019536416771,1.00021488197865
"brier",2,10,0.98,1.00016133217126,0.999869941268072
"brier",2,10,0.99,1.00013918961319,1.00153568285899
"brier",2,10,0.995,1.00008252673792,1.00037030854918
"brier",3,10,0.9,1.00035552559356,1.00011110102378
"brier",3,10,0.91,1.0003595582904,1.00246442296901
"brier",3,10,0.92,1.00043933910066,1.00102669106508
"brier",3,10,0.93,1.00041120449942,1.00112094260073
"brier",3,10,0.94,1.00044428518941,1.00105648463249
"brier",3,10,0.95,1.00040940377904,1.00114215877417
"brier",3,10,0.96,1.00060173690369,1.00093176484996
"brier",3,10,0.97,1.00061143349151,0.998679920734852
"brier",3,10,0.98,1.00073910479208,1.001452432618
"brier",3,10,0.99,1.00100853522405,0.998680381104649
"brier",3,10,0.995,1.00145640096529,1.00453106304014
"brier",4,10,0.9,1.00014621309859,1.00135898735616
"brier",4,10,0.91,1.0002720972976,0.997359811312485
"brier",4,10,0.92,1.00043709856138,0.992438799449458
"brier",4,10,0.93,1.00051858581888,1.00630100765733
"brier",4,10,0.94,1.00043497567963,1.00419421365145
"brier",4,10,0.95,1.00046385166866,1.01587659779759
"brier",4,10,0.96,1.00017230606804,1.00205336285994
"brier",4,10,0.97,0.999097758865938,1.00281820079668
"brier",4,10,0.98,0.998602345928666,1.0022695939534
"brier",4,10,0.99,0.998447826303755,0.994542167534433
"brier",4,10,0.995,0.997209777085195,1.04317260840912
"brier",5,10,0.9,0.998194592128819,1.00377115166055
"brier",5,10,0.91,0.998901785284256,1.01112860247334
"brier",5,10,0.92,0.999525674964267,1.01131078774916
"brier",5,10,0.93,1.00058085895936,1.01879659006004
"brier",5,10,0.94,1.00153299208403,1.0034404124989
"brier",5,10,0.95,1.00312196556043,0.988289150865202
"brier",5,10,0.96,1.00335972170974,1.00093201718678
"brier",5,10,0.97,1.00219184170251,1.01336955349935
"brier",5,10,0.98,1.00246091516463,0.982071350038317
"brier",5,10,0.99,1.00711380962282,1.01968196504719
"brier",5,10,0.995,1.00905390900746,1.16256198394157
"brier",1,15,0.9,0.999864640727916,0.999222415536749
"brier",1,15,0.91,0.99984620168935,0.999810583131949
"brier",1,15,0.92,0.999894104625572,0.999145985998152
"brier",1,15,0.93,0.999950449078876,1.00018819107496
"brier",1,15,0.94,1.00004538468363,1.00075188132298
"brier",1,15,0.95,0.999993834493768,1.00038150030171
"brier",1,15,0.96,0.999971994999323,0.999643111194971
"brier",1,15,0.97,1.0000169456978,0.999231680740012
"brier",1,15,0.98,1.00000878107611,1.00024815386448
"brier",1,15,0.99,1.00006561512796,1.00303964967774
"brier",1,15,0.995,1.0004622058539,1.00108865564199
"brier",2,15,0.9,0.999945788093683,1.0000330362383
"brier",2,15,0.91,0.999961534263705,0.999096737976514
"brier",2,15,0.92,0.999927879287347,0.99891692527625
"brier",2,15,0.93,0.999949683426973,0.998878494723783
"brier",2,15,0.94,1.00011442542872,1.00017772936075
"brier",2,15,0.95,1.00016192983283,1.00022427326508
"brier",2,15,0.96,1.00012475642513,0.998311315315669
