"score","method","mrts_k","quantile","mean","median","rel_mean","rel_median"
"brier",1,0,0.9,0.0339270678590909,0.0332069120977273,1,1
"brier",1,0,0.91,0.0308475933677273,0.0310782603886364,1,1
"brier",1,0,0.92,0.0275482045268182,0.0273260306204545,1,1
"brier",1,0,0.93,0.0248093842877273,0.0252237895386364,1,1
"brier",1,0,0.94,0.0217854602790909,0.0225346818181818,1,1
"brier",1,0,0.95,0.0189177251590909,0.0203091940045455,1,1
"brier",1,0,0.96,0.0160032579204545,0.0177091206977273,1,1
"brier",1,0,0.97,0.0131116629795455,0.0148033856636364,1,1
"brier",1,0,0.98,0.00896585674545454,0.00855705948636364,1,1
"brier",1,0,0.99,0.00442894693409091,0.00480128975,1,1
"brier",1,0,0.995,0.00271043664181818,0.00274833141136364,1,1
"brier",2,0,0.9,0.0338096788031818,0.0325639389136364,0.996539958702101,0.980637369045377
"brier",2,0,0.91,0.0308206116559091,0.03082824105,0.999125321982284,0.991955169449324
"brier",2,0,0.92,0.0274581276840909,0.0271103600568182,0.996730210034575,0.992107504868456
"brier",2,0,0.93,0.0246858827145455,0.0248179614204545,0.995021981531282,0.983910898179665
"brier",2,0,0.94,0.0217472646322727,0.0221578121613636,0.998246736753373,0.983276016060093
"brier",2,0,0.95,0.0187496810259091,0.0198446188022727,0.991117106746787,0.977124882347928
"brier",2,0,0.96,0.015844734985,0.0176523021681818,0.99009433352618,0.996791566870243
"brier",2,0,0.97,0.0129235360559091,0.0146835189113636,0.985651940266475,0.991902747452755
"brier",2,0,0.98,0.00878678022181818,0.00844015280909091,0.980026836394955,0.98633798474125
"brier",2,0,0.99,0.00432313200363636,0.00467370908181818,0.97610833183842,0.97342783401443
"brier",2,0,0.995,0.00264042847227273,0.00265986324318182,0.97417088875448,0.967810225573224
"brier",3,0,0.9,0.0325691465309091,0.0321865260295455,0.959975281865746,0.9692718773375
"brier",3,0,0.91,0.0298077821959091,0.0294732593568182,0.966291983967021,0.948356149548028
"brier",3,0,0.92,0.0266288815168182,0.0260538571340909,0.966628568874424,0.953444629260886
"brier",3,0,0.93,0.0239477743972727,0.0240026726772727,0.965270807188844,0.951588683393778
"brier",3,0,0.94,0.0209866592718182,0.0212460147045455,0.963333296747492,0.942814053287559
"brier",3,0,0.95,0.0180431854186364,0.0190942954590909,0.953771411039118,0.940179873943661
