"score","quantile","best_method","best_prop_k","best_value"
"brier",0.9,4,40,0.0295543127690909
"brier",0.91,4,40,0.0271968720390909
"brier",0.92,4,40,0.0247020535686364
"brier",0.93,4,40,0.0221767551581818
"brier",0.94,4,40,0.0193770346663636
"brier",0.95,4,40,0.0169059349172727
"brier",0.96,4,40,0.01377616187
"brier",0.97,4,40,0.01115080909
"brier",0.98,4,40,0.00721745567136364
"brier",0.99,4,40,0.00550616487
"brier",0.995,2,40,0.00405359802590909
"quant",0.9,4,40,3.13719887103962
"quant",0.91,4,40,2.97941318522607
"quant",0.92,4,40,2.80508174733843
"quant",0.93,2,40,2.6142138664556
"quant",0.94,2,40,2.40369952779599
"quant",0.95,4,40,2.16261691073871
"quant",0.96,4,40,1.88754022870863
"quant",0.97,4,40,1.57552758712193
"quant",0.98,4,40,1.21942508646721
"quant",0.99,4,40,0.709924152867671
"quant",0.995,4,40,0.389292466629324
